kept_record,merged_records,normalized_name,rule_applied,fields_preserved,note
OPS_000193,['REC_000019'],campaign finance board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000201,['REC_000021'],charter revision commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerTitle', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - ODA', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, LegalCitationText, NYCReportingLine, Name - ODA, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, Acronym, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000012,['REC_000260'],chief climate officer,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000182,['REC_000024'],child care advisory board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000399,['REC_000026'],city council,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, Name - NYC Open Data Portal, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, Name - Greenbook, FoundingYear, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000200,['REC_000027'],city planning commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - WeGov', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, Name - WeGov, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NYCReportingLine, NameWithAcronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000191,['REC_000030'],civic engagement commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, ParentOrganization, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, Name - ODA, Description, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000207,['REC_000031'],civil service commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000086,['REC_000032'],civilian complaint review board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000396,['REC_000040'],community boards,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, LegalCitationText, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, Acronym, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000198,['REC_000041'],conflicts of interest board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, Name - NYC.gov Agency List, URISlug, BudgetCode, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000021,"['REC_000042', 'HOO_000047']",democracynyc,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - WeGov', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName', 'AgencyNameEnriched']","Kept ops record over primary, nyc_gov (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, AgencyNameEnriched, LegalCitationText, Name - WeGov, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000017,['REC_000257'],director of communications,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'URISlug', 'DateCreated', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000112,['REC_000077'],economic development corporation,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'Acronym', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - WeGov', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - WeGov, NYCReportingLine, Name - ODA, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000221,['REC_000078'],educational construction fund,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'AuthorizingAuthority', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - WeGov', 'Name - Greenbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, Name - WeGov, PreliminaryOrganizationType, Name, Name - Greenbook, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, DateCreated, URISlug, AuthorizingAuthority, OperationalStatus)"
OPS_000220,['REC_000079'],environmental control board,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'URL', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'Acronym', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - ODA', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, Name - ODA, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, Acronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
OPS_000225,['REC_000080'],equal employment practices commission,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'Description', 'URL', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationURL', 'LegalCitationText', 'AlternateNames', 'Acronym', 'BudgetCode', 'PrincipalOfficerName', 'PrincipalOfficerTitle', 'OpenDatasetsURL', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - NYC.gov Agency List', ""Name - NYC.gov Mayor's Office"", 'Name - NYC Open Data Portal', 'Name - ODA', 'Name - CPO', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym', 'PrincipalOfficerGivenName', 'PrincipalOfficerFamilyName']","Kept ops record over primary (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, Name - NYC Open Data Portal, Name - CPO, LegalCitationText, Name - WeGov, NYCReportingLine, URL, AlternateNames, URISlug, BudgetCode, Name - NYC.gov Agency List, Name - ODA, Description, Name - Checkbook, PreliminaryOrganizationType, Acronym, OpenDatasetsURL, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, Name - Greenbook, FoundingYear, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)"
OPS_000115,['REC_000082'],financial information services agency,source_preference,"['Name', 'NameAlphabetized', 'OperationalStatus', 'PreliminaryOrganizationType', 'ParentOrganization', 'NYCReportingLine', 'AuthorizingAuthority', 'LegalCitation', 'LegalCitationText', 'FoundingYear', 'URISlug', 'DateCreated', 'Name - WeGov', 'Name - Greenbook', 'Name - Checkbook', 'NameWithAcronym', 'NameAlphabetizedWithAcronym']","Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, Name - WeGov, ParentOrganization, Name - Checkbook, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)"
