RecordID,Name,NameAlphabetized,Name - HOO,OperationalStatus,PreliminaryOrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,NYC.gov Agency Directory,Name - CPO,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov
FINAL_REC_000010,Age Friendly Commission,Age Friendly Commission,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Age Friendly Commission,
FINAL_REC_000011,Algorithm Advisory Committee,Algorithm Advisory Committee,,Dissolved,"Advisory, Oversight, or Regulatory Body",,https://www1.nyc.gov/site/ampo/committees/advisory-committee.page,,,,,,,,,,,,False,,,,,,,,Algorithm Advisory Committee,
FINAL_REC_000012,Animal Care Centers of NYC,Animal Care Centers of NYC,,Active,Non-Governmental Organization,,https://www.nycacc.org/about,,,,,,,,,,,,False,,,,,,,,Animal Care Centers of NYC,
FINAL_REC_000013,Archival Review Board,Archival Review Board,,Active,Division,,,,,,,,2002.0,,,,,,False,,,,,,,,Archival Review Board,
FINAL_REC_000014,"Archives, Reference and Research Advisory Board ","Archives, Reference and Research Advisory Board ",,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,"Archives, Reference and Research Advisory Board ",
FINAL_REC_000015,Association for a Better New York,Association for a Better New York,,Active,Non-Governmental Organization,,https://abny.org/,,ABNY,,,,1971.0,,,,,,False,,,,,,,Association for a Better New York (ABNY),,
FINAL_REC_000016,Atlantic Yards Community Development Corporation,Atlantic Yards Community Development Corporation,,Active,Public Authority,,,,,,,,,,,,,,False,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),
FINAL_REC_000017,Audit Committee,Audit Committee,,Active,"Advisory, Oversight, or Regulatory Body",,https://nycauditcommittee.org/,,AUDIT,,,,1979.0,,,,,,True,,,,,,,,Audit Committee,
FINAL_REC_000018,Banking Commission,Banking Commission,,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/finance/about/banking-commission.page,,,,,,,,,,,,True,,,,,,,,Banking Commission,
FINAL_REC_000019,Black Car and Livery Task Force,"Black Car and Livery, Task Force",,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Black Car and Livery Task Force,
FINAL_REC_000020,Board of Collective Bargaining ,"Collective Bargaining, Board of",,Active,Division,,https://www1.nyc.gov/site/olr/labor/labor-recent-agreements.page,,,,,,,,,,,,False,,,,,,,,Board of Collective Bargaining ,
FINAL_REC_000021,Board of Correction,"Correction, Board of","Correction, Board of (BOC)",Active,"Advisory, Oversight, or Regulatory Body","The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",https://www.nyc.gov/site/boc/index.page,,BOC,,73.0,,1957.0,Jasmine Georges-Yilla,Interim Executive Director,https://www.nyc.gov/site/boc/about/contact-the-executive-director.page,,,True,Board of Correction,Board of Correction,"Correction, Board of",,"Correction, Board of (BOC)","Correction, Board of (BOC)",Board of Correction (BOC),Board of Correction,Board of Correction
FINAL_REC_000022,Board of Education Retirement System,"Education Retirement System, Board of",Board of Education Retirement System (BERS),Active,"Advisory, Oversight, or Regulatory Body","The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",https://www.bers.nyc.gov/,,BERS,,,,1921.0,Sanford Rich,Executive Director,https://www.bers.nyc.gov/site/bers/about/email-bers.page,,,True,Board of Education Retirement System,,"Education Retirement System, Board of",,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System
FINAL_REC_000023,Board of Elections,"Elections, Board of","Elections, Board of (BOE)",Active,Non-Mayoral Agency,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",https://vote.nyc/,,BOE,,3.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,1974.0,Simon Shamoun,President,https://vote.nyc/page/contact-us,,,True,,Board of Elections,"Elections, Board of",Board of Elections (BOENY),"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOE),Board of Elections,Board of Elections
FINAL_REC_000024,Board of Health,"Health, Board of",,Active,"Advisory, Oversight, or Regulatory Body",,https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,,,,,,1805.0,,,,,,True,,,,,,,,Board of Health,
FINAL_REC_000025,Borough's President's Office - City Hall,"Boroughs President, Office - City Hall","Standards and Appeals, Board of (BSA)",Duplicate,"Advisory, Oversight, or Regulatory Body",The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,https://www.nyc.gov/site/bsa/index.page,,BSA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,1916.0,Shampa Chanda,Chair,https://www.nyc.gov/site/bsa/contact-bsa/send-a-message-to-chair.page,,,False,Board of Standards and Appeals,,"Standards And Appeals, Board of",Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals
FINAL_REC_000026,Office of the Borough President of The Bronx,Borough President - Bronx,Borough President- Bronx,Active,Elected Office,,https://bronxboropres.nyc.gov/,,,,,,1898.0,,,https://bronxboropres.nyc.gov/contact/,,,True,,,,,,,,Boro President Bronx,
FINAL_REC_000027,Office of the Borough President of Brooklyn,Borough President - Brooklyn,Borough President- Brooklyn,Active,Elected Office,,https://www.brooklynbp.nyc.gov/,,,,,,1898.0,,,https://www.brooklynbp.nyc.gov/contact/,,,True,,,,,,,,Boro President Brooklyn,
FINAL_REC_000028,Office of the Borough President of Manhattan,Borough President - Manhattan,Borough President- Manhattan,Active,Elected Office,,https://www.manhattanbp.nyc.gov/,,,,,,1898.0,,,https://www.manhattanbp.nyc.gov/connect/,,,True,,,,,,,,Boro President Manhattan,
FINAL_REC_000029,Office of the Borough President of Queens,Borough President - Queens,Borough President- Queens,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.nyc.gov/nyc-resources/about-the-city-of-new-york.page,,,,,,1898.0,,,https://www.queensbp.nyc.gov/,,,True,,,,,,,,Boro President Queens,
FINAL_REC_000030,Office of the Borough President of Staten Island,Borough President - Staten Island,Borough President- Staten Island,Active,Elected Office,,https://www.statenislandusa.com/bp-office.html,,,,,,1898.0,,,https://www.statenislandusa.com/contact.html,,,True,,,,,,,,Boro President Staten Island,
FINAL_REC_000031,Borough Boards,Borough Boards,,Duplicate,"Advisory, Oversight, or Regulatory Body",,,,,,,,1898.0,,,,,,False,,,,,,,,,
FINAL_REC_000032,Borough Historians,Borough Historians,,Duplicate,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,Borough Historians,,,,,,
FINAL_REC_000033,Borough Historical Societies,Borough Historical Societies,,Duplicate,Non-Governmental Organization,,,,,,,,,,,,,,False,,,Borough Historical Societies,,,,,,
FINAL_REC_000034,Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,,Active,Authority or Public Benefit Corporation,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,BBPC,,,,2010.0,,,,,,True,,,Brooklyn Bridge Park Corporation,,,,,Brooklyn Bridge Park Corporation,
FINAL_REC_000035,Brooklyn Bridge Park Development Corporation,Brooklyn Bridge Park Development Corporation,,Dissolved,Authority or Public Benefit Corporation,,https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,,,,,,,,,,,,False,,,,,,,,Brooklyn Bridge Park Development Corporation,
FINAL_REC_000036,Brooklyn Marine Terminal Task Force,Brooklyn Marine Terminal Task Force,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Brooklyn Marine Terminal Task Force,
FINAL_REC_000037,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard,Active,Authority or Public Benefit Corporation,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",https://www.brooklynnavyyard.org/,,BNYDC,,,,1981.0,Lindsay Greene,Chief Executive Officer,https://www.brooklynnavyyard.org/,,,True,,,Brooklyn Navy Yard Development Corporation,,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation (BNYDC),Brooklyn Navy Yard Development Corporation,
FINAL_REC_000038,Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Active,Non-Governmental Organization,,https://www.bklynlibrary.org/,,BPL,,38.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,1896.0,Linda E. Johnson,,https://www.bklynlibrary.org/contact,,,False,,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library (BPL),"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library,Brooklyn Public Library
FINAL_REC_000039,BuildNYC,BuildNYC,,Active,Division,,https://build.org/nyc/,,,,,,,,,,,,False,,,,,,,,BuildNYC,
FINAL_REC_000040,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Active,"Advisory, Oversight, or Regulatory Body","The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",https://www.nyc.gov/site/bic/index.page,,BIC,,829.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,2002.0,Elizabeth Crotty,Commissioner/Chair,https://www.nyc.gov/site/bic/contact/email-the-commissioner.page,,,True,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission
FINAL_REC_000041,Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,2022.0,,,,,,False,,,,,,,,,
FINAL_REC_000042,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Active,"Advisory, Oversight, or Regulatory Body","The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",https://www.nyccfb.info/,,CFB,,4.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Campaign+Finance+Board+%28CFB%29,1988.0,Frederick Schaffer,Chair,http://www.nyccfb.info/about/contact,,,True,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board
FINAL_REC_000043,Cannabis Advisory Council,Cannabis Advisory Council,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Cannabis Advisory Council,
FINAL_REC_000044,Caribbean Advisory Council,Caribbean Advisory Council,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Caribbean Advisory Council,
FINAL_REC_000045,Catskill Watershed Corporation ,Catskill Watershed Corporation ,,Active,Authority or Public Benefit Corporation,,https://cwconline.org/,,,,,,,,,,,,True,,,,,,,,Catskill Watershed Corporation ,
FINAL_REC_000046,Center for Brooklyn History,Center for Brooklyn History,,Active,Division,,https://www.bklynlibrary.org/center-for-brooklyn-history,,CBH,,,,,,,,,,False,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),
FINAL_REC_000047,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence (CIDI),Active,Mayoral Office,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons’ confidentiality in its research activities.   ",https://www.nyc.gov/site/cidi/index.page,,CIDI,,,,2011.0,MaryAnne Schretzman,Executive Director,https://www.nyc.gov/site/cidi/contact/contact.page,,,True,Center for Innovation through Data Intelligence,,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence
FINAL_REC_000048,Central Park Conservancy,Central Park Conservancy,,Active,Non-Governmental Organization,,https://www.centralparknyc.org/,,,,,,,,,,,,False,,,,,,,,Central Park Conservancy,
FINAL_REC_000049,Chancellor,Chancellor,,Duplicate,Mayoral Agency,,,,,,,,,Melissa Aviles Ramos,,,,,False,,,,,,,,Chancellor,
FINAL_REC_000050,Charter Revision Commission,Charter Revision Commission,Charter Revision Commission,Active,"Advisory, Oversight, or Regulatory Body","This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",https://www.nyc.gov/site/charter/index.page,,CRC,,,,,Carlo Scissura or Diane Savino as ED,Chair,Non-existant,,,True,,,,,Charter Revision Commission,Charter Revision Commission,Charter Revision Commission (CRC),Charter Revision Commission,
FINAL_REC_000051,Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",Mayor's Office - Chief Advisor to the Mayor,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,2022.0,,Chief Advisor to the Mayor,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Chief Advisor to the Mayor,,,,,Office of the Chief Advisor to the Mayor,,Chief Advisor to the Mayor,
FINAL_REC_000052,Chief Climate Officer,Chief Climate Officer,,Active,Mayoral Office,,,,,,,,2022.0,Rohit Aggarwala,,,,,True,,,,,,,,Chief Climate Officer,
FINAL_REC_000053,Chief Efficiency Officer,Chief Efficiency Officer,Mayor's Office - Chief Efficiency Officer,Active,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,2.0,,2022.0,Denise Clay,,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,True,Mayor's Office of Efficiency,,,,,,Mayor's Office of Efficiency,Chief Efficiency Officer,
FINAL_REC_000054,Chief Housing Officer,Chief Housing Officer,Mayor's Office - Chief Housing officer (Resigned in July),Reorganized,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,2022.0,,Chief Housing Officer,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,False,Chief Housing Officer,,,,,Office of the Chief Housing Officer,,,
FINAL_REC_000055,Chief Technology Officer,Chief Technology Officer,,Duplicate,Mayoral Office,,,,,,,,2014.0,,,,,,False,,,,,,,,,
FINAL_REC_000056,Child Care Advisory Board,Child Care Advisory Board,,Active,"Advisory, Oversight, or Regulatory Body",,,,,,,,2022.0,,,,,,False,,,,,,,,Child Care Advisory Board,
FINAL_REC_000057,Child Care Task Force,Child Care Task Force,,Dissolved,"Advisory, Oversight, or Regulatory Body",,,,,,,,,,,,,,False,,,,,,,,Child Care Task Force,
FINAL_REC_000058,Child Fatality Review Advisory Team,Child Fatality Review Advisory Team,,Active,Authority or Public Benefit Corporation,,,,,,,,,,,,,,False,,,,,,,,Child Fatality Review Advisory Team,
FINAL_REC_000059,American Museum of Natural History,American Museum of Natural History,,Active,Non-Governmental Organization,,https://www.amnh.org/about/board-of-trustees,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - American Museum of Natural History,
FINAL_REC_000060,Bronx County Historical Society,Bronx County Historical Society,,Active,Non-Governmental Organization,,,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Bronx County Historical Society,
FINAL_REC_000061,Bronx Museum of the Arts,Bronx Museum of the Arts,,Active,Non-Governmental Organization,,https://www.bronxmuseum.org/about/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Bronx Museum of the Arts,
FINAL_REC_000062,Brooklyn Academy of Music,Brooklyn Academy of Music,,Active,Non-Governmental Organization,,https://www.bam.org/,,BAM,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Brooklyn Academy of Music (BAM),
FINAL_REC_000063,Brooklyn Botanic Garden,Brooklyn Botanic Garden,,Active,Non-Governmental Organization,,https://www.bbg.org/about/mission,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Brooklyn Botanical Garden,
FINAL_REC_000064,Brooklyn Children's Museum,Brooklyn Children's Museum,,Active,Non-Governmental Organization,,https://www.brooklynkids.org/about/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Brooklyn Children's Museum,
FINAL_REC_000065,Brooklyn Museum,Brooklyn Museum,,Active,Non-Governmental Organization,,https://www.brooklynmuseum.org/about/board_of_trustees,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Brooklyn Museum,
FINAL_REC_000066,Carnegie Hall,Carnegie Hall,,Active,Non-Governmental Organization,,https://www.carnegiehall.org/About/Leadership-and-Staff/Board-of-Trustees,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Carnegie Hall,
FINAL_REC_000067,El Museo del Barrio,El Museo del Barrio,,Active,Non-Governmental Organization,,https://www.elmuseo.org/trustees/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - El Museo del Barrio,
FINAL_REC_000068,Flushing Council on Culture and the Arts / Flushing Town Hall,Flushing Council on Culture and the Arts / Flushing Town Hall,,Active,Non-Governmental Organization,,https://www.flushingtownhall.org/board,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,
FINAL_REC_000069,Jamaica Center for Arts & Learning,Jamaica Center for Arts & Learning,,Active,Non-Governmental Organization,,https://www.jcal.org/board,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Jamaica Center for Arts and Learning,
FINAL_REC_000070,Jazz at Lincoln Center,Jazz at Lincoln Center,,Active,Non-Governmental Organization,,https://www.jazz.org/about/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Jazz at Lincoln Center,
FINAL_REC_000071,Lincoln Center Theater,Lincoln Center Theater,,Active,Non-Governmental Organization,,http://www.aboutlincolncenter.org/about/board-of-directors,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Lincoln Center for the Performing Arts,
FINAL_REC_000072,Metropolitan Museum of Art,Metropolitan Museum of Art,,Active,Non-Governmental Organization,,https://www.metmuseum.org/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Metropolitan Museum of Art,
FINAL_REC_000073,Museum of the City of New York,Museum of the City of New York,,Active,Non-Governmental Organization,,https://www.mcny.org/about,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Museum of the City of New York,
FINAL_REC_000074,Museum of Jewish Heritage,Museum of Jewish Heritage,,Active,Non-Governmental Organization,,https://mjhnyc.org/leadership/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Museum of Jewish Heritage,
FINAL_REC_000075,Museum of Modern Art,Museum of Modern Art,,Active,Non-Governmental Organization,,https://www.moma.org/about/trustees#the-museum-of-modernart,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Museum of Modern Art,
FINAL_REC_000076,Museum of the Moving Image,Museum of the Moving Image,,Active,Non-Governmental Organization,,https://movingimage.us/about/museum-leadership/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Museum of the Moving Image,
FINAL_REC_000077,New York Botanical Garden,New York Botanical Garden,,Active,Non-Governmental Organization,,https://www.nybg.org/about/institutional-information/board-of-trustees/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - New York Botanical Garden,
FINAL_REC_000078,New York City Ballet,New York City Ballet,,Active,Non-Governmental Organization,,https://www.nycballet.com/about-us/board-and-staff/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - New York City Ballet,
FINAL_REC_000079,New York City Center,New York City Center,,Active,Non-Governmental Organization,,https://www.nycitycenter.org/About/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - New York City Center,
FINAL_REC_000080,New York Hall of Science,New York Hall of Science,,Active,Non-Governmental Organization,,https://nysci.org/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - New York Hall of Science,
FINAL_REC_000081,PS 1 Contemporary Art Center,PS 1 Contemporary Art Center,,Active,Non-Governmental Organization,,https://www.momaps1.org/en,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - PS 1 Contemporary Art Center,
FINAL_REC_000082,Public Theater,Public Theater,,Active,Non-Governmental Organization,,https://publictheater.org/about/board-of-trustees/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Public Theater,
FINAL_REC_000083,Queens Botanical Garden,Queens Botanical Garden,,Active,Non-Governmental Organization,,https://queensbotanical.org/staff-board/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Queens Botanical Garden,
FINAL_REC_000084,Queens Museum,Queens Museum,,Active,Non-Governmental Organization,,https://queensmuseum.org/about,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Queens Museum of Art,
FINAL_REC_000085,Queens Theatre in the Park,Queens Theatre in the Park,,Active,Non-Governmental Organization,,https://queenstheatre.org/about/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Queens Theatre in the Park,
FINAL_REC_000086,Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center & Botanical Garden,,Active,Non-Governmental Organization,,https://snug-harbor.org/,,SHCC,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),
FINAL_REC_000087,Staten Island Children's Museum,Staten Island Children's Museum,,Active,Non-Governmental Organization,,https://www.sichildrensmuseum.org/,,,,,,,,,,,Cultural Institutions Group,False,,,,,,,,CIG - Staten Island Children’s Museum,
