Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
ADVANCE,Mayor's Advance Team,Mayoral unit/office,,,Robert,Bucknam III,"""Robert Bucknam III (Director,  ADVANCE)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,,,,,,,,,,Cannot find any information on this agency. Is this the same thing as the Mayor's Fund to Advance NYC?,,,,,
CAU,Community Affairs Unit,Mayoral unit/office,,checked,Fred,Kreizman,"""Fred Kreizman (Commissioner,  CAU)"",""Jessica Schabowski (Chief of Staff,  CAU)"",""Geraldine Wilson (Executive Assistant to the Commissioner,  CAU)"",""Valerie Vazquez (First Deputy Commissioner,  CAU)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/2007EO105.pdf,https://www1.nyc.gov/site/cau/index.page?msclkid=de949502bc0b11ecb5fea6d85cf7f001,,,EO 105 2007 ,"""Single Agency Head (commissioner, exec director, administrator)""","This unit is responsible for maintaining liaison with communities and community groups in order to bring to the attention of the Mayor and other appropriate City officials issues and problems of concern to 
communities.",Yes,No,,,,,,"- CAU is the fundamental connection between City Hall and New York City residents throughout the five boroughs. CAU has traditionally been centered around Borough Directors that work with borough constituencies in the Bronx, Queens, Brooklyn, Staten Island, and Manhattan. Under Mayor Bill de Blasio, CAU has expanded to include the Center for Faith and Community Partnerships, the Mayor’s Office of Animal Welfare, as well as several Senior Community Liaisons to center the diverse communities of New York
- City in the City’s work. CAU flags concerns appropriately and manages interagency constituent casework to conclusion with thorough follow up. CAU coordinates on-the-ground responses to events, celebrations, and protests."
CCO,Chief Climate Officer,Mayoral unit/office,,,Rohit,Aggarwala,"""Rohit Aggarwala (Chief Climate Officer,  CCO)"",""Dawn Miller (Senior Advisor to the Chief Climate Officer,  CCO)""",DM Operations,Meera Joshi,,,,,,,,,,,,,,,,,,
CECM,Mayor's Office of Citywide Events Coordination & Management,Mayoral unit/office,,checked,Dawn,Tolson,"""Dawn Tolson (Executive Director,  CECM)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/2007EO100.pdf,https://www1.nyc.gov/site/cecm/index.page,,,EO 100 2007,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2007,,"Citywide Event Coordination and Management (CECM):
On March 16, 2007, Mayor Bloomberg signed Executive Order No. 100, authorizing the Office of Citywide Event Coordination and Management (CECM) with oversight of all event permitting activity in New York City. CECM advises and assists the Mayor in the coordination of policies, plans, procedures, and operations common to the permitting, review, and coordination of street events and other permitted activities. As part of its mission, CECM gathers and disseminates information about upcoming and ongoing public events, including gatherings in City parks, processions, parades, street fairs, block parties, commercial and promotional events, street events, and displays and filming of motion pictures and television. Our goal is to ensure informed decision-making by the various permitting agencies, as well as compliance by permit applicants. CECM also acts as an internal and external resource to the event community on overall event coordination, permitting, and management.
CECM works to enhance communication among various agencies involved in the issuance of permits. This ensures that affected agencies are provided with timely information for proper advance planning to avoid vehicular and pedestrian traffic disruptions, as well as excessive noise in surrounding neighborhoods.
In addition, the Mayor's Street Activity Permit Office (SAPO) was merged into CECM by Executive Order No. 105 of 2007. As a result, the agency exercises all functions, powers, and duties pertaining to street activity permits.
 
Street Activity Permit Office (SAPO):
The Mayor's Office of Citywide Event Coordination and Management (CECM) established within CECM a Street Activity Permit Office and the position of Director of the Street Activity Permit Office. The function of SAPO is to administer the procedures set forth in the SAPO rules. The Director of SAPO shall be consistent with these rules, have the authority to approve or deny any application for a street activity permit, to temporarily suspend or to revoke any street activity permit, or to impose upon the issuance of any street activity permit any conditions necessary to protect the interests of the City, the community and the general public."
CEO,Chief Efficiency Officer,Mayoral unit/office,,,Denise,Clay,"""Denise Clay (Chief Efficiency Officer,  CEO)""",First Deputy Mayor,Maria Torres-Springer,,,,,,,,EO 5 2022,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2022,,"There shall be a Chief Efficiency Officer appointed by the Mayor, who shall be responsible for:
a.	Developing updated metrics to improve government transparency, performance and accountability;
b.	Determining the “time tax” on New Yorkers and improving delivery of services, informing the investment of new services, and increasing customer satisfaction; 
c.	Identifying opportunities to reduce regulations and streamline business processes; and
d.	Reviewing the City budget and evaluating new needs through the lens of service performance improvement."
CIDI,Center for Innovation through Data Intelligence,Mayoral unit/office,,,MaryAnne,Schretzman,"""MaryAnne Schretzman (Director,  CIDI)"",""Marya Kuklick (Research Director,  CIDI)""",DM Strategic Initiatives,Ana Almanzar,,,,,https://www1.nyc.gov/site/cidi/about/about.page,,,,Multi-member Commission,,Yes,No,CIDI was founded in 2011 and is a unit of the Office of the Deputy Mayor for Health and Human Services. ,,,,,"'- Mission: The mission of the Center for Innovation through Data Intelligence (CIDI) is to conduct interagency research to identify areas of service need in the City of New York. CIDI will collaborate with all Health and Human Service agencies as well as other City agencies to promote policy change that will lead to improved services to the citizens of the City of New York.
    - CIDI embraces diversity and cultural sensitivity in its work as well as maintains the confidentiality of all data that is provided to CIDI to perform its research activities. CIDI staff has the courage to investigate new and innovative research methodologies that are counter to standard research methods to uncover issues and promote change."
COMMS,Director of Communications,Mayoral unit/office,,,Fabien,Levy,"""Fabien Levy (Deputy Mayor for Communications,  COMMS)"",""Noah Levine (Deputy Communications Director,  COMMS)"",""Sandy Seignious (Executive Administrative Asst.,  COMMS)""",DM Communications,Fabian Levy,,,,,,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,Press Release: https://www1.nyc.gov/office-of-the-mayor/news/031-22/mayor-adams-additional-members-city-hall-press-team?msclkid=76b415c9b10d11eca4883dc8f5f1866e ,,,,,
CPD,Office of Capital Project Development,Mayoral unit/office,,,,,,DM Operations,Meera Joshi,,,,,,,,,,,,,,,,,,
CREATIVECOMMS,Creative Communications,Mayoral unit/office,,,Michael,Appleton,"""Tom Brennan (Senior Advisor for Digital Communications,  CREATIVECOMMS)"",""Michael Appleton (Director of  Visuals,  CREATIVECOMMS)""",DM Communications,Fabian Levy,,,,,,,,,,,Yes,,"This is a press release that calls this agency the "" Mayor’s Creative Communications unit."" 
https://www1.nyc.gov/office-of-the-mayor/news/237-19/de-blasio-administration-formation-the-mayor-s-creative-council 
",,,,,
DEMOCRACYNYC,DemocracyNYC,Mayoral unit/office,,,,,,DM Strategic Initiatives,Ana Almanzar,,,,https://www1.nyc.gov/office-of-the-mayor/news/088-000/executive-order-88?msclkid=81145502c01811ecb5a0903958fb3fef,,,,EO 88 2021,Multi-member Commission,,No,No,,,,,,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts."
EMERGINGMKTS,Office of Emerging Markets,Mayoral unit/office,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,,,,,,,,,,,,,,,,,,
ENGAGEMENT,Office of Engagement,Mayoral unit/office,,,,,"""Jonathan Penuela (Chief of Staff,  ENGAGEMENT)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,,,,,,,,,,,,,2022,,
GMC,Gracie Mansion Conservancy,Mayoral unit/office,,,Melissa,Gonzalez,"""Melissa Gonzalez (Executive Director,  GMC)""",Mayor's Chief of Staff,Camille Joseph-Varlack,"The Gracie Mansion Conservancy is a private not-for-profit corporation established in 1981 to preserve, maintain and enhance Gracie Mansion – one of the oldest surviving wood structures in Manhattan and a member of the Historic House Trust. The Conservancy’s mission is to raise funds to restore the historic structure and acquire furnishings that illustrate the rich history of New York; improve the surrounding landscape and gardens; and provide educational services, including publications and tours.

The Board of Directors shall direct the management of the operations, property, affairs, and concerns of
the Corporation consistent with the provisions of these By-laws and the Certificate of Incorporation.
",,"Gracie Mansion Bylaws (May 7, 2012)",https://www.graciemansion.org/wp-content/uploads/2018/11/5A-Certificate-of-Incorporation.pdf,https://www.graciemansion.org/gracie-mansion-conservancy/,MC,Deputy Exec Director,Certificate of Incorporation of Gracie Mansion Conservancy,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,By Laws: https://www.graciemansion.org/wp-content/uploads/2018/11/5A-By-Laws-of-Gracie-Mansion-Conservancy.pdf,,GRACIE MANSION BYLAWS AS OF MAY 7 2012 BOARD MEETING.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/gz_rNXeg_nkZ9JDT_oAhkQ/XVnnTaX-Lyq3SWORxa7dMLSWM3zrOwdMb6M7NIfK65hKmhq9WsY2xIdzqPNqtO0vrSEhVgtRZZi-PPHmN0lo8z2rdXjtZL_7JHbt0fC1CPyuVhg-b4mgq7JWDRwuP98fLtRNvxed6lO1rpk6I1Z-DV4TNAc1h1uVJLYOnIN6SvDC3UelZ-087htzybUt5s3a/lLDGdJr4dUkM_fKkHLwjILAQFBHd5Fyt2oQiIpo9ilY),,,
HRO,Housing Recovery Office,Mayoral unit/office,,checked,Rudy,Giuliani,"""Rudy Giuliani (Director,  HRO)"",""Tyieast Lloyd (Scheduler,  HRO)"",""Elizabeth Greenstein (Chief of Staff,  HRO)""",DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/2012EO175.pdf,https://www1.nyc.gov/site/housingrecovery/index.page,,,EO 175 2012,"""Single Agency Head (commissioner, exec director, administrator)""",The office is run by a director who reports to the Deputy Mayor for Economic Development. ,Yes,No,,,,2012,,"The core mission of the Mayor's Office of Housing Recovery Operations is to help New Yorkers return to permanent, resilient housing, after a disaster.    "
IA,Mayor's Office for International Affairs,Mayoral unit/office,,,Edward,Mermelstein,"""Edward Mermelstein (Commissioner,  IA)"",""Aissata Camara (Deputy Commissioner, Policy and Strategic Initiatives and Chief of Staff,  IA)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://www1.nyc.gov/assets/records/pdf/executive_orders/2012EO185.pdf,https://www1.nyc.gov/site/international/index.page,,,EO 185 2012,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2012,EO,"'- The New York City Mayor's Office for International Affairs (International Affairs or the Office) works to foster positive relations and encourage collaborations between the world’s largest diplomatic corps, consisting of 116 Consulates General (Consulates), 193 Permanent Missions (Missions), 70+ Trade Commissions, the United Nations Headquarters (UN)—and New York City's agencies, as well as New Yorkers. The Office focuses on sharing the City’s policies and best practices globally, as well as responding to requests from foreign governments, the United Nations, and the U.S. Department of State. 
- International Affairs also:
    - Advises City agencies on diplomatic and consular matters, manages issues involving sovereign immunity and diplomatic and consular privileges and immunities, and assists with the collection of debt owed to the City by foreign governments.
    - Provides guidance to the diplomatic and consular community on delegation visits and City‐related issues, including access to services and resources.
    - Administers the Diplomatic Parking Program.
    - Manages protocol issues for the Mayor and NYC agencies, including “flags lowered” notifications to all Agency heads."
IGA,Intergovernmental Affairs,Mayoral unit/office,,,Tiffany,Raspberry,"""Tiffany Raspberry (Director of Intergovernmental Affairs & External Affairs,  IGA)"",""Kristin Rezek (Chief of Staff,  IGA)""","Mayor's Chief of Staff,DM Intergovernmental Affairs","Camille Joseph-Varlack, Tiffany Raspberry",,,,,https://www1.nyc.gov/site/intergovernmental/index.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,"This office is a mayoral agency. Have not been able to find its legal source. The press release below showcases the relationship between the mayor and IGA.

Press Release: https://www1.nyc.gov/office-of-the-mayor/news/266-19/mayor-de-blasio-names-lydon-sleeper-intergovernmental-affairs-director ",,,,,
IGA - CLA,Intergovernmental Affairs - City Legislative Affairs,Mayoral unit/office,,,Connor,Martinez,"""Connor Martinez (Director of CLA,  IGA - CLA)"",""Alfonso Lopez (Chief of Staff,  IGA - CLA)"",""Matthew Pitt (Deputy Director,  IGA - CLA)""","Mayor's Chief of Staff,DM Intergovernmental Affairs","Camille Joseph-Varlack, Tiffany Raspberry",,,,,https://www1.nyc.gov/site/intergovernmental/city/city-legislative-affairs.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,This office is a mayoral agency. Have not been able to find its legal source. CLA represents the Mayor and City agencies at the City Council.,,,,,
IGA - FLA,Intergovernmental Affairs - Federal Legislative Affairs,Mayoral unit/office,,,,,"""Earldale Ash (Deputy Director,  IGA - FLA)""","Mayor's Chief of Staff,DM Intergovernmental Affairs","Camille Joseph-Varlack, Tiffany Raspberry",,,,,https://www1.nyc.gov/site/intergovernmental/federal/federal-legislative-affairs.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,This office is a mayoral agency. Have not been able to find its legal source. FLA is the intergovernmental liaison between City government and the Federal government and is responsible for presenting the City's interests to the Congress and the Executive Branch.,,,,,
IGA - SLA,Intergovernmental Affairs - State Legislative Affairs,Mayoral unit/office,,,Ellis ,Christopher,"""Ellis  Christopher (Director of SLA,  IGA - SLA)"",""Donna Berzal (Scheduler,  IGA - SLA)""","Mayor's Chief of Staff,DM Intergovernmental Affairs","Camille Joseph-Varlack, Tiffany Raspberry",,,,,https://www1.nyc.gov/site/intergovernmental/state/state-legislative-affairs.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,"This office is a mayoral agency. Have not been able to find its legal source. SLA represents the Mayor and City agencies before the State Legislature, the Governor and State agencies, and reviews all state legislation that affects the City of New York.",,,,,
MAYORS FUND,Mayor's Fund to Advance NYC,Mayoral unit/office,,,,,"""Loraya Harrington-Trujillo (Chief Administrative Officer,  MAYORS FUND)""",DM Strategic Initiatives,Ana Almanzar,,,,,https://www1.nyc.gov/site/fund/about/about.page ,,Co-Director,Certificate of Incorporation of the Mayor's Fund to Advance New York,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission","The agency is led by Rob Speyer. the chairman of the Advisory Board. It is comprised of the Board of Directors and the Board of Advisors who report to the directors on  identifying projects and programs the Mayor's Fund may undertake, raising funds, and providing expertise and guidance in managing the assets of the Mayor's Fund.",Yes,Yes,"Certificate of Incorporation: https://www1.nyc.gov/assets/fund/downloads/pdf/coi-amendment-199610.pdf 
By Laws: https://www1.nyc.gov/assets/fund/downloads/pdf/by-laws-amended-2021.pdf",,,,,"- The Mayor's Fund to Advance New York City is a nonprofit organization that cultivates public-private partnerships that combine the incomparable reach of government with the entrepreneurial spirit of the private sector to create a stronger and more just city for all New Yorkers. It has made strategic investments in programs that support:
    - Improving mental health for New Yorkers
    - Youth workforce development
    - Immigrant rights"
MOA,Mayor's Office of Appointments,Mayoral unit/office,,,Lisa,Lashley,"""Lisa Lashley (Director,  MOA)""",Chief Advisor to the Mayor,Ingrid Martin-Lewis,,,,,https://www1.nyc.gov/site/appointments/about/about.page,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,This office is a mayoral agency. Have not been able to find its legal source.,,,,,"The Mayor’s Office of Appointments' (MOA) core mission is dedicated to advancing the Mayor’s vision of recruiting a diverse, inclusive and unparallel talented team of senior leadership who will help to create and implement important policy decisions that will propel New Yorkers forward.  Our team works in partnership with city agencies and mayoral offices to manage local priorities and partner with civic-minded individuals with the goal to bolster and fortify our City’s infrastructure.  "
MOAS,Mayor's Office of Administrative Services,Mayoral unit/office,,,Mir,Bashar,"""Mir Bashar (Chief Administrative Officer,  MOAS)""",Chief Advisor to the Mayor,Ingrid Martin-Lewis,,,,,,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,https://www1.nyc.gov/assets/dcas/downloads/pdf/about/2020_01_22_mayor_mxxxxx_director_of_office_of_administrative_services.pdf,,,,,"The Administrative Services Office is responsible for coordinating the day-to-day operations of the Mayor’s Office and agencies under City Hall; oversees City Hall’s $60M+ budget; manages the strategic planning and hiring of talent and resources; and provides technical support to staff. Administrative Services is comprised of six units: Fiscal Operations, Human Resources, Management Information Systems, Payroll and Timekeeping, Facilities and Construction Management, and the Print Shop. Additionally, the Office has dotted-line oversight of DCAS chauffeurs assigned to Senior Cabinet."
MOAW,Mayor's Office of Animal Welfare,Mayoral unit/office,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2139,https://www1.nyc.gov/site/animalwelfare/index.page,,,"Charter Chapter 23, Section 581","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,Charter,
MOC,Mayor's Office of Correspondence,Mayoral unit/office,,,Dawn,Baskerville,"""Dawn Baskerville (Director,  MOC)""",Mayor's Chief of Staff,Camille Joseph-Varlack,,,,,,,,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,"https://www1.nyc.gov/assets/dcas/downloads/pdf/about/2020_01_22_mayor_mxxxxx_director_of_office_of_correspondence.pdf
The Mayor’s Office of Correspondence is responsible for reading, routing, and responding to all letters, emails, and 311 calls addressed to the Mayor. Correspondence staff also draft mayoral 
messages, certificates and proclamations for events, in addition to assisting other mayoral offices and agencies with a variety of writing and editing projects",,,,,"'- The Mayor’s Office of Correspondence is responsible for reading, routing, tracking, and responding to the letters, emails, 311 calls and gifts addressed to the Mayor.
- Correspondence staff also drafts mayoral messages, certificates, and proclamations for events in addition to assisting other mayoral offices and agencies with a variety of writing and editing projects.
- The Correspondence Unit is the business owner for the Intranet Quorum (IQ) correspondence database server hosted by the Department of Information Technology and Telecommunications (DoITT). This is a critical archive of all correspondence received and sent by the Administration and is preserved in its entirety by DORIS at the end of each Mayoral administration."
MOCEJ,Mayor's Office of Climate and Environmental Justice,Mayoral unit/office,,checked,Elijah,Hutchinson,"""Elijah Hutchinson (Commissioner/Executive Director,  MOCEJ)"",""Rachel Aaronson (Chief of Staff,  MOCEJ)"",""Nilaja John (Scheduler,  MOCEJ)"",""Paul Lozito (Deputy Executive Director,  MOCEJ)"",""Katie Schmid (Deputy Executive Director,  MOCEJ)""",DM Operations,Meera Joshi,,,,https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2022/eo-4.pdf,https://www1.nyc.gov/site/sustainability/onenyc/environmental-justice.page,,,EO 4 2022,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,2022,Work chart,"MOCEJ develops world-leading climate policies and programs to improve environmental quality of life now and into the future, to mitigate the drivers of climate change, and to adapt our critical facilities and infrastructure and the building stock to updated climate projections. MOCEJ delivers the City's legally mandated and Mayoral sustainability and resiliency targets, and implements at least 27 individual local laws. Finally, MOCEJ delivers key priorities on sustainability for Mayor Adams, including food policy and urban agriculture, Local Law 97 policy, and environmental health and justice policy."
MOCJ,Mayor's Office of Criminal Justice,Mayoral unit/office,,,Deanna,Logan,"""Deanna Logan (Director,  MOCJ)"",""Nora Daniel (Chief of Staff,  MOCJ)"",""Tiffany Wong-Martinez (Executive Assistant,  MOCJ)""",DM Public Safety,Chauncey Parker,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-77,https://criminaljustice.cityofnewyork.us/,,,"Charter Chapter 1, Section 13","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,,,"Admin law, Rules","We deliver criminal justice services and analysis, serving as the City’s criminal justice program implementation office, and advising the Mayor on innovative approaches to reducing crime (particularly gun violence) and unnecessary incarceration while supporting hundreds of direct impact partners on the streets, in the community and neighborhoods, in the courts, and alongside other government actors in pursuit of a safer, smaller, and fairer system. 

Our priorities are as follows:
- Improve public safety and end gun violence
- Promote a safer, smaller, and fairer Jail System
- Promote fairness across the entire touch points of the justice system
- Strengthen justice system coordination
- Collaborate with the non-profit sector to deliver criminal justice services"
MOCS,Mayor's Office of Contract Services,Mayoral unit/office,,checked,Lisa,Flores ,"""Lisa Flores  (Director,  MOCS)"",""Kim  Yu (First Deputy Director,  MOCS)""",Chief Counsel to the Mayor,Allison Stoddart,,,,,https://www1.nyc.gov/site/mocs/about/about-mocs.page,,First Dep Director,,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,This office is a mayoral agency. Have not been able to find its legal source.,,,,"EO, Rules","MOCS is an oversight and services agency focused on driving performance and transforming procurement operations citywide. The agency coordinates stakeholders on priority projects, partners with sector leaders to implement administrative reforms, and ensures that strategic updates are made to procurement policy."
MOECM,Mayor’s Office of Ethnic & Community Media,Mayoral unit/office,,,,,"""Famod Konneh (Associate Director of Outreach,  MOECM)""",DM Communications,Fabian Levy,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5082,,,,Charter Chapter 77,"""Single Agency Head (commissioner, exec director, administrator)""","The executive director can be appointed by the mayor or if the office is established within a department, designated by the head of such department.",Yes,No,,,,,,Promote City services and programs through partnerships with a diverse array of Ethnic and Community Media outlets and Community Based Organizations/Nonprofits that serve people across the five boroughs.
MOERJ,Mayor's Office of Equity & Racial Justice,Mayoral unit/office,,,Sideya,Sherman,"""Sideya Sherman (Commissioner,  MOERJ)"",""Dabash Negash (Deputy Commissioner,  MOERJ)"",""Aura Jimenez (Executive Operations Manager,  MOERJ)""",DM Strategic Initiatives,Ana Almanzar,,,,https://www1.nyc.gov/assets/home/downloads/pdf/executive-orders/2022/eo-5.pdf,https://www.nyc.gov/site/equity/index.page,,,EO 5 2022,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,"Website: 
https://www1.nyc.gov/site/opportunity/portfolio/equitynyc.page 
",,,2022,Charter,
