Acronym,Agency or Office
OCME,Office of the Chief Medical Examiner 
City Clerk,Office of the City Clerk 
Comptroller ,Office of the Comptroller 
OIG-NYPD,Office of the Inspector General for the NYPD
NYCPAO,Office of the Public Advocate
NYPD,Police Department 
PDC,Public Design Commission
Queens BP,Queens Borough President's Office 
Queens CB 1,Queens Community Board 1
Queens CB 2,Queens Community Board 2
Queens CB 3,Queens Community Board 3
Queens CB 4,Queens Community Board 4
Queens CB 5,Queens Community Board 5
Queens CB 6,Queens Community Board 6
Queens CB 7,Queens Community Board 7
Queens CB 8,Queens Community Board 8
Queens CB 9,Queens Community Board 9
Queens CB 10,Queens Community Board 10
Queens CB 11,Queens Community Board 11
Queens CB 12,Queens Community Board 12
Queens CB 13,Queens Community Board 13
Queens CB 14,Queens Community Board 14
RGB,Rent Guidelines Board 
NYCSCI,Special Commissioner of Investigation
SI BP,Staten Island Borough President's Office 
SI CB 1,Staten Island Community Board 1
SI CB 2,Staten Island Community Board 2 
SI CB 3,Staten Island Community Board 3
TLC,Taxi and Limousine Commission
TRS,Teacher's Retirement System 
