Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Age Friendly Commission,,,,,,,,,,Age Friendly Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,age friendly commission,OPS_000147,Age Friendly Commission,Board/Commission,ops,,,,,ops
Algorithm Advisory Committee,,,,,,,,,,Algorithm Advisory Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithm advisory committee,OPS_000138,Algorithm Advisory Committee,Board/Commission,ops,,,,,ops
Animal Care Centers of NYC,,,,,,,,,,Animal Care Centers of NYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,animal care centers of new york city,OPS_000141,Animal Care Centers of NYC,Board/Commission,ops,,,,,ops
Archival Review Board,Archival Review Board,,,,,,,,,Archival Review Board,,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3005",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6585,There shall be in the department an archival review board which shall consist of five members,,,,,,,,,,2002.0,,archival-review-board,2024-07-29,,,Archival Review Board,Archival Review Board,,,archival review board,OPS_000149,Archival Review Board,Board/Commission,ops,,,,,ops
"Archives, Reference and Research Advisory Board ",,,,,,,,,,"Archives, Reference and Research Advisory Board ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives reference and research advisory board,OPS_000150,"Archives, Reference and Research Advisory Board ",Board/Commission,ops,,,,,ops
Association for a Better New York,Association for a Better New York,,,,,,,,Association for a Better New York (ABNY),,,Active,Non-Governmental Organization,,https://abny.org/,,,New York State Law,,,,,,ABNY,,,,,,,1971.0,,association-for-a-better-new-york,2024-07-29,,,Association for a Better New York (ABNY),Association for a Better New York (ABNY),,,association better new york,REC_000009,,,,,,,,nyc_agencies_export
Atlantic Yards Community Development Corporation,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atlantic yards community development corporation,OPS_000153,Atlantic Yards Community Development Corporation (AYCDC),Board/Commission,ops,,,,,ops
Audit Committee,Audit Committee,,,,,,,,,Audit Committee,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 5, Section 97",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-583,"There shall be an audit committee which shall consist of the mayor, the comptroller, the public advocate and four private members appointed by the mayor, two of whom shall be appointed upon the recommendation of the comptroller. The members of the committee shall elect a private member as chair for an annual term commencing on the first day of March.",,,AUDIT,,,,,,,1979.0,,audit-committee,2024-07-29,,,Audit Committee (AUDIT),Audit Committee (AUDIT),,,audit committee,OPS_000152,Audit Committee,Board/Commission,ops,,,,,ops
Banking Commission,,,,,,,,,,Banking Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banking commission,OPS_000155,Banking Commission,Board/Commission,ops,,,,,ops
Black Car and Livery Task Force,,,,,,,,,,Black Car and Livery Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black car and livery task force,OPS_000161,Black Car and Livery Task Force,Board/Commission,ops,,,,,ops
Board of Collective Bargaining ,,,,,,,,,,Board of Collective Bargaining ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board of collective bargaining,OPS_000159,Board of Collective Bargaining ,Board/Commission,ops,,,,,ops
Board of Correction,"Correction, Board of",Board of Correction,Board of Correction,"Correction, Board of","Correction, Board of (BOC)",,"Correction, Board of (BOC)","Correction, Board of (BOC)",Board of Correction (BOC),Board of Correction,Board of Correction,Active,"Advisory, Oversight, or Regulatory Body","The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",http://www.nyc.gov/boc,,Deputy Mayor for Public Safety,New York City Charter,"Chapter 25, Section 626",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2217,"There shall be a city board of correction to consist of nine members. Members shall be appointed for a term of six years. Vacancies shall be filled for the remainder of the unexpired term. Three members shall be appointed by the mayor, three by the council, and three by the mayor on the nomination jointly by the presiding justices of the appellate division of the supreme court for the first and second judicial departments. Appointments shall be made by the three respective appointing authorities on a rotating basis to fill any vacancy occurring on or after the effective date of this charter. Members of the board may be reimbursed for expenses incurred in the performance of their duties. The chairman of the board shall be designated from time to time by the mayor from among its members. Members of the board may be removed by the mayor for cause and after a hearing at which they shall be entitled to representation by counsel.",,,BOC,,73.0,Jasmine Georges-Villa,Interim Executive Director,,,1957.0,,board-of-correction,2024-07-29,,,Board of Correction (BOC),"Correction, Board of (BOC)",Jasmine,Georges-Villa,board of correction,OPS_000167,Board of Correction,Board/Commission,ops,Jasmine Georges-Yilla,Executive Director ,https://www.nyc.gov/site/boc/about/contact-the-executive-director.page,"[""OPS_000167"", ""REC_000045""]",ops
Board of Education Retirement System,"Education Retirement System, Board of",Board of Education Retirement System,,"Education Retirement System, Board of",Board of Education Retirement System (BERS),,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System,Active,"Advisory, Oversight, or Regulatory Body","The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",https://www.bers.nyc.gov/,,Independent,New York State Law,"Article 52, Section 2575-E",https://www.nysenate.gov/legislation/laws/EDN/2575-E,"Eligibility of retirees for membership in the board of education retirement system of the city of New York. Notwithstanding any inconsistent provision of sections 13-267 and 13-379 of the administrative code of the city of New York, or any other provision of this chapter, or the code, or any other law, a person otherwise eligible for membership in the board of education retirement system of the city of New York, who files with the board a statement duly executed and acknowledged consenting for the period of his or her active membership in the system to the suspension of all present benefits provided wholly or partly by the city through any other retirement system or pension fund and consenting and agreeing to membership and to the deductions for annuity purposes prescribed in this chapter shall be a member of the board of education retirement system of the city of New York. Upon the subsequent retirement of such person from the board of education retirement system of the city of New York, he or she shall receive benefits based on creditable service not included in the service upon which his or her retirement allowance or pension from such other retirement system or pension fund is or would be based, and, upon such subsequent retirement, payment of the benefits provided through such other retirement system or pension fund, which had been suspended, shall be resumed.",,,BERS,,,Sanford Rich,Executive Director,,,1921.0,,board-of-education-retirement-system,2024-07-29,,,Board of Education Retirement System (BERS),"Education Retirement System, Board of (BERS)",Sanford,Rich,board of education retirement system,REC_000011,,,,Sanford Rich,Executive Director ,https://www.bers.nyc.gov/site/bers/about/email-bers.page,"[{'id': 'HOO_000008', 'name': 'Board of Education Retirement System (BERS)', 'score': None}]",nyc_agencies_export
Board of Elections,"Elections, Board of",,Board of Elections,"Elections, Board of","Elections, Board of (BOE)",Board of Elections (BOENY),"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOE),Board of Elections,Board of Elections,Active,Non-Mayoral Agency,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",https://vote.nyc/,,Independent,New York City Charter,"Chapter 46-A, Section 1057-aa",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6192,The board of elections in the city of New York shall adopt all necessary rules and carry out all necessary staff training to carry out the provisions of this chapter.,,,BOE,,3.0,Simon Shamoun,President,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,,1974.0,,board-of-elections,2024-07-29,,,Board of Elections (BOE),"Elections, Board of (BOE)",Simon,Shamoun,board of elections,OPS_000390,Board of Elections,Independent,ops,Simon Shamoun,President,https://vote.nyc/page/contact-us,"[""OPS_000390"", ""REC_000067""]",ops
Board of Health,"Health, Board of",,,,,,,,,Board of Health,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 22, Section 553",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6203,"There shall be in the department a board of health, the chairperson of which shall be the commissioner. In addition to the chairperson, the board shall consist of ten members, five of whom shall be doctors of medicine who shall each have had not less than ten years experience in any or all of the following: clinical medicine, neurology or psychiatry, public health administration or college or university public health teaching. The other five members need not be physicians. However, non-physician members shall hold at least a masters degree in environmental, biological, veterinary, physical, or behavioral health or science, or rehabilitative science or in a related field, and shall have at least ten years experience in the field in which they hold such degree. One member of the board shall be the chairperson of the mental hygiene advisory board, as set forth in section 568 of the charter, provided that such chairperson shall meet the requirements for board membership of either a physician or non-physician member.",,,,,,,,,,1805.0,,board-of-health,2024-07-29,,,Board of Health,"Health, Board of",,,board of health,OPS_000168,Board of Health,Board/Commission,ops,,,,,ops
Board of Standards and Appeals,"Standards and Appeals, Board of",Board of Standards and Appeals,,"Standards And Appeals, Board of","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals,Active,"Advisory, Oversight, or Regulatory Body",The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,http://www.nyc.gov/bsa,,Independent,New York City Charter,"Chapter 27, Section 659",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2277,There shall be an independent board of standards and appeals located within the office of administrative trials and hearings. The board of standards and appeals shall consist of five members to be termed commissioners to be appointed by the mayor each for a term of six years.,,,BSA,,,Shampa Chanda,Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,,1916.0,,board-of-standards-and-appeals,2024-07-29,,,Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)",Shampa,Chanda,board of standards and appeals,OPS_000172,Board of Standards and Appeals,Board/Commission,ops,Shampa Chanda,Chair,https://www.nyc.gov/site/bsa/contact-bsa/send-a-message-to-chair.page,"[""OPS_000172"", ""REC_000223""]",ops
Borough President - Bronx,,,,,Borough President- Bronx,,,,,Boro President Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president bronx,OPS_000392,Boro President Bronx,Independent,ops,Vanessa Gibson ,Borough President- Bronx,https://bronxboropres.nyc.gov/contact/,"[""OPS_000392"", ""REC_000015""]",ops
Borough President - Brooklyn,,,,,Borough President- Brooklyn,,,,,Boro President Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president brooklyn,OPS_000391,Boro President Brooklyn,Independent,ops,Antonio Reynoso,Borough President- Brooklyn,https://www.brooklynbp.nyc.gov/contact/,"[""OPS_000391"", ""REC_000016""]",ops
Borough President - Manhattan,,,,,Borough President- Manhattan,,,,,Boro President Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president manhattan,OPS_000393,Boro President Manhattan,Independent,ops,Mark Levine,Borough President- Manhattan,https://www.manhattanbp.nyc.gov/connect/,"[""OPS_000393"", ""REC_000017""]",ops
Borough President - Queens,Borough Presidents,,,,Borough President- Queens,,,,,Boro President Queens,,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.nyc.gov/nyc-resources/about-the-city-of-new-york.page,,The People of the City of New York,New York City Charter,"Chapter 4, Section 81",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-473,"There shall be a president of each borough, who shall be a resident thereof at the time of election and remain a resident thereof throughout the term of office.",,,,,,,,,,1898.0,,borough-presidents,2024-07-29,,,Borough Presidents,Borough Presidents,,,boro president queens,OPS_000394,Boro President Queens,Independent,ops,Donovan Richards Jr.,Borough President- Queens,https://www.queensbp.nyc.gov/,"[""OPS_000394"", ""REC_000018"", ""REC_000020""]",ops
Borough President - Staten Island,,,,,Borough President- Staten Island,,,,,Boro President Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president staten island,OPS_000395,Boro President Staten Island,Independent,ops,Vito Fossella,Borough President- Staten Island,https://www.statenislandusa.com/contact.html,"[""OPS_000395"", ""REC_000019""]",ops
Borough Boards,Borough Boards,,,,,,,,,,,Active,"Advisory, Oversight, or Regulatory Body",,,,Borough Presidents,New York City Charter,"Chapter 4, Section 85",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-512,"There shall be in each borough a board to be known as the borough board which shall consist of the borough president and the district council members from such borough, and the chairperson of each community board in the borough. The borough president shall be the chairperson of such board, which shall hold public hearings at stated intervals in the borough and report to the council, the mayor and the city planning commission on borough programs and proposed borough capital projects.",,,,,,,,,,1898.0,,borough-boards,2024-07-29,,,Borough Boards,Borough Boards,,,borough boards,REC_000012,,,,,,,,nyc_agencies_export
Borough Historians,Borough Historians,,,Borough Historians,,,,,,,,Active,"Advisory, Oversight, or Regulatory Body",,,,Borough Presidents,New York State Law,"Chapter 11-C, Title U, Article 57, Section 57.07",https://www.nysenate.gov/legislation/laws/ACA/57.07,"Local historian; appointment; maintenance of historical edifices. 1. A local historian shall be appointed, as provided in this section, for each city, town or village, except that in a city of over one million inhabitants a local historian shall be appointed for each borough therein instead of for the city at large; and a county historian may be appointed for each county. Such historian shall be appointed as follows: For a city, by the mayor; for a borough, by the borough president; for a town, by the supervisor; for a village, by the mayor; for a county, by the board of supervisors. Such historian shall serve without compensation, unless the governing board of the city, town, village or county for or in which he or she was appointed or in the city of New York, the mayor, shall otherwise provide. In a city having a board of estimate, other than the city of New York, a resolution or ordinance establishing compensation or salary for such historian shall not take effect without the concurrence of such board. Each local government historian shall promote the establishment and improvement of programs for the management and preservation of local government records with enduring value for historical or other research; encourage the coordinated collection and preservation of nongovernmental historical records by libraries, historical societies, and other repositories; and carry out and actively encourage research in such records in order to add to the knowledge, understanding and appreciation of the community's history. The local authorities of the city, town, village or county for which such historian is appointed, may provide the historian with sufficient space in a safe, vault or other fire proof structure for the preservation of historical materials collected. Such local authorities and also the board of supervisors of each of the counties of the state are hereby authorized and empowered to appropriate, raise by tax and expend moneys for historical purposes within their several jurisdictions, including historical edifices, the erection of historical markers and monuments, the collection of war mementos, and, either alone or in cooperation with patriotic or historical organizations, the preparation and publication of local histories and records and the printing and issuing of other historical materials in aid of the work of the local historian.",,,,,,,,,,,,borough-historians,2024-07-29,,,Borough Historians,Borough Historians,,,borough historians,REC_000013,,,,,,,,nyc_agencies_export
Borough Historical Societies,Borough Historical Societies,,,Borough Historical Societies,,,,,,,,Active,Non-Governmental Organization,,,,,New York State Law,,,,,,,,,,,,,,,borough-historical-societies,2024-07-29,,,Borough Historical Societies,Borough Historical Societies,,,borough historical societies,REC_000014,,,,,,,,nyc_agencies_export
Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,,,Brooklyn Bridge Park Corporation,,,,,,Brooklyn Bridge Park Corporation,,Active,Authority or Public Benefit Corporation,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,,MOU,Memorandum of Understanding by and between the State of New York and the City of New York regarding Brooklyn Bridge Park,https://www.brooklynbridgepark.org/wp-content/uploads/2020/10/FEIS_Appendix-A.-Memorandum-of-Understanding.pdf,,,,BBPC,,,,,,,2010.0,,brooklyn-bridge-park-corporation,2024-07-29,,,Brooklyn Bridge Park Corporation (BBPC),Brooklyn Bridge Park Corporation (BBPC),,,brooklyn bridge park corporation,OPS_000157,Brooklyn Bridge Park Corporation,Board/Commission,ops,,,,,ops
Brooklyn Bridge Park Development Corporation,,,,,,,,,,Brooklyn Bridge Park Development Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn bridge park development corporation,OPS_000158,Brooklyn Bridge Park Development Corporation,Board/Commission,ops,,,,,ops
Brooklyn Marine Terminal Task Force,,,,,,,,,,Brooklyn Marine Terminal Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brooklyn marine terminal task force,OPS_000165,Brooklyn Marine Terminal Task Force,Board/Commission,ops,,,,,ops
Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,,,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard,,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation (BNYDC),Brooklyn Navy Yard Development Corporation,,Active,Authority or Public Benefit Corporation,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",https://brooklynnavyyard.org/,,,New York State Law,,,,,,BNYDC,,,Lindsay Greene,Chief Executive Officer,,,1981.0,,brooklyn-navy-yard-development-corporation,2024-07-29,,,Brooklyn Navy Yard Development Corporation (BNYDC),Brooklyn Navy Yard Development Corporation (BNYDC),Lindsay,Greene,brooklyn navy yard development corporation,OPS_000166,Brooklyn Navy Yard Development Corporation,Board/Commission,ops,Lindsay Greene,Chief Execuitive Officer ,https://www.brooklynnavyyard.org/,"[""OPS_000166"", ""REC_000021""]",ops
Brooklyn Public Library,Brooklyn Public Library,,Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library,Brooklyn Public Library,Active,Non-Governmental Organization,,https://www.bklynlibrary.org/,,,New York State Law,,,,,,BPL,,38.0,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,,1896.0,,brooklyn-public-library,2024-07-29,,,Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),,,brooklyn public library,OPS_000169,Brooklyn Public Library,Board/Commission,ops,Linda E. Johnson,President & Chief Execuitive Officer ,https://www.bklynlibrary.org/contact,"[""OPS_000169"", ""REC_000098""]",ops
BuildNYC,,,,,,,,,,BuildNYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buildnyc,OPS_000173,BuildNYC,Board/Commission,ops,,,,,ops
Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission,Active,"Advisory, Oversight, or Regulatory Body","The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",http://www.nyc.gov/bic,Chief Counsel to the Mayor and City Hall,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 63, Section 2100",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3867,"There shall be a business integrity commission, which shall consist of a full-time chairperson appointed by the mayor and of the commissioners of the department of small business services, the department of consumer and worker protection, the department of investigation, the police department and the department of sanitation, or their designees.",,,BIC,,829.0,Elizabeth Crotty,Commissioner/Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,,2002.0,,business-integrity-commission,2024-07-29,,,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Elizabeth,Crotty,business integrity commission,OPS_000164,Business Integrity Commission,Board/Commission,ops,Elizabeth Crotty,Commissioner/Chair,https://www.nyc.gov/site/bic/contact/email-the-commissioner.page,"[{'id': 'HOO_000017', 'name': 'Business Integrity Commission (BIC)', 'score': None}]",ops
