Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
Age Friendly Commission,,,,,,,,,,,,,,,,,,,Age Friendly Commission,
Algorithm Advisory Committee,,,,,,,,,,,,,,,,,,,Algorithm Advisory Committee,
Animal Care Centers of NYC,,,,,,,,,,,,,,,,,,,Animal Care Centers of NYC,
Archival Review Board,Archival Review Board,,,,,,Department of Records and Information Systems,,,,,,2002.0,,,,,,Archival Review Board,
"Archives, Reference and Research Advisory Board ",,,,,,,,,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",
Association for a Better New York,Association for a Better New York,,https://abny.org/,,,,,,ABNY,,,,1971.0,,,,,,,
Atlantic Yards Community Development Corporation,,,,,,,,,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),
Audit Committee,Audit Committee,,,,,,,,AUDIT,,,,1979.0,,,,,,Audit Committee,
Banking Commission,,,,,,,,,,,,,,,,,,,Banking Commission,
Black Car and Livery Task Force,,,,,,,,,,,,,,,,,,,Black Car and Livery Task Force,
Board of Collective Bargaining ,,,,,,,,,,,,,,,,,,,Board of Collective Bargaining ,
Board of Correction,"Correction, Board of","Correction, Board of (BOC)",http://www.nyc.gov/boc,"The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",Jasmine Georges-Villa,Interim Executive Director,,,BOC,,73.0,,1957.0,Board of Correction,"Correction, Board of",,"Correction, Board of (BOC)","Correction, Board of (BOC)",Board of Correction,Board of Correction
Board of Education Retirement System,"Education Retirement System, Board of",Board of Education Retirement System (BERS),https://www.bers.nyc.gov/,"The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",Sanford Rich,Executive Director,,,BERS,,,,1921.0,,"Education Retirement System, Board of",,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System
Board of Elections,"Elections, Board of","Elections, Board of (BOE)",https://vote.nyc/,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",Simon Shamoun,President,,,BOE,,3.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,1974.0,Board of Elections,"Elections, Board of",Board of Elections (BOENY),"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections,Board of Elections
Board of Health,"Health, Board of",,,,,,,,,,,,1805.0,,,,,,Board of Health,
Board of Standards and Appeals,"Standards and Appeals, Board of","Standards and Appeals, Board of (BSA)",http://www.nyc.gov/bsa,The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,Shampa Chanda,Chair,,,BSA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,1916.0,,"Standards And Appeals, Board of",Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals,Board of Standards And Appeals
Borough President - Bronx,,Borough President- Bronx,,,,,,,,,,,,,,,,,Boro President Bronx,
Borough President - Brooklyn,,Borough President- Brooklyn,,,,,,,,,,,,,,,,,Boro President Brooklyn,
Borough President - Manhattan,,Borough President- Manhattan,,,,,,,,,,,,,,,,,Boro President Manhattan,
Borough President - Queens,Borough Presidents,Borough President- Queens,https://www.nyc.gov/nyc-resources/about-the-city-of-new-york.page,,,,,,,,,,1898.0,,,,,,Boro President Queens,
Borough President - Staten Island,,Borough President- Staten Island,,,,,,,,,,,,,,,,,Boro President Staten Island,
Borough Boards,Borough Boards,,,,,,,,,,,,1898.0,,,,,,,
Borough Historians,Borough Historians,,,,,,,,,,,,,,Borough Historians,,,,,
Borough Historical Societies,Borough Historical Societies,,,,,,,,,,,,,,Borough Historical Societies,,,,,
Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,,,,,BBPC,,,,2010.0,,Brooklyn Bridge Park Corporation,,,,Brooklyn Bridge Park Corporation,
Brooklyn Bridge Park Development Corporation,,,,,,,,,,,,,,,,,,,Brooklyn Bridge Park Development Corporation,
Brooklyn Marine Terminal Task Force,,,,,,,,,,,,,,,,,,,Brooklyn Marine Terminal Task Force,
Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard,https://brooklynnavyyard.org/,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",Lindsay Greene,Chief Executive Officer,,,BNYDC,,,,1981.0,,Brooklyn Navy Yard Development Corporation,,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation,
Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",https://www.bklynlibrary.org/,,,,,,BPL,,38.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,1896.0,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library (BPL),"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library,Brooklyn Public Library
BuildNYC,,,,,,,,,,,,,,,,,,,BuildNYC,
Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),http://www.nyc.gov/bic,"The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",Elizabeth Crotty,Commissioner/Chair,Chief Counsel to the Mayor and City Hall,,BIC,,829.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,2002.0,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission
Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,,,,,,Department for the Aging,,,,,,2022.0,,,,,,,
Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),http://www.nyccfb.info/,"The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",Frederick Schaffer,Chair,,,CFB,,4.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Campaign+Finance+Board+%28CFB%29,1988.0,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board
Cannabis Advisory Council,,,,,,,,,,,,,,,,,,,Cannabis Advisory Council,
Caribbean Advisory Council,,,,,,,,,,,,,,,,,,,Caribbean Advisory Council,
Catskill Watershed Corporation ,,,,,,,,,,,,,,,,,,,Catskill Watershed Corporation ,
Center for Brooklyn History,,,,,,,,,,,,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),
Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence (CIDI),http://www.nyc.gov/cidi,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons’ confidentiality in its research activities.   ",Maryanne Schretzman,Executive Director,Mayor's Office,,CIDI,,,,2011.0,,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence
Central Park Conservancy,,,,,,,,,,,,,,,,,,,Central Park Conservancy,
Chancellor,,,,,,,,,,,,,,,,,,,Chancellor,
Charter Revision Commission,Charter Revision Commission,Charter Revision Commission,https://www.nyc.gov/site/charter/index.page,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",,Chair,,,CRC,,,,,,,,Charter Revision Commission,Charter Revision Commission,Charter Revision Commission,
Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",Mayor's Office - Chief Advisor to the Mayor,,,,Chief Advisor to the Mayor,Mayor's Office,,,,,,2022.0,,,,,Office of the Chief Advisor to the Mayor,Chief Advisor to the Mayor,
Chief Climate Officer,Chief Climate Officer,,,,,,Mayor's Office,,,,,,2022.0,,,,,,Chief Climate Officer,
Chief Efficiency Officer,"Efficiency, Mayor's Office of",Mayor's Office - Chief Efficiency Officer,,,,,Mayor's Office,,,,2.0,,2022.0,,,,,,Chief Efficiency Officer,
Chief Housing Officer,Chief Housing Officer,Mayor's Office - Chief Housing officer (Resigned in July),,,,Chief Housing Officer,Mayor's Office,,,,,,2022.0,,,,,Office of the Chief Housing Officer,,
Chief Technology Officer,Chief Technology Officer,,,,,,Mayor's Office,,,,,,2014.0,,,,,,,
Child Care Advisory Board,Child Care Advisory Board,,,,,,,,,,,,2022.0,,,,,,Child Care Advisory Board,
Child Care Task Force,,,,,,,,,,,,,,,,,,,Child Care Task Force,
Child Fatality Review Advisory Team,,,,,,,,,,,,,,,,,,,Child Fatality Review Advisory Team,
CIG - American Museum of Natural History,,,,,,,,,,,,,,,,,,,CIG - American Museum of Natural History,
CIG - Bronx County Historical Society,,,,,,,,,,,,,,,,,,,CIG - Bronx County Historical Society,
CIG - Bronx Museum of the Arts,,,,,,,,,,,,,,,,,,,CIG - Bronx Museum of the Arts,
CIG - Brooklyn Academy of Music,,,,,,,,,BAM,,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),
CIG - Brooklyn Botanical Garden,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Botanical Garden,
CIG - Brooklyn Children's Museum,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Children's Museum,
CIG - Brooklyn Museum,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Museum,
CIG - Carnegie Hall,,,,,,,,,,,,,,,,,,,CIG - Carnegie Hall,
CIG - El Museo del Barrio,,,,,,,,,,,,,,,,,,,CIG - El Museo del Barrio,
CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,,,,,,,,,,,,,,,,,,,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,
CIG - Jamaica Center for Arts and Learning,,,,,,,,,,,,,,,,,,,CIG - Jamaica Center for Arts and Learning,
CIG - Jazz at Lincoln Center,,,,,,,,,,,,,,,,,,,CIG - Jazz at Lincoln Center,
CIG - Lincoln Center for the Performing Arts,,,,,,,,,,,,,,,,,,,CIG - Lincoln Center for the Performing Arts,
CIG - Metropolitan Museum of Art,,,,,,,,,,,,,,,,,,,CIG - Metropolitan Museum of Art,
CIG - Museum of the City of New York,,,,,,,,,,,,,,,,,,,CIG - Museum of the City of New York,
CIG - Museum of Jewish Heritage,,,,,,,,,,,,,,,,,,,CIG - Museum of Jewish Heritage,
CIG - Museum of Modern Art,,,,,,,,,,,,,,,,,,,CIG - Museum of Modern Art,
CIG - Museum of the Moving Image,,,,,,,,,,,,,,,,,,,CIG - Museum of the Moving Image,
CIG - New York Botanical Garden,,,,,,,,,,,,,,,,,,,CIG - New York Botanical Garden,
CIG - New York City Ballet,,,,,,,,,,,,,,,,,,,CIG - New York City Ballet,
CIG - New York City Center,,,,,,,,,,,,,,,,,,,CIG - New York City Center,
CIG - New York Hall of Science,,,,,,,,,,,,,,,,,,,CIG - New York Hall of Science,
CIG - PS 1 Contemporary Art Center,,,,,,,,,,,,,,,,,,,CIG - PS 1 Contemporary Art Center,
CIG - Public Theater,,,,,,,,,,,,,,,,,,,CIG - Public Theater,
CIG - Queens Botanical Garden,,,,,,,,,,,,,,,,,,,CIG - Queens Botanical Garden,
CIG - Queens Museum of Art,,,,,,,,,,,,,,,,,,,CIG - Queens Museum of Art,
CIG - Queens Theatre in the Park,,,,,,,,,,,,,,,,,,,CIG - Queens Theatre in the Park,
CIG - Snug Harbor Cultural Center & Botanical Garden,,,,,,,,,SHCC,,,,,,,,,,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),
CIG - Staten Island Children’s Museum,,,,,,,,,,,,,,,,,,,CIG - Staten Island Children’s Museum,
CIG - Staten Island Historical Society,,,,,,,,,,,,,,,,,,,CIG - Staten Island Historical Society,
CIG - Staten Island Museum,,,,,,,,,SIIAS,,,,,,,,,,CIG - Staten Island Museum (also known as SIIAS),
CIG - Staten Island Zoological Society,,,,,,,,,,,,,,,,,,,CIG - Staten Island Zoological Society,
CIG - Studio Museum in Harlem,,,,,,,,,,,,,,,,,,,CIG - Studio Museum in Harlem,
CIG - Wave Hill,,,,,,,,,,,,,,,,,,,CIG - Wave Hill,
CIG - Weeksville Heritage Center,,,,,,,,,,,,,,,,,,,CIG - Weeksville Heritage Center,
CIG - Wildlife Conservation Society,,,,,,,,,,,,,,,,,,,CIG - Wildlife Conservation Society,
Citizens' Advisory Committee,Citizens' Advisory Committee for Cultural Plan,,,,,,Department of Cultural Affairs,,,,,,2017.0,,,,,,Citizens' Advisory Committee (DCLA),
City Commission on Human Rights,"Human Rights, Commission on","Human Rights, City Commission on (CCHR)",http://www.nyc.gov/cchr,"The New York City Commission on Human Rights is charged with the enforcement of the Human Rights Law, Title 8 of the Administrative Code of the City of New York, and with educating the public and encouraging positive community relations. ",Annabel Palma,Commissioner,,,CCHR,,226.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+on+Human+Rights+%28CCHR%29,1955.0,Commission on Human Rights,"Human Rights, Commission on",Commission on Human Rights (CCHR),"Human Rights, City Commission on (CCHR)","Human Rights, City Commission on (CCHR)",City Commission on Human Rights,Commission on Human Rights
City Council,City Council,"City Council, New York",http://council.nyc.gov/,"The Council monitors the operation and performance of city agencies, makes land use decisions and has sole responsibility for approving the city's budget. It also legislates on a wide range of other subjects. The Council is an equal partner with the Mayor in the governing of New York City.",,Speaker,,,NYCC,,102.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+Council+%28NYCC%29,1653.0,City Council,City Council,City Council (NYCC),"City Council, New York","City Council, New York",City Council,City Council
City Planning Commission,City Planning Commission,,https://www.nyc.gov/site/planning/about/commission.page,,,,,,,,,,1936.0,,City Planning Commission,,,,City Planning Commission,City Planning Commission
CUNY - Board of Trustees,City University of New York,City University of New York (CUNY),http://www.cuny.edu/,"The City University of New York (CUNY) is the largest urban university in the US, serving more than 400,000 students.",Félix V. Matos Rodríguez,Chancellor,,,CUNY,,42.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=City+University+of+New+York+%28CUNY%29,1847.0,City University of New York,City University of New York,City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),CUNY - Board of Trustees,City University of New York
CUNY Construction Fund - Board of Trustees,City University Construction Fund,,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,,,,,,CUCF,,,,1966.0,City University Construction Fund,City University Construction Fund,,,,CUNY Construction Fund - Board of Trustees,City University Construction Fund
CUNY Task Force,,,,,,,,,,,,,,,,,,,CUNY Task Force,
Civic Engagement Commission,Civic Engagement Commission,Civic Engagement Commission (CEC),https://www1.nyc.gov/site/civicengagement/index.page,"The Civic Engagement Commission strives to enhance civic participation, promote civic trust, and strengthen democracy in New York City.",Sarah Sayeed,Chair and Executive Director,Mayor's Office,,CEC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civic+Engagement+Commission+%28CEC%29,2019.0,,,Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission,Civic Engagement Commission
Civil Service Commission,Civil Service Commission,Civil Service Commission (CSC),http://www.nyc.gov/csc,The Civil Service Commission functions as a quasi-judicial body for individual appeals from disciplinary actions and appeals from decisions of the Commissioner of the Department of Citywide Administrative Services and acts as guardian of the City's merit system.,Nancy G. Chaffetz,Commissioner and Chair,,,CSC,,134.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civil+Service+Commission,1883.0,Civil Service Commission,"Civil Service Commission, City",Civil Service Commission,Civil Service Commission (CSC),Civil Service Commission (CSC),Civil Service Commission,Civil Service Commission
Civil Service Commission Screening Committee,,,,,,,,,,,,,,,,,,,Civil Service Commission Screening Committee,
Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board (CCRB),http://www.nyc.gov/ccrb,The agency takes complaints from people who believe they’ve experienced misconduct by a NYC police officer and want to file a complaint. The CCRB is impartial and not part of the police department.,Jonathan Darche,Executive Director,,,CCRB,,54.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Civilian+Complaint+Review+Board+%28CCRB%29,1953.0,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board ,Civilian Complaint Review Board
Climate Change Adaptation Taskforce,,,,,,,,,,,,,,,,,,,Climate Change Adaptation Taskforce,
Climate Mobilization Advisory Board,,,,,,,,,,,,,,,,,,,Climate Mobilization Advisory Board,
Commercial Waste Zone Safety Task Force,,,,,,,,,,,,,,,,,,,Commercial Waste Zone Safety Task Force,
Commission to Combat Police Corruption,"Combat Police Corruption, Commission to",Commission to Combat Police Corruption (CCPC),http://www.nyc.gov/ccpc,"The Commission to Combat Police Corruption was created in 1995 as a permanent board to monitor and evaluate the anti-corruption programs, activities, commitment, and efforts of the New York City Police Department, and is completely independent of the NYPD.",Kathy H. Chin,Acting Chair,,,CCPC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+to+Combat+Police+Corruption+%28CCPC%29,1995.0,,"Police Corruption, Commission To Combat",Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption,Commission to Combat Police Corruption
Commission on Community Reinvestment and the Closure of Rikers Island,,,,,,,,,,,,,,,,,,,Commission on Community Reinvestment and the Closure of Rikers Island,
Commission on Gender Equity,"Gender Equity, Commission on",Commission on Gender Equality (CGE),http://www.nyc.gov/genderequity,"Mayor de Blasio established New York City’s Commission on Gender Equity (CGE) through Executive Order Number 10. This Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls regardless of race, ethnicity, class, gender identity and sexual orientation and helps achieve the Mayor’s commitment to reduce gender-based inequity.",Jacqueline Ebanks,Executive Director,,,CGE,,,,2015.0,,,,Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),Commission on Gender Equity,Commission on Gender Equity
Commission on Public Information and Communication,,,,,,,,,,,,,,,,,,,Commission on Public Information and Communication,
Commission on Racial Equity,"Racial Equity, Commission on",NYC Commission on Racial Equity,https://www.nyc.gov/content/core/pages/,"The Commission on Racial Equity is a new independent 15-member commission responsible for holding government accountable to advancing racial equity in government operations and uplifting community voices in government decision making. CORE provides accountability for New Yorkers, regularly evaluating the City’s progress on its racial requirements and goals. CORE will be composed of diverse New Yorkers with equity expertise and/or relevant lived experience, serving as a conduit to bring historically excluded communities and voices into government decision-making. CORE’s independent commission composed of 15 commissioners, including one Chair Executive Director, jointly appointed by the Mayor and New York City Council Speaker. Other CORE commissioners will be appointed by the Mayor, City Council Speaker, City Comptroller, and Public Advocate. City officials appointing commissioners to CORE are required to consider individuals that represent or have advocated for historically excluded voices, including people with lived experience of marginalization and individuals who have never served on a government board or commission before.",Linda Tigani,Chair & Executive Director,,,CORE,,,,2022.0,,,,NYC Commission on Racial Equity,NYC Commission on Racial Equity,Commission on Racial Equity,
Commission on Women's Issues,"Women's Issues, Commission on",,"https://council.nyc.gov/committees/women-and-gender-equality/#:~:text=The%20Committee%20on%20Women%20and,the%20Commission%20on%20Gender%20Equity.",,,,,,CWI,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+on+Women%27s+Issues+%28CWI%29,1975.0,,,Commission on Women’s Issues (CWI),,,,
Committee on City Healthcare Services,"City Healthcare Services, Committee on",,,,,,,,,,,,2018.0,,,,,,Committee on City Healthcare Services,
Community Action Board – Dept. of Youth and Community Development,,,,,,,,,,,,,,,,,,,Community Action Board – Dept. of Youth and Community Development,
Community Affairs Unit,"Community Affairs Unit, Mayor's",Community Affairs Unit (CAU),http://www.nyc.gov/cau,The Community Affairs Unit works with neighborhood groups and City Agencies to improve the quality of life in NYC by delivering services more efficiently.,Fred Kreizman,Commissioner,Office of Engagement,,CAU,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Community+Affairs+Unit+%28CAU%29,2011.0,,,Mayor’s Community Affairs Unit (CAU),Community Affairs Unit (CAU),Community Affairs Unit (CAU),Community Affairs Unit,Community Affairs Unit
Community Boards,Community Boards,Community Boards (CB),https://www.nyc.gov/site/communityboards/index.page,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",Fred Kreizman,"Commissioner, Community Affairs Unit (CAU)",Department of Youth and Community Development,,CB,,,,1951.0,,,,Community Boards (CB),Community Boards (CB),Community Boards,
Community Services Board,,,,,,,,,,,,,,,,,,,Community Services Board (formerly known as Mental Hygiene Advisory Board),
Community Services Board - Developmental Disabilities Subcommittee,,,,,,,,,,,,,,,,,,,Community Services Board - Developmental Disabilities Subcommittee,
Community Services Board - Mental Health Subcommittee,,,,,,,,,,,,,,,,,,,Community Services Board - Mental Health Subcommittee,
Community Services Board - Substance Use Subcommittee,,,,,,,,,,,,,,,,,,,Community Services Board - Substance Use Subcommittee,
Comptroller,"Comptroller, Office of the",Comptroller (COMP),http://comptroller.nyc.gov/,"The Comptroller is responsible for conducting performance and financial audits of all City agencies; serving as a fiduciary to the City’s five public pension funds totaling nearly $140 billion in assets; providing comprehensive oversight of the City’s budget and fiscal condition; reviewing City contracts for integrity, accountability and fiscal compliance; managing the fair, efficient and effective resolution of claims; ensuring transparency and accountability in the prevailing wage rate-setting process and vigorously enforcing prevailing wage and living wage laws; and promoting innovative policies that enhance City government’s efficiency, integrity and performance for all New Yorkers.",Brad Lander,Comptroller,,,,,15.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+the+Comptroller+%28COMPTROLLER%29,1803.0,Office of the Comptroller,Comptroller,Office of the Comptroller (COMPTROLLER),Comptroller (COMP),Comptroller (COMP),Comptroller,Office of the Comptroller
Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board (COIB),http://www.nyc.gov/conflicts,The Conflicts of Interest Board administers the City's conflicts of interest and financial disclosure laws.,Carolyn Miller,Executive Director,,,COIB,,312.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Conflicts+of+Interest+Board+%28COIB%29,1989.0,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board,Conflicts of Interest Board
Convention Center Development Corporation,,,,,,,,,,,,,,,,,,,Convention Center Development Corporation,
Convention Center Operating Corporation (Javits),,,,,,,,,,,,,,,,,,,Convention Center Operating Corporation (Javits),
Council for Airport Opportunity - Board of Directors,,,,,,,,,,,,,,,,,,,Council for Airport Opportunity - Board of Directors,
Chief Counsel to the Mayor and City Hall,"Chief Counsel to the Mayor and City Hall, Office of the",Mayor's Office - Chief Counsel to the Mayor and City Hall,https://www1.nyc.gov/site/counseltothemayor/index.page,"The Counsel to the Mayor and City Hall advises the Mayor on legal matters involving City Hall and the executive staff, as well as provide counsel to the Mayor on legal aspects of policy and administrative matters.",Lisa Zornberg,Chief Counsel to the Mayor and City Hall,Mayor's Office,Office of the Chief Counsel to the Mayor,,,2.0,,1665.0,,,,"Counsel to the Mayor, Office of","Counsel to the Mayor, Office of",Counsel to the Mayor,Counsel to the Mayor
Office of Creative Communications,,,,,,,,,,,,,,,,,,,Creative Communications,
