Name,NameAlphabetized,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NameWithAcronym,NameAlphabetizedWithAcronym,Agency Name,AgencyNameEnriched,LegalName,AlternateNames,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,source,HeadOfOrganizationTitle,RecordID,HeadOfOrganizationName,NameNormalized,Entity type,data_source,merged_from,merge_note,dedup_source
,,,,,,,,,,Special Commissioner of Investigation for the New York City School District,,,,Special Commissioner of Investigation for the New York City School District,Special Commissioner of Investigation for the New York City School District - Special Commissioner ,,,,,,https://nycsci.org/,,,,,,,,,,,,,,,,,,,,,,nyc_gov,Special Commissioner ,HOO_000158,Anastasia Coleman,special commissioner of investigation new york city school district special commissioner,,nyc_gov,,,nyc_gov
,,,,,,,,,,,Mayor's Advance Team,,,Mayor's Advance Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000010,,mayors advance team,Mayoral unit/office,ops,,,ops
Chief Climate Officer,Chief Climate Officer,,,,,,,,,,Chief Climate Officer,Chief Climate Officer,Chief Climate Officer,Chief Climate Officer,,,,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,2022.0,,chief-climate-officer,2024-07-29,,,,,ops,,OPS_000012,,chief climate officer,Mayoral unit/office,ops,['REC_000260'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
Director of Communications,"Communications, Director of",,,,,,,,,,Director of Communications,Director of Communications,"Communications, Director of",Director of Communications,,,,Active,Mayoral Office,,,Mayor's Office,Deputy Mayor for Communications,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,director-of-communications,2024-07-29,,,,,ops,,OPS_000017,,director of communications,Mayoral unit/office,ops,['REC_000257'],"Kept ops record over primary (preserved fields: LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
DemocracyNYC,DemocracyNYC,DemocracyNYC,DemocracyNYC,,,,DemocracyNYC,,,,DemocracyNYC,DemocracyNYC,DemocracyNYC,DemocracyNYC,DemocracyNYC,,,Reorganized,Mayoral Office,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts. Currently we are focusing on encouraging voters to participate in special and local elections by educating New Yorkers on Ranked Choice Voting and pushing for long term reform through legislation.",https://www1.nyc.gov/site/democracynyc/index.page,,,Mayoral Executive Order,"Executive Order 88, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/7d278x68v?locale=en,The Mayor of New York City establishes DemocracyNYC under the direction of the Civic Engagement Commission. The program shall encourage greater civic and voter engagement by developing communication strategies and conducting citywide outreach efforts.,,,,Laura Wood,Chief Democracy Officer,,,,,democracynyc,2024-07-29,,,Laura,Wood,ops,,OPS_000021,,democracynyc,Mayoral unit/office,ops,"['REC_000042', 'HOO_000047']","Kept ops record over primary, nyc_gov (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, AgencyNameEnriched, LegalCitationText, Name - WeGov, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)",ops
,,,,,,,,,,,Office of Emerging Markets,,,Office of Emerging Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000022,,office of emerging markets,Mayoral unit/office,ops,,,ops
Gracie Mansion Conservancy,Gracie Mansion Conservancy,,,,,Gracie Mansion,Gracie Mansion,,,,Gracie Mansion Conservancy,Gracie Mansion Conservancy,Gracie Mansion Conservancy,Gracie Mansion Conservancy,,,,Active,Non-Governmental Organization,,https://www.graciemansion.org/,,Mayor's Office Chief of Staff,New York State Law,,,,,,,,,,,1799.0,,gracie-mansion-conservancy,2024-07-29,,,,,ops,,OPS_000025,,gracie mansion conservancy,Mayoral unit/office,ops,['REC_000088'],"Kept ops record over primary (preserved fields: FoundingYear, Name - CPO, Name - WeGov, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,Housing Recovery Office,,,Housing Recovery Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000026,,housing recovery office,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,Intergovernmental Affairs - City Legislative Affairs,,,Intergovernmental Affairs - City Legislative Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000029,,intergovernmental affairs city legislative affairs,Mayoral unit/office,ops,"[{""id"": ""OPS_000030"", ""name"": NaN, ""score"": 89.7}]","nan
Merged with OPS_000030 (score: 89.7)
Conflicts: NameNormalized: preferred='intergovernmental affairs city legislative affairs', secondary='intergovernmental affairs federal legislative affairs'; Agency Name: preferred='Intergovernmental Affairs - City Legislative Affairs', secondary='Intergovernmental Affairs - Federal Legislative Affairs'; RecordID: preferred='OPS_000029', secondary='OPS_000030'",ops
,,,,,,,,,,,Mayor's Office for Nonprofit Services,,,Mayor's Office for Nonprofit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000045,,mayors office nonprofit services,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,Mayor's Office -- Media and Research Analysis,,,Mayor's Office -- Media and Research Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000055,,mayors office media and research analysis,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,Office of Childcare and Early Childhood Education,,,Office of Childcare and Early Childhood Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000062,,office of childcare and early childhood education,Mayoral unit/office,ops,,,ops
Pay Equity Cabinet,Pay Equity Cabinet,,,,Pay Equity Cabinet (PEC),,,,,,Pay Equity Cabinet,Pay Equity Cabinet (PEC),Pay Equity Cabinet (PEC),Pay Equity Cabinet,,,,Active,Mayoral Office,"The cabinet was established to create a roadmap to achieve pay equity and to address occupational segregation within the municipal workforce. CGE and the Department of Citywide Administrative Services co-chair the cabinet, which includes representatives from several different city agencies and offices.",https://www.nyc.gov/content/genderequity/pages/economic-mobility-opportunity,Mayor's Office,Commission on Gender Equity and Department of Citywide Administrative Services,Mayoral Executive Order,"Executive Order 84, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/jm214s65d?locale=en,The Mayor of New York City establishes within the Office of the Mayor a Pay Equity Cabinet which shall conduct an annual analysis of pay and employment equity in public employment.,PEC,,,,,,,2021.0,,pay-equity-cabinet,2024-07-29,,,,,ops,,OPS_000073,,pay equity cabinet,Mayoral unit/office,ops,['REC_000223'],"Kept ops record over primary (preserved fields: ParentOrganization, LegalCitationText, NYCReportingLine, Name - ODA, URL, URISlug, Description, PreliminaryOrganizationType, Acronym, DateCreated, LegalCitationURL, Name, FoundingYear, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)",ops
,,,,,,,,,,,Public Realm,,,Public Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000076,,public realm,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,Mayor's Office -- Speechwriting,,,Mayor's Office -- Speechwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000078,,mayors office speechwriting,Mayoral unit/office,ops,,,ops
Unity Project,Unity Project,,,,Unity Project (UP),,Unity Project,,,,The Unity Project,Unity Project (UP),Unity Project (UP),The Unity Project,,,,Active,Division,,https://www.nyc.gov/content/unityproject/pages/,Mayor's Office of Equity and Racial Justice,Mayor's Office of Equity and Racial Justice,New York State Law,,,,UP,,,,,,,2017.0,,unity-project,2024-07-29,,,,,ops,,OPS_000080,,unity project,Mayoral unit/office,ops,['REC_000244'],"Kept ops record over primary (preserved fields: FoundingYear, Name - WeGov, ParentOrganization, Name - ODA, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, Acronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,MO of Utility Advocate,,,MO of Utility Advocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000081,,mo of utility advocate,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,Chancellor,,,Chancellor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000087,,chancellor,Agency,ops,,,ops
Financial Information Services Agency,Financial Information Services Agency,,,,,,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,,,,Active,Mayoral Agency,,,Mayor's Office,Mayor's Office and Office of the Comptroller,New York City Charter,"Chapter 58, Section 1511",,There shall be a financial information services agency the head of which shall be the executive director of financial information services​​,,,,,,,,1982.0,,financial-information-services-agency,2024-07-29,,,,,ops,,OPS_000115,,financial information services agency,Agency,ops,['REC_000082'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, Name - WeGov, ParentOrganization, Name - Checkbook, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,Fund for Public Schools,,,Fund for Public Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000116,,fund public schools,Agency,ops,,,ops
Citizens' Advisory Committee for Cultural Plan,Citizens' Advisory Committee for Cultural Plan,,,,,,,,,,Algorithm Advisory Committee,Citizens' Advisory Committee for Cultural Plan,Citizens' Advisory Committee for Cultural Plan,Algorithm Advisory Committee,,,,Active,"Advisory, Oversight, or Regulatory Body",,,Department of Cultural Affairs,Department of Cultural Affairs,New York City Charter,"Chapter 67, Section 2506",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3995,"The department shall establish a citizens' advisory committee to advise the department with respect to the development of the cultural plan, gathering community input for such plan, and how to implement such plan.",,,,,,,,2017.0,,citizens-advisory-committee-for-cultural-plan,2024-07-29,,,,,ops,,OPS_000138,,algorithm advisory committee,Board/Commission,ops,"[{""id"": ""OPS_000177"", ""name"": NaN, ""score"": 76.4}]","Merged with REC_000025 (score: 76.4)
Conflicts: Agency Name: preferred='Algorithm Advisory Committee', secondary='Citizens' Advisory Committee for Cultural Plan'; source: preferred='ops', secondary='primary'; RecordID: preferred='OPS_000138', secondary='REC_000025'; NameNormalized: preferred='algorithm advisory committee', secondary='citizens' advisory committee for cultural plan'; data_source: preferred='ops', secondary='nyc_agencies_export'; dedup_source: preferred='ops', secondary='primary'",ops
,,,,,,,,,,,Task Force on African American Civil Rights History Museum ,,,Task Force on African American Civil Rights History Museum ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000139,,task force african american civil rights history museum,Board/Commission,ops,,,ops
,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,,,Advisory Board on Implementation of Racial Justice Charter Amendments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000140,,advisory board implementation of racial justice charter amendments,Board/Commission,ops,,,ops
,,,,,,,,,,,Animal Care Centers of NYC,,,Animal Care Centers of NYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000141,,animal care centers of new york city,Board/Commission,ops,,,ops
,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000142,,advisory council center workplace accessibility and inclusion,Board/Commission,ops,,,ops
,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,,,Advisory Committee on Female Genital Mutilation and Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000143,,advisory committee female genital mutilation and cutting,Board/Commission,ops,,,ops
,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,,,Advisory Council for the NYC Civil Court Housing Part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000144,,advisory council new york city civil court housing part,Board/Commission,ops,,,ops
,,,,,,,,,,,Advisory Council on Procurement Lobbying,,,Advisory Council on Procurement Lobbying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000145,,advisory council procurement lobbying,Board/Commission,ops,,,ops
,,,,,,,,,,,Age Friendly Commission,,,Age Friendly Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000147,,age friendly commission,Board/Commission,ops,,,ops
,,,,,,,,,,,CIG - American Museum of Natural History,,,CIG - American Museum of Natural History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000148,,cig american museum of natural history,Board/Commission,ops,,,ops
Archival Review Board,Archival Review Board,,,,,,,,,,Archival Review Board,Archival Review Board,Archival Review Board,Archival Review Board,,,,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3005",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6585,There shall be in the department an archival review board which shall consist of five members,,,,,,,,2002.0,,archival-review-board,2024-07-29,,,,,ops,,OPS_000149,,archival review board,Board/Commission,ops,['REC_000002'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",,,"Archives, Reference and Research Advisory Board ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000150,,archives reference and research advisory board,Board/Commission,ops,,,ops
,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,,,Accessory Sign Regulation Interagency Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000151,,accessory sign regulation interagency task force,Board/Commission,ops,,,ops
Audit Committee,Audit Committee,,,,,,,,,,Audit Committee,Audit Committee (AUDIT),Audit Committee (AUDIT),Audit Committee,,,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 5, Section 97",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-583,"There shall be an audit committee which shall consist of the mayor, the comptroller, the public advocate and four private members appointed by the mayor, two of whom shall be appointed upon the recommendation of the comptroller. The members of the committee shall elect a private member as chair for an annual term commencing on the first day of March.",AUDIT,,,,,,,1979.0,,audit-committee,2024-07-29,,,,,ops,,OPS_000152,,audit committee,Board/Commission,ops,['REC_000005'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, Acronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),,,Atlantic Yards Community Development Corporation (AYCDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000153,,atlantic yards community development corporation,Board/Commission,ops,,,ops
,,,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),,,CIG - Brooklyn Academy of Music (BAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000154,,cig brooklyn academy of music,Board/Commission,ops,,,ops
,,,,,,,,,,,Board of Collective Bargaining ,,,Board of Collective Bargaining ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000159,,board of collective bargaining,Board/Commission,ops,,,ops
,,,,,,,,,,,CIG - Bronx County Historical Society,,,CIG - Bronx County Historical Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000160,,cig bronx county historical society,Board/Commission,ops,,,ops
,,,,,,,,,,,Black Car and Livery Task Force,,,Black Car and Livery Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000161,,black car and livery task force,Board/Commission,ops,,,ops
,,,,,,,,,,,CIG - Brooklyn Children's Museum,,,CIG - Brooklyn Children's Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000162,,cig brooklyn childrens museum,Board/Commission,ops,,,ops
,,,,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),,,Center for Brooklyn History (formerly known Brooklyn Historical Society),,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000163,,center brooklyn history,Board/Commission,ops,,,ops
,,,,,,,,,,,Brooklyn Marine Terminal Task Force,,,Brooklyn Marine Terminal Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ops,,OPS_000165,,brooklyn marine terminal task force,Board/Commission,ops,,,ops
