Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,RecordID,data_source
Board of Collective Bargaining ,,,,,,,,,,Board of Collective Bargaining ,,OPS_000159,ops
Board of Correction,"Correction, Board of",Board of Correction,Board of Correction,"Correction, Board of","Correction, Board of (BOC)",,"Correction, Board of (BOC)","Correction, Board of (BOC)",Board of Correction (BOC),Board of Correction,Board of Correction,OPS_000167,ops
Board of Education Retirement System,"Education Retirement System, Board of",Board of Education Retirement System,,"Education Retirement System, Board of",Board of Education Retirement System (BERS),,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System,REC_000011,nyc_agencies_export
Board of Elections,"Elections, Board of",,Board of Elections,"Elections, Board of","Elections, Board of (BOE)",Board of Elections (BOENY),"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOE),Board of Elections,Board of Elections,OPS_000390,ops
Board of Health,"Health, Board of",,,,,,,,,Board of Health,,OPS_000168,ops
Board of Standards and Appeals,"Standards and Appeals, Board of",Board of Standards and Appeals,,"Standards And Appeals, Board of","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals,OPS_000172,ops
Boro President Bronx,,,,,Borough President- Bronx,,,,,Boro President Bronx,,OPS_000392,ops
Boro President Brooklyn,,,,,Borough President- Brooklyn,,,,,Boro President Brooklyn,,OPS_000391,ops
Boro President Manhattan,,,,,Borough President- Manhattan,,,,,Boro President Manhattan,,OPS_000393,ops
Boro President Queens,Borough Presidents,,,,Borough President- Queens,,,,,Boro President Queens,,OPS_000394,ops
Boro President Staten Island,,,,,Borough President- Staten Island,,,,,Boro President Staten Island,,OPS_000395,ops
Borough Boards,Borough Boards,,,,,,,,,,,REC_000012,nyc_agencies_export
Borough Historians,Borough Historians,,,Borough Historians,,,,,,,,REC_000013,nyc_agencies_export
Borough Historical Societies,Borough Historical Societies,,,Borough Historical Societies,,,,,,,,REC_000014,nyc_agencies_export
Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,,,Brooklyn Bridge Park Corporation,,,,,,Brooklyn Bridge Park Corporation,,OPS_000157,ops
Brooklyn Bridge Park Development Corporation,,,,,,,,,,Brooklyn Bridge Park Development Corporation,,OPS_000158,ops
Brooklyn Marine Terminal Task Force,,,,,,,,,,Brooklyn Marine Terminal Task Force,,OPS_000165,ops
Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,,,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard,,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation (BNYDC),Brooklyn Navy Yard Development Corporation,,OPS_000166,ops
Brooklyn Public Library,Brooklyn Public Library,,Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library,Brooklyn Public Library,OPS_000169,ops
BuildNYC,,,,,,,,,,BuildNYC,,OPS_000173,ops
Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission,OPS_000164,ops
Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,,,,,,,,,,,REC_000023,nyc_agencies_export
Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board,OPS_000193,ops
Cannabis Advisory Council,,,,,,,,,,Cannabis Advisory Council,,OPS_000178,ops
Caribbean Advisory Council,,,,,,,,,,Caribbean Advisory Council,,OPS_000176,ops
Catskill Watershed Corporation ,,,,,,,,,,Catskill Watershed Corporation ,,OPS_000212,ops
Center for Brooklyn History (formerly known Brooklyn Historical Society),,,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),,OPS_000163,ops
Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,,,Center for Innovation through Data Intelligence (CIDI),,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,OPS_000016,ops
Central Park Conservancy,,,,,,,,,,Central Park Conservancy,,OPS_000192,ops
Chancellor,,,,,,,,,,Chancellor,,OPS_000087,ops
Charter Revision Commission,Charter Revision Commission,,,,Charter Revision Commission,,Charter Revision Commission,Charter Revision Commission,Charter Revision Commission (CRC),Charter Revision Commission,,OPS_000201,ops
Chief Advisor to the Mayor,"Mayor, Chief Advisor to the",Chief Advisor to the Mayor,,,,,,Office of the Chief Advisor to the Mayor,,Chief Advisor to the Mayor,,OPS_000000,ops
Chief Climate Officer,Chief Climate Officer,,,,,,,,,Chief Climate Officer,,OPS_000012,ops
Chief Efficiency Officer,"Efficiency, Mayor's Office of",Mayor's Office of Efficiency,,,,,,,Mayor's Office of Efficiency,Chief Efficiency Officer,,OPS_000014,ops
Chief Housing Officer,Chief Housing Officer,Chief Housing Officer,,,,,,Office of the Chief Housing Officer,,,,REC_000024,nyc_agencies_export
"Chief Medical Examiner, NYC Office of (OCME)",,,,,"Chief Medical Examiner, NYC Office of (OCME)",,,,,,,REC_000025,nyc_agencies_export
Chief Technology Officer,Chief Technology Officer,,,,,,,,,,,REC_000026,nyc_agencies_export
Child Care Advisory Board,Child Care Advisory Board,,,,,,,,,Child Care Advisory Board,,OPS_000182,ops
"Child Care and Early Childhood Education, Office for (OCCECE)","Child Care and Early Childhood Education, Mayor's Office for",,,,"Child Care and Early Childhood Education, Office for (OCCECE)",,"Child Care and Early Childhood Education, Office for (OCCECE)","Child Care and Early Childhood Education, Office for (OCCECE)",Mayor's Office for Child Care and Early Childhood Education,,,REC_000027,nyc_agencies_export
Child Care Task Force,,,,,,,,,,Child Care Task Force,,OPS_000190,ops
Child Fatality Review Advisory Team,,,,,,,,,,Child Fatality Review Advisory Team,,OPS_000194,ops
CIG - American Museum of Natural History,,,,,,,,,,CIG - American Museum of Natural History,,OPS_000148,ops
CIG - Bronx County Historical Society,,,,,,,,,,CIG - Bronx County Historical Society,,OPS_000160,ops
CIG - Bronx Museum of the Arts,,,,,,,,,,CIG - Bronx Museum of the Arts,,OPS_000170,ops
CIG - Brooklyn Academy of Music (BAM),,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),,OPS_000154,ops
CIG - Brooklyn Botanical Garden,,,,,,,,,,CIG - Brooklyn Botanical Garden,,OPS_000156,ops
CIG - Brooklyn Children's Museum,,,,,,,,,,CIG - Brooklyn Children's Museum,,OPS_000162,ops
CIG - Brooklyn Museum,,,,,,,,,,CIG - Brooklyn Museum,,OPS_000171,ops
CIG - Carnegie Hall,,,,,,,,,,CIG - Carnegie Hall,,OPS_000181,ops
CIG - El Museo del Barrio,,,,,,,,,,CIG - El Museo del Barrio,,OPS_000284,ops
CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,,,,,,,,,,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,,OPS_000231,ops
CIG - Jamaica Center for Arts and Learning,,,,,,,,,,CIG - Jamaica Center for Arts and Learning,,OPS_000257,ops
CIG - Jazz at Lincoln Center,,,,,,,,,,CIG - Jazz at Lincoln Center,,OPS_000258,ops
CIG - Lincoln Center for the Performing Arts,,,,,,,,,,CIG - Lincoln Center for the Performing Arts,,OPS_000266,ops
CIG - Metropolitan Museum of Art,,,,,,,,,,CIG - Metropolitan Museum of Art,,OPS_000276,ops
CIG - Museum of the City of New York,,,,,,,,,,CIG - Museum of the City of New York,,OPS_000285,ops
CIG - Museum of Jewish Heritage,,,,,,,,,,CIG - Museum of Jewish Heritage,,OPS_000261,ops
CIG - Museum of Modern Art,,,,,,,,,,CIG - Museum of Modern Art,,OPS_000277,ops
CIG - Museum of the Moving Image,,,,,,,,,,CIG - Museum of the Moving Image,,OPS_000287,ops
CIG - New York Botanical Garden,,,,,,,,,,CIG - New York Botanical Garden,,OPS_000295,ops
CIG - New York City Ballet,,,,,,,,,,CIG - New York City Ballet,,OPS_000296,ops
CIG - New York City Center,,,,,,,,,,CIG - New York City Center,,OPS_000300,ops
CIG - New York Hall of Science,,,,,,,,,,CIG - New York Hall of Science,,OPS_000308,ops
CIG - PS 1 Contemporary Art Center,,,,,,,,,,CIG - PS 1 Contemporary Art Center,,OPS_000321,ops
CIG - Public Theater,,,,,,,,,,CIG - Public Theater,,OPS_000323,ops
CIG - Queens Botanical Garden,,,,,,,,,,CIG - Queens Botanical Garden,,OPS_000324,ops
CIG - Queens Museum of Art,,,,,,,,,,CIG - Queens Museum of Art,,OPS_000326,ops
CIG - Queens Theatre in the Park,,,,,,,,,,CIG - Queens Theatre in the Park,,OPS_000327,ops
CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),,,,,,,,,,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),,OPS_000352,ops
CIG - Staten Island Children’s Museum,,,,,,,,,,CIG - Staten Island Children’s Museum,,OPS_000348,ops
CIG - Staten Island Historical Society,,,,,,,,,,CIG - Staten Island Historical Society,,OPS_000349,ops
CIG - Staten Island Museum (also known as SIIAS),,,,,,,,,,CIG - Staten Island Museum (also known as SIIAS),,OPS_000350,ops
CIG - Staten Island Zoological Society,,,,,,,,,,CIG - Staten Island Zoological Society,,OPS_000351,ops
CIG - Studio Museum in Harlem,,,,,,,,,,CIG - Studio Museum in Harlem,,OPS_000286,ops
CIG - Wave Hill,,,,,,,,,,CIG - Wave Hill,,OPS_000376,ops
CIG - Weeksville Heritage Center,,,,,,,,,,CIG - Weeksville Heritage Center,,OPS_000380,ops
CIG - Wildlife Conservation Society,,,,,,,,,,CIG - Wildlife Conservation Society,,OPS_000377,ops
Citizens' Advisory Committee (DCLA),,,,,,,,,,Citizens' Advisory Committee (DCLA),,OPS_000177,ops
Citizens' Advisory Committee for Cultural Plan,Citizens' Advisory Committee for Cultural Plan,,,,,,,,,,,REC_000030,nyc_agencies_export
City Commission on Human Rights,"Human Rights, Commission on",Commission on Human Rights,Commission on Human Rights,"Human Rights, Commission on",,Commission on Human Rights (CCHR),"Human Rights, City Commission on (CCHR)","Human Rights, City Commission on (CCHR)",City Commission on Human Rights (CCHR),City Commission on Human Rights,Commission on Human Rights,OPS_000185,ops
City Council,City Council,,City Council,City Council,"City Council, New York",City Council (NYCC),"City Council, New York","City Council, New York",City Council (NYCC),City Council,City Council,OPS_000399,ops
City Planning Commission,City Planning Commission,,,City Planning Commission,,,,,,City Planning Commission,City Planning Commission,OPS_000200,ops
City University Construction Fund,City University Construction Fund,,City University Construction Fund,City University Construction Fund,,,,,,,City University Construction Fund,REC_000034,nyc_agencies_export
CUNY - Board of Trustees,,,,,,,,,,CUNY - Board of Trustees,,OPS_000209,ops
CUNY Construction Fund - Board of Trustees,,,,,,,,,,CUNY Construction Fund - Board of Trustees,,OPS_000210,ops
CUNY Task Force,,,,,,,,,,CUNY Task Force,,OPS_000211,ops
City University of New York,City University of New York,,City University of New York,City University of New York,City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),City University of New York (CUNY),,City University of New York,REC_000035,nyc_agencies_export
Civic Engagement Commission,Civic Engagement Commission,Civic Engagement Commission,,,Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission (CEC),Civic Engagement Commission,Civic Engagement Commission,OPS_000191,ops
Civil Service Commission,Civil Service Commission,Civil Service Commission,Civil Service Commission,"Civil Service Commission, City",Civil Service Commission (CSC),Civil Service Commission,Civil Service Commission (CSC),Civil Service Commission (CSC),Civil Service Commission (CSC),Civil Service Commission,Civil Service Commission,OPS_000207,ops
Civil Service Commission Screening Committee,,,,,,,,,,Civil Service Commission Screening Committee,,OPS_000208,ops
Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board,Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board ,Civilian Complaint Review Board,OPS_000086,ops
Climate Change Adaptation Taskforce,,,,,,,,,,Climate Change Adaptation Taskforce,,OPS_000183,ops
Climate Mobilization Advisory Board,,,,,,,,,,Climate Mobilization Advisory Board,,OPS_000197,ops
Commercial Waste Zone Safety Task Force,,,,,,,,,,Commercial Waste Zone Safety Task Force,,OPS_000213,ops
Commission to Combat Police Corruption,"Combat Police Corruption, Commission to",Commission to Combat Police Corruption,,"Police Corruption, Commission To Combat",Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption,Commission to Combat Police Corruption,OPS_000188,ops
Commission on Community Reinvestment and the Closure of Rikers Island,,,,,,,,,,Commission on Community Reinvestment and the Closure of Rikers Island,,OPS_000189,ops
Commission on Gender Equity,"Gender Equity, Commission on",,,,Commission on Gender Equality (CGE),,Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),Commission on Gender Equity,Commission on Gender Equity,OPS_000195,ops
Commission on Public Information and Communication,,,,,,,,,,Commission on Public Information and Communication,,OPS_000199,ops
Commission on Racial Equity,"Racial Equity, Commission on",Commission on Racial Equity,,,NYC Commission on Racial Equity,,NYC Commission on Racial Equity,NYC Commission on Racial Equity,,Commission on Racial Equity,,OPS_000019,ops
Commission on Women's Issues,"Women's Issues, Commission on",,,,,Commission on Women’s Issues (CWI),,,,,,REC_000040,nyc_agencies_export
Committee on City Healthcare Services,"City Healthcare Services, Committee on",,,,,,,,,Committee on City Healthcare Services,,OPS_000186,ops
Community Action Board – Dept. of Youth and Community Development,,,,,,,,,,Community Action Board – Dept. of Youth and Community Development,,OPS_000175,ops
Community Affairs Unit,"Community Affairs Unit, Mayor's",Mayor's Community Affairs Unit,,,Community Affairs Unit (CAU),Mayor’s Community Affairs Unit (CAU),Community Affairs Unit (CAU),Community Affairs Unit (CAU),Mayor's Community Affairs Unit (CAU),Community Affairs Unit,Community Affairs Unit,OPS_000011,ops
Community Boards,Community Boards,,,,Community Boards (CB),,Community Boards (CB),Community Boards (CB),,Community Boards,,OPS_000396,ops
Community Services Board (formerly known as Mental Hygiene Advisory Board),,,,,,,,,,Community Services Board (formerly known as Mental Hygiene Advisory Board),,OPS_000203,ops
Community Services Board - Developmental Disabilities Subcommittee,,,,,,,,,,Community Services Board - Developmental Disabilities Subcommittee,,OPS_000204,ops
Community Services Board - Mental Health Subcommittee,,,,,,,,,,Community Services Board - Mental Health Subcommittee,,OPS_000205,ops
Community Services Board - Substance Use Subcommittee,,,,,,,,,,Community Services Board - Substance Use Subcommittee,,OPS_000206,ops
Comptroller,"Comptroller, Office of the",Office of the Comptroller,Office of the Comptroller,Comptroller,Comptroller (COMP),Office of the Comptroller (COMPTROLLER),Comptroller (COMP),Comptroller (COMP),Office of the Comptroller (COMPTROLLER),Comptroller,Office of the Comptroller,OPS_000398,ops
Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board,Conflicts of Interest Board,OPS_000198,ops
Convention Center Development Corporation,,,,,,,,,,Convention Center Development Corporation,,OPS_000184,ops
Convention Center Operating Corporation (Javits),,,,,,,,,,Convention Center Operating Corporation (Javits),,OPS_000187,ops
Council for Airport Opportunity - Board of Directors,,,,,,,,,,Council for Airport Opportunity - Board of Directors,,OPS_000179,ops
Counsel to the Mayor,,,,,,,,,,Counsel to the Mayor,,OPS_000002,ops
"Counsel to the Mayor, Office of",,,,,"Counsel to the Mayor, Office of",,,,,,,REC_000047,nyc_agencies_export
Creative Communications,"Creative Communications, Office of",,,,,,,,,Creative Communications,,OPS_000020,ops
Cultural Affairs Advisory Commission,,,,,,,,,,Cultural Affairs Advisory Commission,,OPS_000174,ops
Cultural Institutions Retirement System - Board of Trustees,,,,,,,,,,Cultural Institutions Retirement System - Board of Trustees,,OPS_000196,ops
Cyber Command,Cyber Command,,,,,,,,NYC Cyber Command (NYC3),,NYC Cyber Command,REC_000050,nyc_agencies_export
Dangerous Dog Advisory Board,,,,,,,,,,Dangerous Dog Advisory Board,,OPS_000216,ops
Deferred Compensation Board,,,,,,,,,,Deferred Compensation Board,,OPS_000215,ops
DemocracyNYC,DemocracyNYC,,,,DemocracyNYC,,DemocracyNYC,DemocracyNYC,,DemocracyNYC,DemocracyNYC,OPS_000021,ops
Department for the Aging,"Aging, Department for the",Department for the Aging,Department for the Aging,"Aging, Department for the","Aging, Department for the (NYC Aging)",Department for the Aging (NYC Aging),"Aging, Department for the (NYC Aging)","Aging, Department for the (NYC Aging)",Department for the Aging (DFTA),Department for the Aging,Department for the Aging,OPS_000095,ops
Department of Buildings,"Buildings, Department of",Department of Buildings,Department of Buildings,Buildings,"Buildings, Department of (DOB)",Department of Buildings (DOB),"Buildings, Department of (DOB)","Buildings, Department of (DOB)",Department of Buildings (DOB),Department of Buildings,Department of Buildings,OPS_000096,ops
Department of City Planning,"City Planning, Department of",Department of City Planning,Department of City Planning,City Planning,"City Planning, Department of (DCP)",Department of City Planning (DCP),"City Planning, Department of (DCP)","City Planning, Department of (DCP)",Department of City Planning (DCP),Department of City Planning,Department of City Planning,OPS_000091,ops
Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",,,,"Citywide Administrative Services, Department of (DCAS)",,,,,Department of Citywide Administrative Services,,OPS_000089,ops
Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of",Department of Consumer and Worker Protection,Department of Consumer & Worker Protection,Consumer and Worker Protection,"Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),"Consumer and Worker Protection, Department of (DCWP)","Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),Department of Consumer and Worker Protection,Department of Consumer and Worker Protection,OPS_000092,ops
Department of Correction,"Correction, Department of",Department of Correction,Department of Correction,"Correction, Department of","Correction, Department of (DOC)",Department of Correction (DOC),"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction (DOC),Department of Correction,Department of Correction,OPS_000097,ops
Department of Cultural Affairs,"Cultural Affairs, Department of",Department of Cultural Affairs,Department of Cultural Affairs,Cultural Affairs,"Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs (DCLA),"Cultural Affairs, Department of (DCLA)","Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs (DCLA),Department of Cultural Affairs,Department of Cultural Affairs,OPS_000090,ops
Department of Design and Construction,"Design and Construction, Department of",Department of Design and Construction,Department of Design and Construction,Design and Construction,"Design and Construction, Department of (DDC)",Department of Design and Construction (DDC),"Design and Construction, Department of (DDC)","Design and Construction, Department of (DDC)",Department of Design and Construction (DDC),Department of Design & Construction,Department of Design and Construction,OPS_000093,ops
Department of Education,"Education, Department of",,Department of Education,Education,"Education, Department of (DOE)",Department of Education (DOE),"Education, Department of (DOE)","Education, Department of (DOE)",Department of Education (DOE),Department of Education,Department of Education,OPS_000098,ops
Department of Environment Protection,"Environmental Protection, Department of",Department of Environmental Protection,Department of Environmental Protection,Environmental Protection,,Department of Environmental Protection (DEP),"Environmental Protection, Department of (DEP)","Environmental Protection, Department of (DEP)",Department of Environmental Protection (DEP),Department of Environment Protection,Department of Environmental Protection,OPS_000094,ops
Department of Finance,"Finance, Department of",Department of Finance,Department of Finance,Finance,"Finance, Department of (DOF)",Department of Finance (DOF),"Finance, Department of (DOF)","Finance, Department of (DOF)",Department of Finance (DOF),Department of Finance,Department of Finance,OPS_000099,ops
Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of",Department of Health and Mental Hygiene,Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene (DOHMH),"Health and Mental Hygiene, Department of (DOHMH)","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene,Department of Health and Mental Hygiene,OPS_000100,ops
Department of Information Technology and Telecommunications,"Information Technology and Telecommunications, Department of",,Department of Information Technology and Telecommunications,,,,,,,,,REC_000054,nyc_agencies_export
Department of Investigation,"Investigation, Department of",Department of Investigation,Department of Investigation,Investigation,"Investigation, Department of (DOI)",Department of Investigation (DOI),"Investigation, Department of (DOI)","Investigation, Department of (DOI)",Department of Investigation (DOI),Department of Investigation,Department of Investigation,OPS_000101,ops
Department of Parks and Recreation,"Parks and Recreation, Department of",Department of Parks and Recreation,Department of Parks and Recreation,"Parks, NYC","Parks and Recreation, Department of (DPR)",Department of Parks and Recreation (DPR),"Parks and Recreation, Department of (DPR)","Parks and Recreation, Department of (DPR)",Department of Parks and Recreation (PARKS),Department of Parks & Recreation,Department of Parks and Recreation,OPS_000105,ops
Department of Probation,"Probation, Department of",Department of Probation,Department of Probation,Probation,"Probation, Department of (DOP)",Department of Probation (DOP),"Probation, Department of (DOP)","Probation, Department of (DOP)",Department of Probation (DOP),Department of Probation,Department of Probation,OPS_000102,ops
Department of Records & Information Service,"Records and Information Services, Department of",Department of Records and Information Services,Department of Records and Information Services,Records & Information Services,,Department of Records and Information Services (DORIS),"Records and Information Services, Department of (DORIS)","Records and Information Services, Department of (DORIS)",Department of Records and Information Services (DORIS),Department of Records & Information Service,Department of Records and Information Services,OPS_000103,ops
Department of Sanitation,"Sanitation, Department of",Department of Sanitation,Department of Sanitation,Sanitation,"Sanitation, Department of (DSNY)",Department of Sanitation (DSNY),"Sanitation, Department of (DSNY)","Sanitation, Department of (DSNY)",Department of Sanitation (DSNY),Department of Sanitation,Department of Sanitation,OPS_000106,ops
Department of Small Business Services,"Small Business Services, Department of",Department of Small Business Services,Department of Small Business Services,Small Business Services,Small Business Services (SBS),Department of Small Business Services (SBS),Small Business Services (SBS),Small Business Services (SBS),Department of Small Business Services (SBS),Department of Small Business Services,Department of Small Business Services,OPS_000133,ops
Department of Social Services,"Social Services, Department of",Department of Social Services,Department of Social Services,,Department of Social Services (DSS),,Department of Social Services (DSS),Department of Social Services (DSS),Department of Social Services (DSS),Department of Social Services,Department of Social Services,OPS_000107,ops
Department of Social Services - Department of Homeless Services,,,,,,,,,,Department of Social Services - Department of Homeless Services,,OPS_000108,ops
Department of Social Services - Human Resources Administration,,,,,,,,,,Department of Social Services - Human Resources Administration,,OPS_000109,ops
Department of Transportation,"Transportation, Department of",Department of Transportation,Department of Transportation,Transportation,"Transportation, Department of (DOT)",Department of Transportation (DOT),"Transportation, Department of (DOT)","Transportation, Department of (DOT)",Department of Transportation (DOT),Department of Transportation,Department of Transportation,OPS_000104,ops
Department of Veterans' Services,"Veterans' Services, Department of",Department of Veteran Services,Department of Veterans' Services,"Veterans' Services, Department of","Veterans' Service, Department of (DVS)",Department of Veterans’ Services (DVS),"Veterans' Services, Department of (DVS)","Veterans' Services, Department of (DVS)",Department of Veterans' Services (DVS),Department of Veteran's Services,Department of Veterans' Services,OPS_000110,ops
Department of Youth and Community Development,"Youth and Community Development, Department of",Department of Youth and Community Development,Department of Youth and Community Development,Youth and Community Development,"Youth and Community Development, Department of (DYCD)",Department of Youth and Community Development (DYCD),"Youth and Community Development, Department of (DYCD)","Youth and Community Development, Department of (DYCD)",Department of Youth and Community Development (DYCD),Department of Youth & Community Development,Department of Youth and Community Development,OPS_000111,ops
Deputy Chief Administrative Judge for the New York City Courts,Deputy Chief Administrative Judge for the New York City Courts,,,Deputy Chief Administrative Judge for the New York City Courts,,,,,,,,REC_000056,nyc_agencies_export
Deputy Mayor for Communications,"Communications, Deputy Mayor for",,,,,,,,,,,REC_000057,nyc_agencies_export
