Source,Target,Score,Label,SourceID,TargetID,Notes
,New York City Police Pension Fund|Fire Department Pension Fund and Related Funds,100.0,Match,HOO_000001,OPS_000410,
Mayor's Office for International Affairs,,100.0,Match,REC_000111,HOO_000001,Exact match after normalization
Commission to Combat Police Corruption,,100.0,Match,REC_000037,HOO_000001,Exact match after normalization
Mayor's Office for People with Disabilities,,100.0,Match,REC_000112,HOO_000001,Exact match after normalization
,,100.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Citywide Event Coordination and Management,,99.8,Match,REC_000117,HOO_000001,
Department of Records and Information Services,Department of Records and Information Services,99.0,Match,REC_000061,REC_000061,
,Hudson Yards Infrastructure Corporation,99.0,Match,HOO_000001,OPS_000252,
,,98.9,Match,HOO_000001,HOO_000001,
,New York City Employees' Retirement System,98.8,Match,HOO_000001,REC_000161,
,,98.7,Match,HOO_000001,HOO_000001,
,Hudson Yards Infrastructure Corporation,98.7,Match,HOO_000001,OPS_000252,
,,98.7,Match,HOO_000001,HOO_000001,
,,98.6,Match,HOO_000001,HOO_000001,
Mayor's Office to Protect Tenants,,98.5,Match,REC_000151,HOO_000001,
,,98.4,Match,HOO_000001,HOO_000001,
,,98.3,Match,HOO_000001,HOO_000001,
,,98.2,Match,HOO_000001,HOO_000001,
,,98.2,Match,HOO_000001,HOO_000001,
,,97.8,Match,HOO_000001,HOO_000001,
,Chief Technology Officer,97.6,Match,HOO_000134,REC_000248,
,,97.1,Match,HOO_000001,HOO_000001,
NYC Health + Hospitals,NYC Health + Hospitals,97.0,Match,REC_000174,REC_000174,
Department of Veterans' Services,,96.6,Match,REC_000066,HOO_000001,
Mayor's Office of Immigrant Affairs,,96.4,Match,REC_000132,HOO_000001,
,Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,96.4,Match,HOO_000096,REC_000125,
New York City Employees' Retirement System,,96.3,Match,REC_000161,HOO_000001,
,,96.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Minority and Women-Owned Business Enterprises,Mayor's Office of Minority and Women-Owned Business Enterprises,96.0,Match,REC_000136,REC_000136,
,,96.0,Match,HOO_000001,HOO_000001,
,Office of Administrative Justice Coordinator,96.0,Match,HOO_000001,REC_000183,
,,96.0,Match,HOO_000096,HOO_000096,
,Department of Housing Preservation and Development,96.0,Match,HOO_000001,REC_000056,
Mayor's Office for International Affairs,Mayor's Office for International Affairs,96.0,Match,REC_000111,REC_000111,
Mayor's Office to End Domestic and Gender-Based Violence,Mayor's Office to End Domestic and Gender-Based Violence,95.9,Match,REC_000150,REC_000150,
,,95.9,Match,HOO_000001,HOO_000001,
,,95.9,Match,HOO_000001,HOO_000001,
"Office of Film, Theater & Broadcasting",,95.8,Match,REC_000195,HOO_000001,
Committee on City Healthcare Services,,95.8,Match,REC_000038,HOO_000001,
Office of Payroll Administration,Office of Payroll Administration,95.6,Match,REC_000206,REC_000206,
Commission on Human Rights,Commission on Human Rights,95.2,Match,REC_000034,REC_000034,
,Department of Youth and Community Development,95.0,Match,HOO_000176,REC_000067,
,Charter Revision Commission,95.0,Match,HOO_000001,OPS_000201,
,Department of Design and Construction,95.0,Match,HOO_000001,REC_000050,
,,95.0,Match,HOO_000058,HOO_000058,
,,95.0,Match,HOO_000001,HOO_000001,
,Department of Consumer and Worker Protection,95.0,Match,HOO_000040,REC_000047,
,Mayor's Office of Special Enforcement,95.0,Match,HOO_000001,REC_000142,
,Office of Technology and Innovation,95.0,Match,HOO_000001,REC_000209,
Mayor's Office of Strategic Partnerships,Mayor's Office of Strategic Partnerships,95.0,Match,REC_000146,REC_000146,
,Office of Administrative Trials and Hearings,95.0,Match,HOO_000003,REC_000185,
,Mayor's Office of Appointments,95.0,Match,HOO_000001,REC_000115,
,Administration for Children's Services,95.0,Match,HOO_000001,REC_000000,
,Department of Citywide Administrative Services,95.0,Match,HOO_000028,REC_000046,
Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,95.0,Match,REC_000020,REC_000020,
Mayor's Office for People with Disabilities,Mayor's Office for People with Disabilities,95.0,Match,REC_000112,REC_000112,
,Office of the Special Narcotics Prosecutor,95.0,Match,HOO_000001,REC_000218,
,Civilian Complaint Review Board,94.9,Match,HOO_000001,OPS_000086,
,,94.9,Match,HOO_000001,HOO_000001,
,,94.1,Match,HOO_000001,HOO_000001,
,,94.1,Match,HOO_000001,HOO_000001,
Commission to Combat Police Corruption,Commission to Combat Police Corruption,94.0,Match,REC_000037,REC_000037,
,,94.0,Match,HOO_000001,HOO_000001,
Economic Development Corporation|Housing Development Corporation|United Nations Development Corporation,,94.0,Match,OPS_000112,HOO_000001,
,Business Integrity Commission,94.0,Match,HOO_000001,OPS_000164,
Board of Education Retirement System,Board of Education Retirement System,94.0,Match,REC_000007,REC_000007,
,Equal Employment Practices Commission,94.0,Match,HOO_000001,OPS_000225,
,Mayor's Office of Ethnic and Community Media,94.0,Match,HOO_000001,REC_000128,
,Department of Homeless Services,94.0,Match,HOO_000001,REC_000055,
,,94.0,Match,HOO_000133,HOO_000133,
,Department of Records and Information Services,94.0,Match,HOO_000001,REC_000061,
,,94.0,Match,HOO_000001,HOO_000001,
,Landmarks Preservation Commission,94.0,Match,HOO_000001,OPS_000269,
Public Administrator,Public Administrator,94.0,Match,REC_000227,REC_000227,
Public Administrator,Public Administrator,94.0,Match,REC_000227,REC_000227,
,NYC Municipal Water Finance Authority|Transitional Finance Authority,94.0,Match,HOO_000001,OPS_000290,
,Mayor's Office of Media and Entertainment,94.0,Match,HOO_000001,REC_000135,
Mayor's Office to End Domestic and Gender-Based Violence,Mayor's Office to End Domestic and Gender-Based Violence,94.0,Match,REC_000150,REC_000150,
,Office of Payroll Administration,94.0,Match,HOO_000137,REC_000206,
Taxi and Limousine Commission,Taxi and Limousine Commission,94.0,Match,OPS_000137,OPS_000137,
Human Resources Administration,Human Resources Administration,94.0,Match,REC_000095,REC_000095,
,Department of Parks and Recreation,94.0,Match,HOO_000136,REC_000059,
,Board of Standards and Appeals,94.0,Match,HOO_000001,OPS_000172,
,"Mayor's Office of Sports, Wellness, and Recreation",94.0,Match,HOO_000161,REC_000144,
,School Construction Authority,94.0,Match,HOO_000001,OPS_000134,
,Sales Tax Asset Receivable Corporation,94.0,Match,HOO_000001,OPS_000415,
Mayor's Public Engagement Unit,Mayor's Public Engagement Unit,94.0,Match,REC_000152,REC_000152,
Deputy Mayor for Strategic Initiatives,,93.9,Match,REC_000073,HOO_000001,
,,93.9,Match,HOO_000001,HOO_000001,
Mayor's Committee on City Marshals,,93.8,Match,REC_000104,HOO_000001,
Mayor's Office of Criminal Justice|Office of Civil Justice,Mayor's Office of Criminal Justice|Office of Civil Justice,93.4,No Match,REC_000122,REC_000122,
,,93.3,Match,HOO_000001,HOO_000001,
,,93.3,Match,HOO_000013,HOO_000001,
Office to Prevent Gun Violence,Office to Prevent Gun Violence,93.2,Match,REC_000222,REC_000222,
,,93.0,Match,HOO_000001,HOO_000001,
,,93.0,Match,HOO_000072,HOO_000072,
,Department of Health and Mental Hygiene,93.0,Match,HOO_000067,REC_000054,
,Mayor's Office of Operations,93.0,Match,HOO_000001,REC_000138,
Mayor's Committee on City Marshals,Mayor's Committee on City Marshals,93.0,Match,REC_000104,REC_000104,
,,93.0,Match,HOO_000001,HOO_000001,
Civilian Complaint Review Board,Civilian Complaint Review Board,93.0,Match,OPS_000086,OPS_000086,
,,93.0,Match,HOO_000001,HOO_000001,
,,93.0,Match,HOO_000079,HOO_000079,
,,93.0,Match,HOO_000001,HOO_000001,
,Mayor's Office of Immigrant Affairs,93.0,Match,HOO_000001,REC_000132,
,Queens Public Library,93.0,Match,HOO_000001,OPS_000413,
Public Administrator,Public Administrator,93.0,Match,REC_000227,REC_000227,
,Department of City Planning|City Planning Commission,93.0,Match,HOO_000026,REC_000045,
,Public Administrator,93.0,Match,HOO_000144,REC_000227,
,Mayor's Office of Contract Services|Office of Administrative Services,93.0,Match,HOO_000001,REC_000121,
,Independent Budget Office,93.0,Match,HOO_000001,OPS_000406,
,,93.0,Match,HOO_000001,HOO_000001,
,Office of Labor Relations,93.0,Match,HOO_000001,REC_000199,
,,93.0,Match,HOO_000021,HOO_000021,
,,92.7,Match,HOO_000001,HOO_000001,
,,92.3,Match,HOO_000011,HOO_000001,
,,92.3,Match,HOO_000001,HOO_000001,
Deputy Mayor for Public Safety,,92.2,Match,REC_000072,HOO_000001,
,,92.2,No Match,OPS_000297,HOO_000001,
,Procurement Policy Board,92.0,Match,HOO_000001,OPS_000318,
City University of New York,City University of New York,92.0,Match,REC_000029,REC_000029,
,,92.0,Match,HOO_000010,HOO_000001,
,,92.0,Match,HOO_000001,HOO_000001,
,Civil Service Commission,92.0,Match,HOO_000001,OPS_000207,
,Department of Buildings,92.0,Match,HOO_000016,REC_000044,
,Campaign Finance Board,92.0,Match,HOO_000001,OPS_000193,
Brooklyn Public Library,Brooklyn Public Library,92.0,Match,REC_000016,REC_000016,
,Department of Cultural Affairs,92.0,Match,HOO_000046,REC_000049,
,Department of Veterans' Services,92.0,Match,HOO_000001,REC_000066,
,Department of Correction,92.0,Match,HOO_000043,REC_000048,
Brooklyn Public Library,Brooklyn Public Library,92.0,Match,REC_000016,REC_000016,
,Conflicts of Interest Board,92.0,Match,HOO_000001,OPS_000198,
Mayor's Office of Community Mental Health,,92.0,Match,REC_000120,HOO_000001,
,,92.0,Match,HOO_000001,HOO_000001,
,,91.9,Match,HOO_000001,HOO_000001,
,,91.9,Match,HOO_000001,HOO_000001,
,,91.8,No Match,OPS_000029,HOO_000001,
,,91.7,Match,HOO_000001,HOO_000001,
,,91.6,Match,HOO_000001,HOO_000001,
,,91.5,No Match,OPS_000029,HOO_000001,
,Office of the Public Advocate|Office of the Utility Advocate,91.4,Match,HOO_000001,REC_000217,
,,91.3,Match,HOO_000001,HOO_000001,
Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,91.3,No Match,REC_000145,REC_000145,
Deputy Mayor for Operations,,91.3,Match,REC_000071,HOO_000001,
New York City Housing Authority,New York City Housing Authority,91.2,No Match,REC_000175,REC_000175,
Advisory Commission on Property Tax Reform,,91.2,Match,REC_000226,HOO_000001,
,Rent Guidelines Board,91.0,Match,HOO_000001,OPS_000330,
,Mayor's Office for Child Care and Early Childhood Education,91.0,Match,HOO_000001,REC_000109,
,,91.0,Match,HOO_000001,HOO_000001,
,,91.0,Match,HOO_000001,HOO_000001,
,Community Boards|Community Action Board,91.0,Match,HOO_000001,OPS_000396,
,Tax Appeals Tribunal,91.0,Match,HOO_000001,OPS_000357,
,,90.9,No Match,HOO_000001,HOO_000001,
,,90.9,Match,HOO_000001,HOO_000001,
Mayor's Office for the Prevention of Hate Crimes,,90.7,Match,REC_000113,HOO_000001,
,,90.6,Match,HOO_000001,HOO_000001,
,,90.4,No Match,OPS_000276,HOO_000001,
,,90.2,No Match,HOO_000001,HOO_000010,
,,90.2,Match,HOO_000001,HOO_000001,
,New York City Housing Authority,90.0,Match,HOO_000001,REC_000175,
,Economic Development Corporation|Housing Development Corporation|United Nations Development Corporation,90.0,Match,HOO_000001,OPS_000112,
,Commission on Gender Equity|Commission on Racial Equity,90.0,Match,HOO_000001,REC_000033,
,,90.0,Match,HOO_000001,HOO_000001,
Mayor's Office of Housing Recovery Operations,,90.0,Match,REC_000131,HOO_000001,
,Board of Elections|Board of Correction,90.0,Match,HOO_000001,OPS_000390,
,,90.0,Match,HOO_000001,HOO_000001,
,Mayor's Office|Mayor's Office NYC Service,90.0,Match,HOO_000001,REC_000107,
Office of the Inspector General for the NYPD,Office of the Inspector General for the NYPD,90.0,Match,REC_000216,REC_000216,
,,90.0,Match,HOO_000001,HOO_000001,
,Tax Commission|Art Commission,90.0,Match,HOO_000001,OPS_000358,
,,90.0,No Match,HOO_000050,HOO_000001,
Mayor's Office of Special Projects and Community Events,Mayor's Office of Special Projects and Community Events,90.0,Match,REC_000143,REC_000143,
,New York Public Library,90.0,Match,HOO_000001,OPS_000311,
,New York City Housing Authority,90.0,No Match,HOO_000001,REC_000175,
,,89.8,No Match,HOO_000001,HOO_000001,
,,89.8,No Match,HOO_000001,HOO_000001,
,,89.7,Match,HOO_000001,HOO_000001,
Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,,89.7,Match,REC_000125,HOO_000001,
,,89.7,No Match,HOO_000050,HOO_000001,
Mayor's Advisory Committee on the Judiciary,,89.7,Match,REC_000255,HOO_000001,
,,89.7,No Match,OPS_000029,HOO_000001,
,,89.6,Match,HOO_000001,HOO_000001,
,,89.6,Match,HOO_000001,HOO_000001,
Deputy Mayor for Health and Human Services,,89.4,Match,REC_000070,HOO_000001,
,,89.4,Match,HOO_000001,HOO_000001,
,,89.3,No Match,OPS_000029,HOO_000001,
,,89.3,Match,HOO_000001,HOO_000001,
Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,,89.3,Match,REC_000125,HOO_000001,
,,89.3,No Match,HOO_000001,HOO_000001,
,,89.0,Match,HOO_000029,HOO_000029,
,New York City Employees' Retirement System,89.0,Match,HOO_000001,REC_000161,
Office of the Chief Counsel to the Mayor and City Hall,,89.0,Match,REC_000210,HOO_000001,
,Office of the City Clerk,89.0,Match,HOO_000001,REC_000212,
,Department for the Aging,89.0,Match,HOO_000001,REC_000043,
,,88.9,No Match,HOO_000001,HOO_000001,
,Taxi and Limousine Commission,88.9,Match,HOO_000001,OPS_000137,
,,88.9,Match,HOO_000001,HOO_000001,
,,88.8,No Match,HOO_000001,HOO_000001,
,,88.8,Match,HOO_000001,HOO_000001,
,Public Administrator,88.6,No Match,HOO_000144,REC_000227,
Mayor's Office of Community Mental Health,,88.5,Match,REC_000120,HOO_000001,
Department of Citywide Administrative Services,,88.5,Match,REC_000046,HOO_000001,
,,88.5,Match,HOO_000001,HOO_000001,
,,88.4,No Match,HOO_000001,HOO_000001,
,,88.2,No Match,HOO_000001,HOO_000001,
Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,88.1,No Match,REC_000145,REC_000145,
,,88.1,Match,HOO_000001,HOO_000001,
,,88.1,No Match,HOO_000001,HOO_000001,
,Mayor's Community Affairs Unit,88.0,Match,HOO_000035,REC_000105,
,New York City Office of the Actuary,88.0,Match,HOO_000001,REC_000163,
,Law Department|Police Department|Fire Department|Department of Finance|Department of Education|Department of Probation|Department of Investigation|Department of Transportation|Department of Sanitation|Department of Probation|Department of Investigation,88.0,Match,HOO_000001,OPS_000119,
Mayor's Community Affairs Unit,,88.0,Match,REC_000105,HOO_000001,
,,88.0,Match,HOO_000001,HOO_000001,
Office of Payroll Administration,,88.0,Match,REC_000206,HOO_000001,
,,87.8,No Match,HOO_000001,HOO_000133,
,,87.7,Match,HOO_000001,HOO_000001,
,,87.7,No Match,OPS_000204,HOO_000001,
,,87.7,Match,HOO_000001,HOO_000001,
,,87.6,No Match,HOO_000001,HOO_000001,
,,87.5,Match,HOO_000001,HOO_000001,
Mayor's Office of Talent and Workforce Development,,87.5,No Match,REC_000147,HOO_000001,
,Office of Collective Bargaining,87.5,Match,HOO_000001,REC_000190,
Chief Housing Officer,Chief Housing Officer,87.5,Match,REC_000023,REC_000023,
Deputy Mayor for Health and Human Services,,87.4,Match,REC_000070,HOO_000001,
,,87.4,No Match,HOO_000001,HOO_000001,
Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,Mayor's Office of State Legislative Affairs|Mayor's Office of City Legislative Affairs|Mayor's Office of Federal Legislative Affairs,87.4,No Match,REC_000145,REC_000145,
,,87.4,No Match,OPS_000209,HOO_000001,
,,87.3,No Match,HOO_000050,HOO_000001,
Office of the Public Advocate|Office of the Utility Advocate,Office of the Public Advocate|Office of the Utility Advocate,87.3,No Match,REC_000217,REC_000217,
,,87.2,No Match,HOO_000001,HOO_000001,
,,87.1,Match,HOO_000001,HOO_000001,
Mayor's Office of Risk Management and Compliance,,87.0,Match,REC_000141,HOO_000001,
,,87.0,Match,HOO_000001,HOO_000001,
Public Administrator,Public Administrator,87.0,Match,REC_000227,REC_000227,
,,87.0,Match,HOO_000001,HOO_000001,
,,87.0,Match,HOO_000001,HOO_000001,
,,87.0,Match,HOO_000001,HOO_000001,
,Office to Prevent Gun Violence,87.0,Match,HOO_000001,REC_000222,
,,87.0,Match,OPS_000271,HOO_000001,
,,86.8,Match,HOO_000001,HOO_000001,
,,86.8,No Match,OPS_000169,HOO_000001,
Office of Creative Communications,Office of Creative Communications,86.8,Match,REC_000259,REC_000259,
,,86.8,Match,HOO_000001,HOO_000001,
NYC Municipal Water Finance Authority|Transitional Finance Authority,,86.8,No Match,OPS_000290,HOO_000001,
,,86.4,Match,HOO_000001,HOO_000001,
,New York City Police Pension Fund|Fire Department Pension Fund and Related Funds,86.4,Match,HOO_000001,OPS_000410,
,,86.3,No Match,HOO_000001,HOO_000001,
Mayor's Office Chief of Staff,,86.3,Match,REC_000108,HOO_000001,
,,86.2,No Match,HOO_000001,HOO_000001,
,Public Administrator,86.2,No Match,HOO_000144,REC_000227,
,,86.2,No Match,HOO_000001,HOO_000001,
,,86.2,No Match,HOO_000001,HOO_000001,Department variation
,,86.2,No Match,HOO_000001,HOO_000001,
,,86.2,No Match,HOO_000001,HOO_000001,
,,86.1,Match,HOO_000104,HOO_000001,
Public Administrator,Public Administrator,86.0,No Match,REC_000227,REC_000227,
,Public Administrator,86.0,No Match,HOO_000144,REC_000227,
,,86.0,Match,HOO_000001,HOO_000001,
,,85.9,No Match,HOO_000001,HOO_000001,
,,85.9,No Match,HOO_000001,HOO_000079,
,Borough Presidents,85.7,No Match,HOO_000001,REC_000249,
Chief Housing Officer,Chief Housing Officer,85.7,Match,REC_000023,REC_000023,
First Deputy Mayor,,85.7,Match,OPS_000008,HOO_000001,
,,85.7,No Match,HOO_000001,HOO_000001,
,,85.6,Match,HOO_000001,HOO_000001,
,,85.6,No Match,HOO_000001,HOO_000001,
,,85.6,Match,HOO_000001,HOO_000001,
Mayor's Office of Appointments,,85.6,No Match,REC_000115,HOO_000001,
,,85.6,No Match,HOO_000001,HOO_000001,
,,85.6,Match,HOO_000001,HOO_000001,
,,85.5,No Match,HOO_000136,HOO_000001,Department variation
,,85.3,Match,HOO_000001,HOO_000001,
,,85.3,Match,HOO_000001,HOO_000001,
Public Administrator,Public Administrator,85.2,No Match,REC_000227,REC_000227,
,,85.0,Match,HOO_000001,HOO_000001,
Deputy Mayor for Strategic Initiatives,,85.0,Match,REC_000073,HOO_000001,
,,85.0,No Match,HOO_000109,HOO_000001,
,,85.0,No Match,HOO_000001,HOO_000001,Department variation
Office of the Tenant Advocate,Office of the Public Advocate|Office of the Utility Advocate,85.0,No Match,REC_000219,REC_000217,
,,85.0,Match,HOO_000001,HOO_000001,
,,85.0,No Match,HOO_000001,HOO_000001,
,,85.0,No Match,HOO_000001,HOO_000001,
,New York City Housing Authority,85.0,Match,HOO_000069,REC_000175,
Mayor's Office of Management and Budget,Mayor's Office of Management and Budget,85.0,Match,REC_000202,REC_000202,
,,85.0,No Match,HOO_000001,HOO_000001,
,,85.0,Match,OPS_000184,HOO_000001,
,,84.9,No Match,HOO_000001,HOO_000001,
,,84.8,No Match,HOO_000001,HOO_000001,
,,84.7,Match,HOO_000001,HOO_000001,
,,84.7,Match,HOO_000001,HOO_000001,
,,84.7,Match,HOO_000001,HOO_000001,
Metropolitan Transportation Authority,Metropolitan Transportation Authority,84.6,No Match,REC_000154,REC_000154,
Mayor's Community Affairs Unit,Mayor's Community Affairs Unit,84.6,Match,REC_000105,REC_000105,
Public Administrator,Public Administrator,84.6,No Match,REC_000227,REC_000227,
,,84.4,Match,HOO_000001,HOO_000001,
,,84.4,No Match,OPS_000240,HOO_000001,
,,84.4,No Match,HOO_000043,HOO_000001,Department variation
,,84.3,Match,HOO_000001,HOO_000001,
,,84.3,Match,HOO_000001,HOO_000001,
Metropolitan Transportation Authority,Metropolitan Transportation Authority,84.3,No Match,REC_000154,REC_000154,
,,84.3,Match,HOO_000001,HOO_000001,
,,84.3,No Match,HOO_000001,HOO_000001,
,,84.3,Match,HOO_000001,HOO_000001,
Commission on Gender Equity|Commission on Racial Equity,,84.2,No Match,REC_000033,HOO_000001,
,,84.2,No Match,HOO_000001,HOO_000001,
Brooklyn Bridge Park Corporation,,84.2,Match,OPS_000157,HOO_000001,
,,84.2,No Match,HOO_000001,HOO_000001,
Public Administrator,Public Administrator,84.2,No Match,REC_000227,REC_000227,
,Mayor's Office of Environmental Coordination|Mayor's Office of Environmental Remediation,84.2,Match,HOO_000001,REC_000125,
Public Administrator,Public Administrator,84.1,No Match,REC_000227,REC_000227,
Public Administrator,Public Administrator,84.1,No Match,REC_000227,REC_000227,
,,84.1,Match,HOO_000001,HOO_000001,
Mayor's Office of Talent and Workforce Development,,84.0,No Match,REC_000147,OPS_000379,
,,84.0,No Match,HOO_000043,HOO_000001,Department variation
Economic Development Corporation|Housing Development Corporation|United Nations Development Corporation,,83.9,No Match,OPS_000112,HOO_000001,
,,83.8,Match,HOO_000001,HOO_000001,
,Public Administrator,83.8,No Match,HOO_000144,REC_000227,
Mayor's Office of Efficiency,,83.8,No Match,REC_000123,HOO_000001,
,,83.7,No Match,HOO_000001,HOO_000001,
,,83.7,No Match,HOO_000037,HOO_000001,
,,83.7,Match,HOO_000078,HOO_000001,
Borough Presidents,,83.7,No Match,REC_000249,HOO_000001,
,,83.6,Match,HOO_000001,HOO_000001,
"Mayor's Office of Sports, Wellness, and Recreation",,83.6,Match,REC_000144,HOO_000001,
,,83.6,Match,HOO_000001,HOO_000001,
,,83.6,Match,HOO_000001,HOO_000001,
Department of Youth and Community Development,Department of Youth and Community Development,83.5,No Match,REC_000067,REC_000067,Department variation
