Source,Target,Score,Label,SourceID,TargetID,Notes
Office of Payroll Administration,Office of Payroll Administration Board,95.6,Match,OPS_000131,OPS_000313,
Commission on Human Rights,City Commission on Human Rights,95.2,Match,REC_000034,OPS_000185,
"Youth and Community Development, Department of (DYCD)",Department of Youth and Community Development,95,Match,HOO_000176,OPS_000111,
charter revision commission chair,charter revision commission,95,Match,HOO_000020,OPS_000201,
"Design and Construction, Department of (DDC)",Department of Design and Construction,95,Match,HOO_000049,OPS_000093,
"Enviormental Coordination, Mayor's Office of (MOEC)","Enviormental Coordination, Mayor's Office of",95,Match,HOO_000058,HOO_000058,
"Enviormental Protection, Department of (DEP)","Enviormental Protection, Department of",95,Match,HOO_000059,HOO_000059,
"Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection,95,Match,HOO_000040,OPS_000092,
"Special Enforcement, Mayor's Office of (OSE)",Mayor's Office of Special Enforcement,95,Match,HOO_000159,REC_000142,
"Technology and Innovation, NYC Office of (OTI)",Office of Technology and Innovation,95,Match,HOO_000169,OPS_000132,
Mayor's Office of Strategic Partnerships (OSP),Mayor's Office of Strategic Partnerships,95,Match,HOO_000099,REC_000146,
"Administrative Trials and Hearings, Office of (OATH)",Office of Administrative Trials and Hearings,95,Match,HOO_000003,OPS_000126,
"Appointments, Mayor's Office (MOA)",Mayor's Office of Appointments,95,Match,HOO_000006,REC_000115,
"Children's Services, Administration for (ACS)",Administration for Children's Services,95,Match,HOO_000023,REC_000000,
"Citywide Administrative Services, Department of (DCAS)",Department of Citywide Administrative Services,95,Match,HOO_000028,OPS_000089,
Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,95,Match,HOO_000019,REC_000020,
Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities,95,Match,HOO_000095,REC_000112,
"Special Narcotics Prosecutor, NYC Office of the (SNP)",Office of the Special Narcotics Prosecutor,95,Match,HOO_000160,REC_000218,
Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board ,94.9,Match,HOO_000032,OPS_000086,
boro president staten island,borough president staten island,94.9,Match,OPS_000395,REC_017013,
boro president manhattan,borough president manhattan,94.1,Match,OPS_000393,REC_426885,
child care early childhood education,childcare early childhood education,94.1,Match,REC_339282,REC_637202,
Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption,94,Match,HOO_000034,REC_000037,
Department of Social Services (DSS),Department of Social Services,94,Match,HOO_000048,OPS_000107,
Hosing Development Corporation (NYC HDC),Hosing Development Corporation,94,Match,OPS_000112,OPS_000265,
Business Integrity Commission (BIC),Business Integrity Commission,94,Match,HOO_000017,OPS_000164,
Board of Education Retirement System (BERS),Board of Education Retirement System,94,Match,HOO_000008,REC_000007,
Equal Employment Practices Commission (EEPC),Equal Employment Practices Commission,94,Match,HOO_000060,OPS_000225,
"Ethnic and Community Media, Mayor's Office of (MOECM)",Mayor's Office of Ethnic and Community Media,94,Match,HOO_000061,OPS_000040,
"Homeless Services, Department of (DHS)",Department of Homeless Services,94,Match,HOO_000068,REC_000055,
"Nonprofit Services, Mayor's Office of (MONS)","Nonprofit Services, Mayor's Office of",94,Match,HOO_000133,HOO_000133,
"Records and Information Services, Department of (DORIS)",Department of Records and Information Services,94,Match,HOO_000152,REC_000061,
"Transitional Finance Authority, New York City (TFA)",Transitional Finance Authority,94,Match,HOO_000170,REC_000240,
Landmarks Preservation Commission (LPC),Landmarks Preservation Commission,94,Match,HOO_000083,OPS_000269,
Public Administrator - Queens County (QPA),Public Administrator - Queens County,94,Match,HOO_000147,HOO_000147,
Public Administrator - Richmond County (RCPA),Public Administrator - Richmond County,94,Match,HOO_000148,HOO_000148,
"Water Finance Authority, NYC Municipal (NYW)",NYC Municipal Water Finance Authority,94,Match,HOO_000175,OPS_000290,
"Media and Entertainment, Mayor's Office of (MOME)",Mayor's Office of Media and Entertainment,94,Match,HOO_000122,REC_000135,
Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),Mayor's Office to End Domestic and Gender-Based Violence,94,Match,HOO_000100,REC_000150,
"Payroll Administration, Office of (OPA)",Office of Payroll Administration,94,Match,HOO_000137,OPS_000131,
Taxi and Limousine Commission (TLC),Taxi and Limousine Commission,94,Match,OPS_000137,OPS_000137,
Human Resources Administration (HRA),Human Resources Administration,94,Match,HOO_000074,REC_000095,
"Parks and Recreation, Department of (DPR)",Department of Parks and Recreation,94,Match,HOO_000136,OPS_000105,
"Standards and Appeals, Board of (BSA)",Board of Standards and Appeals,94,Match,HOO_000162,OPS_000172,
"Sports, Wellness and Recreation, Mayor's Office of (MOSWR)","Mayor's Office of Sports, Wellness, and Recreation",94,Match,HOO_000161,OPS_000356,
School Construction Authority (SCA),School Construction Authority,94,Match,HOO_000156,OPS_000134,
Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation,94,Match,HOO_000154,OPS_000415,
Mayor's Public Engagement Unit (PEU) ,Mayor's Public Engagement Unit,94,Match,HOO_000101,REC_000152,
Deputy Mayor for Strategic Initiatives,Deputy Mayor of Strategic Initiatives,93.9,Match,REC_000073,OPS_000007,
boro president brooklyn,borough president brooklyn,93.9,Match,OPS_000391,REC_616168,
mayor's committee on city marshals,mayors committee city marshals,93.8,Match,REC_000104,OPS_000273,
Mayor's Office of Criminal Justice,Office of Civil Justice,93.4,No Match,REC_000122,REC_000188,
boro president queens,borough president queens,93.3,Match,OPS_000394,REC_132418,
Borough President- Staten Island ,Boro President Staten Island,93.3,Match,HOO_000013,OPS_000395,
Office to Prevent Gun Violence,Mayor's Office to Prevent Gun Violence,93.2,Match,REC_000222,OPS_000047,
boro president bronx,borough president bronx,93,Match,OPS_000392,REC_766673,
Housing Recovery Operations (HRO),Housing Recovery Operations,93,Match,HOO_000072,HOO_000072,
"Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene,93,Match,HOO_000067,OPS_000100,
"Operations, Mayor's Office of (OPS)",Mayor's Office of Operations,93,Match,HOO_000135,REC_000138,
Mayor's Committee on City Marshals (MCCM),Mayor's Committee on City Marshals,93,Match,HOO_000089,REC_000104,
"Human Rights, City Commission on (CCHR)","Human Rights, City Commission on",93,Match,HOO_000075,HOO_000075,
Civilian Complaint Review Board (CCRB),Civilian Complaint Review Board,93,Match,OPS_000086,OPS_000086,
"Transportation, Department of (DOT)",Department of Transportation,93,Match,HOO_000171,OPS_000104,
"Intergovernmental Affairs, Mayors Office of (MOIGA)","Intergovernmental Affairs, Mayors Office of",93,Match,HOO_000079,HOO_000079,
Civic Engagement Commission (CEC),Civic Engagement Commission,93,Match,HOO_000030,OPS_000191,
"Immigrant Affairs, Mayor's Office of (MOIA)",Mayor's Office of Immigrant Affairs,93,Match,HOO_000076,REC_000132,
"Library, Queens Public (QL)",Queens Public Library,93,Match,HOO_000087,OPS_000413,
Public Administrator - Kings County (KCPA),Public Administrator - Kings County,93,Match,HOO_000145,HOO_000145,
"City Planning, Department of (DCP)",Department of City Planning,93,Match,HOO_000026,OPS_000091,
Public Administrator - Bronx County (BCPA),Public Administrator - Bronx County,93,Match,HOO_000144,OPS_000389,
"Contract Services, Mayor's Office of (MOCS)",Mayor's Office of Contract Services,93,Match,HOO_000041,REC_000121,
"Independent Budget Office, NYC (IBO)",Independent Budget Office,93,Match,HOO_000077,OPS_000406,
"Investigation, Department of (DOI)",Department of Investigation,93,Match,HOO_000080,OPS_000101,
"Labor Relations, NYC Office of (OLR)",Office of Labor Relations,93,Match,HOO_000082,OPS_000129,
"Chief Medical Examiner, NYC Office of (OCME)","Chief Medical Examiner, NYC Office of",93,Match,HOO_000021,HOO_000021,
citywide event coordination management,mayor citywide event coordination management,92.7,Match,REC_258583,REC_559294,
Borough President- Manhattan,Boro President Manhattan,92.3,Match,HOO_000011,OPS_000393,
child care early childhood education,mayor child care early childhood education,92.3,Match,REC_339282,REC_062077,
Deputy Mayor for Public Safety,Deputy Mayor of Public Safety,92.2,Match,REC_000072,OPS_000006,
New York City Employees' Retirement System Pension Fund Board of Trustees,Teachers' Retirement System Pension Fund Board of Trustees,92.2,No Match,OPS_000297,OPS_000366,
Procurement Policy Board (PPB),Procurement Policy Board,92,Match,HOO_000142,OPS_000318,
City University of New York (CUNY),City University of New York,92,Match,HOO_000027,REC_000029,
Borough President- Brooklyn,Boro President Brooklyn,92,Match,HOO_000010,OPS_000391,
"Probation, Department of (DOP)",Department of Probation,92,Match,HOO_000141,OPS_000102,
Civil Service Commission (CSC),Civil Service Commission,92,Match,HOO_000031,OPS_000207,
"Buildings, Department of (DOB)",Department of Buildings,92,Match,HOO_000016,OPS_000096,
Campaign Finance Board (CFB),Campaign Finance Board,92,Match,HOO_000018,OPS_000193,
Brooklyn Public Library (BPL) ,Brooklyn Public Library,92,Match,REC_000016,REC_000016,
"Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs,92,Match,HOO_000046,OPS_000090,
"Veterans' Service, Department of (DVS)",Department of Veterans' Services,92,Match,HOO_000173,OPS_000110,
"Correction, Department of (DOC)",Department of Correction,92,Match,HOO_000043,OPS_000097,
"Library, Brooklyn Public (BPL)",Brooklyn Public Library,92,Match,REC_000016,REC_000016,
Conflicts of Interest Board (COIB),Conflicts of Interest Board,92,Match,HOO_000039,OPS_000198,
mayor's community office mental health,mayors office of community mental health director,92,Match,REC_000120,HOO_000120,
"Education, Department of (DOE)",Department of Education,92,Match,HOO_000056,OPS_000098,
deputy mayor health human services,mayor deputy mayor health human services,91.9,Match,REC_368625,REC_232161,
deputy mayor strategic initiatives,mayor deputy mayor strategic initiatives,91.9,Match,REC_239479,REC_924198,
Intergovernmental Affairs - City Legislative Affairs,Intergovernmental Affairs - State Legislative Affairs,91.8,No Match,OPS_000029,OPS_000031,
faithbased community partnerships,mayor faithbased community partnerships,91.7,Match,REC_918541,REC_289211,
citywide event coordination management,mayor citywide events coordination management,91.6,Match,REC_258583,REC_842176,
intergovernmental affairs city legislative affairs,intergovernmental affairs state legislative affairs,91.5,No Match,OPS_000029,OPS_000031,
mo utility advocate,utility advocate,91.4,Match,REC_804722,REC_293534,
Borough President- Queens,Boro President Queens,91.3,Match,HOO_000012,OPS_000394,
Mayor's Office of City Legislative Affairs,Mayor's Office of State Legislative Affairs,91.3,No Match,REC_000116,REC_000145,
Deputy Mayor for Operations,Deputy Mayor of Operations,91.3,Match,REC_000071,OPS_000005,
new york city housing authority,new york city housing authority board,91.2,No Match,OPS_000122,OPS_000298,
advisory commission on property tax reform,advisory commission property tax reform,91.2,Match,REC_000226,OPS_000146,
Rent Guidelines Board (RGB),Rent Guidelines Board,91,Match,HOO_000153,OPS_000330,
"Child Care and Early Childhood Education, Office for (OCCECE)",Mayor's Office for Child Care and Early Childhood Education,91,Match,HOO_000022,REC_000109,
"Finance, Department of (DOF)",Department of Finance,91,Match,HOO_000062,OPS_000099,
"Sanitation, Department of (DSNY)",Department of Sanitation,91,Match,HOO_000155,OPS_000106,
Community Boards (CB),Community Boards,91,Match,HOO_000036,OPS_000396,
"Tax Appeals Tribunal, New York City (TAT)",Tax Appeals Tribunal,91,Match,HOO_000165,OPS_000357,
district attorney kings county district attorney,district attorney richmond county district attorney,90.9,No Match,HOO_000051,HOO_000054,
Borough President- Bronx,Boro President Bronx,90.9,Match,HOO_000009,OPS_000392,
Mayor's Office for the Prevention of Hate Crimes,Office for Prevention of Hate Crimes,90.7,Match,REC_000113,OPS_000069,
chief counsel mayor city hall,mayor chief counsel mayor city hall,90.6,Match,REC_972980,REC_973108,
cig metropolitan museum of art,cig museum of modern art,90.4,No Match,OPS_000276,OPS_000277,
Borough President- Bronx,Borough President- Brooklyn,90.2,No Match,HOO_000009,HOO_000010,
city commission human rights,commission human rights,90.2,Match,OPS_000185,REC_270538,
Mayor's Office of Youth Employment,Mayor’s Office of Youth Employment,90.2,Match,REC_000149,OPS_000054,
NYC Housing Authority,New York City Housing Authority Board,90,Match,OPS_000122,OPS_000298,
Economic Development Corporation (NYCEDC),Economic Development Corporation,90,Match,HOO_000055,OPS_000112,
Commission on Gender Equality (CGE),Commission on Gender Equity,90,Match,HOO_000033,REC_000033,
Police Pension Fund (PPF),New York City Police Pension Fund,90,Match,,,
housing recovery operations,mayor housing recovery operations,90,Match,REC_596013,REC_962946,
"Elections, Board of (BOE)",Board of Elections,90,Match,HOO_000057,OPS_000390,
"Correction, Board of (BOC)",Board of Correction,90,Match,HOO_000042,OPS_000167,
Mayor's Office (OM),Mayor's Office,90,Match,HOO_000091,REC_000107,
"Inspector General NYPD, Office of the ",Office of the Inspector General for the NYPD,90,Match,REC_000216,REC_000216,
deputy mayor communications,mayor deputy mayor communications,90,Match,REC_172531,REC_160995,
"Tax Commission, New York City (TC)",Tax Commission,90,Match,HOO_000166,OPS_000358,
district attorney bronx county district attorney,district attorney kings county district attorney,90,No Match,HOO_000050,HOO_000051,
Mayor's Office of Special Projects & Community Events (MOSPCE),Mayor's Office of Special Projects and Community Events,90,Match,HOO_000098,REC_000143,
"Library, New York Public (NYPL)",New York Public Library,90,Match,HOO_000086,OPS_000311,
housing authority new york city,new york city housing authority board,90,No Match,REC_264716,OPS_000298,
finance department,fire department new york city,89.8,No Match,REC_000053,REC_641816,
Department of Finance,Fire Department,89.8,No Match,OPS_000099,OPS_000113,
deputy mayor public safety,mayor deputy mayor public safety,89.7,Match,REC_887376,REC_598958,
environmental coordination,mayor environmental coordination,89.7,Match,REC_211226,REC_413459,
district attorney bronx county district attorney,district attorney richmond county district attorney,89.7,No Match,HOO_000050,HOO_000054,
mayor's advisory committee on the judiciary,mayors advisory committee judiciary,89.7,Match,REC_000255,OPS_000270,
Intergovernmental Affairs - City Legislative Affairs,Intergovernmental Affairs - Federal Legislative Affairs,89.7,No Match,OPS_000029,OPS_000030,
Hosing Development Corporation (NYC HDC),Housing Development Corporation,89.6,Match,HOO_000070,OPS_000246,
"Transitional Finance Authority, New York City (TFA)",NYC Transitional Finance Authority,89.6,Match,HOO_000170,OPS_000416,
Deputy Mayor for Health and Human Services,Deputy Mayor of Health & Human Services,89.4,Match,REC_000070,OPS_000004,
mayor talent workforce development,talent workforce development mayor,89.4,Match,REC_421536,REC_707546,
intergovernmental affairs city legislative affairs,intergovernmental affairs federal legislative affairs,89.3,No Match,OPS_000029,OPS_000030,
intergovernmental affairs,mayor intergovernmental affairs,89.3,Match,OPS_000028,REC_297540,
environmental remediation,mayor environmental remediation,89.3,Match,REC_498473,REC_425485,
Intergovernmental Affairs - Federal Legislative Affairs,Intergovernmental Affairs - State Legislative Affairs,89.3,No Match,OPS_000030,OPS_000031,
"Citywide Event Coordination and Management, Office of (CECM)",Mayor's Office of Citywide Event Coordination and Management,89,Match,HOO_000029,HOO_000029,
