Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,Agency Name,source,HeadOfOrganizationTitle,RecordID,HeadOfOrganizationName,NameNormalized,AgencyNameEnriched,Entity type,data_source,merged_from,merge_note,dedup_source
,,,,,https://www.nycservice.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC Service ,nyc_gov,NYC Chief Service Officer ,HOO_000129,Laura Rog,new york city service new york city chief service officer,NYC Service  - NYC Chief Service Officer ,Mayoral unit/office,nyc_gov,"[{""id"": ""OPS_000077"", ""name"": NaN, ""score"": 100.0}]","nan
Merged with OPS_000077 (score: 100.0)
Conflicts: data_source: preferred='nyc_gov', secondary='ops'; NameNormalized: preferred='new york city service new york city chief service officer', secondary='new york city service'; Agency Name: preferred='NYC Service ', secondary='NYC Service'; dedup_source: preferred='nyc_gov', secondary='ops'; RecordID: preferred='HOO_000129', secondary='OPS_000077'; source: preferred='nyc_gov', secondary='ops'",nyc_gov
,,,,,https://www.nyc.gov/site/nonprofits/index.page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nonprofit Services, Mayor's Office of (MONS)",nyc_gov,Executive Director ,HOO_000133,Johnny Celestin,nonprofit services mayors office of executive director,"Nonprofit Services, Mayor's Office of (MONS) - Executive Director ",,nyc_gov,,,nyc_gov
,,,,,https://nycsci.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Special Commissioner of Investigation for the New York City School District,nyc_gov,Special Commissioner ,HOO_000158,Anastasia Coleman,special commissioner of investigation new york city school district special commissioner,Special Commissioner of Investigation for the New York City School District - Special Commissioner ,,nyc_gov,,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor's Advance Team,ops,,OPS_000010,,mayors advance team,,Mayoral unit/office,ops,,,ops
Chief Climate Officer,Chief Climate Officer,Active,Mayoral Office,,,Mayor's Office,First Deputy Mayor,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,2022.0,,chief-climate-officer,2024-07-29,,,,,,,,,,,Chief Climate Officer,Chief Climate Officer,,,Chief Climate Officer,ops,,OPS_000012,,chief climate officer,,Mayoral unit/office,ops,['REC_000260'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
Director of Communications,"Communications, Director of",Active,Mayoral Office,,,Mayor's Office,Deputy Mayor for Communications,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,,,director-of-communications,2024-07-29,,,,,,,,,,,Director of Communications,"Communications, Director of",,,Director of Communications,ops,,OPS_000017,,director of communications,,Mayoral unit/office,ops,['REC_000257'],"Kept ops record over primary (preserved fields: LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
DemocracyNYC,DemocracyNYC,Reorganized,Mayoral Office,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts. Currently we are focusing on encouraging voters to participate in special and local elections by educating New Yorkers on Ranked Choice Voting and pushing for long term reform through legislation.",https://www1.nyc.gov/site/democracynyc/index.page,,,Mayoral Executive Order,"Executive Order 88, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/7d278x68v?locale=en,The Mayor of New York City establishes DemocracyNYC under the direction of the Civic Engagement Commission. The program shall encourage greater civic and voter engagement by developing communication strategies and conducting citywide outreach efforts.,,,,,,Laura Wood,Chief Democracy Officer,,,,,democracynyc,2024-07-29,,,DemocracyNYC,DemocracyNYC,,,,DemocracyNYC,,,DemocracyNYC,DemocracyNYC,Laura,Wood,DemocracyNYC,ops,,OPS_000021,,democracynyc,DemocracyNYC,Mayoral unit/office,ops,"['REC_000042', 'HOO_000047']","Kept ops record over primary, nyc_gov (preserved fields: Name - NYC.gov Mayor's Office, PrincipalOfficerGivenName, AgencyNameEnriched, LegalCitationText, Name - WeGov, URL, Name - NYC.gov Agency List, URISlug, Description, PreliminaryOrganizationType, PrincipalOfficerTitle, DateCreated, LegalCitationURL, Name, PrincipalOfficerName, PrincipalOfficerFamilyName, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of Emerging Markets,ops,,OPS_000022,,office of emerging markets,,Mayoral unit/office,ops,,,ops
Gracie Mansion Conservancy,Gracie Mansion Conservancy,Active,Non-Governmental Organization,,https://www.graciemansion.org/,,Mayor's Office Chief of Staff,New York State Law,,,,,,,,,,,,,1799.0,,gracie-mansion-conservancy,2024-07-29,,,,,,,Gracie Mansion,Gracie Mansion,,,Gracie Mansion Conservancy,Gracie Mansion Conservancy,,,Gracie Mansion Conservancy,ops,,OPS_000025,,gracie mansion conservancy,,Mayoral unit/office,ops,['REC_000088'],"Kept ops record over primary (preserved fields: FoundingYear, Name - CPO, Name - WeGov, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing Recovery Office,ops,,OPS_000026,,housing recovery office,,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intergovernmental Affairs - City Legislative Affairs,ops,,OPS_000029,,intergovernmental affairs city legislative affairs,,Mayoral unit/office,ops,"[{""id"": ""OPS_000030"", ""name"": NaN, ""score"": 89.7}]","nan
Merged with OPS_000030 (score: 89.7)
Conflicts: NameNormalized: preferred='intergovernmental affairs city legislative affairs', secondary='intergovernmental affairs federal legislative affairs'; Agency Name: preferred='Intergovernmental Affairs - City Legislative Affairs', secondary='Intergovernmental Affairs - Federal Legislative Affairs'; RecordID: preferred='OPS_000029', secondary='OPS_000030'",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor's Office for Nonprofit Services,ops,,OPS_000045,,mayors office nonprofit services,,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor's Office -- Media and Research Analysis,ops,,OPS_000055,,mayors office media and research analysis,,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of Childcare and Early Childhood Education,ops,,OPS_000062,,office of childcare and early childhood education,,Mayoral unit/office,ops,,,ops
Pay Equity Cabinet,Pay Equity Cabinet,Active,Mayoral Office,"The cabinet was established to create a roadmap to achieve pay equity and to address occupational segregation within the municipal workforce. CGE and the Department of Citywide Administrative Services co-chair the cabinet, which includes representatives from several different city agencies and offices.",https://www.nyc.gov/content/genderequity/pages/economic-mobility-opportunity,Mayor's Office,Commission on Gender Equity and Department of Citywide Administrative Services,Mayoral Executive Order,"Executive Order 84, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/jm214s65d?locale=en,The Mayor of New York City establishes within the Office of the Mayor a Pay Equity Cabinet which shall conduct an annual analysis of pay and employment equity in public employment.,,,PEC,,,,,,,2021.0,,pay-equity-cabinet,2024-07-29,,,,,,Pay Equity Cabinet (PEC),,,,,Pay Equity Cabinet (PEC),Pay Equity Cabinet (PEC),,,Pay Equity Cabinet,ops,,OPS_000073,,pay equity cabinet,,Mayoral unit/office,ops,['REC_000223'],"Kept ops record over primary (preserved fields: ParentOrganization, LegalCitationText, NYCReportingLine, Name - ODA, URL, URISlug, Description, PreliminaryOrganizationType, Acronym, DateCreated, LegalCitationURL, Name, FoundingYear, LegalCitation, NameWithAcronym, NameAlphabetized, NameAlphabetizedWithAcronym, AuthorizingAuthority, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Realm,ops,,OPS_000076,,public realm,,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayor's Office -- Speechwriting,ops,,OPS_000078,,mayors office speechwriting,,Mayoral unit/office,ops,,,ops
Unity Project,Unity Project,Active,Division,,https://www.nyc.gov/content/unityproject/pages/,Mayor's Office of Equity and Racial Justice,Mayor's Office of Equity and Racial Justice,New York State Law,,,,,,UP,,,,,,,2017.0,,unity-project,2024-07-29,,,,,,Unity Project (UP),,Unity Project,,,Unity Project (UP),Unity Project (UP),,,The Unity Project,ops,,OPS_000080,,unity project,,Mayoral unit/office,ops,['REC_000244'],"Kept ops record over primary (preserved fields: FoundingYear, Name - WeGov, ParentOrganization, Name - ODA, PreliminaryOrganizationType, AuthorizingAuthority, NYCReportingLine, NameWithAcronym, Acronym, NameAlphabetized, URL, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO of Utility Advocate,ops,,OPS_000081,,mo of utility advocate,,Mayoral unit/office,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chancellor,ops,,OPS_000087,,chancellor,,Agency,ops,,,ops
Financial Information Services Agency,Financial Information Services Agency,Active,Mayoral Agency,,,Mayor's Office,Mayor's Office and Office of the Comptroller,New York City Charter,"Chapter 58, Section 1511",,There shall be a financial information services agency the head of which shall be the executive director of financial information services​​,,,,,,,,,,1982.0,,financial-information-services-agency,2024-07-29,,,,,,,,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,Financial Information Services Agency,,,Financial Information Services Agency,ops,,OPS_000115,,financial information services agency,,Agency,ops,['REC_000082'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, Name - WeGov, ParentOrganization, Name - Checkbook, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, Name - Greenbook, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fund for Public Schools,ops,,OPS_000116,,fund public schools,,Agency,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithm Advisory Committee,ops,,OPS_000138,,algorithm advisory committee,,Board/Commission,ops,"[{""id"": ""OPS_000177"", ""name"": NaN, ""score"": 76.4}]","nan
Merged with OPS_000177 (score: 76.4)
Conflicts: NameNormalized: preferred='algorithm advisory committee', secondary='citizens advisory committee'; Agency Name: preferred='Algorithm Advisory Committee', secondary='Citizens' Advisory Committee (DCLA)'; RecordID: preferred='OPS_000138', secondary='OPS_000177'",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Task Force on African American Civil Rights History Museum ,ops,,OPS_000139,,task force african american civil rights history museum,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,ops,,OPS_000140,,advisory board implementation of racial justice charter amendments,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal Care Centers of NYC,ops,,OPS_000141,,animal care centers of new york city,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,ops,,OPS_000142,,advisory council center workplace accessibility and inclusion,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,ops,,OPS_000143,,advisory committee female genital mutilation and cutting,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,ops,,OPS_000144,,advisory council new york city civil court housing part,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council on Procurement Lobbying,ops,,OPS_000145,,advisory council procurement lobbying,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age Friendly Commission,ops,,OPS_000147,,age friendly commission,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - American Museum of Natural History,ops,,OPS_000148,,cig american museum of natural history,,Board/Commission,ops,,,ops
Archival Review Board,Archival Review Board,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3005",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6585,There shall be in the department an archival review board which shall consist of five members,,,,,,,,,,2002.0,,archival-review-board,2024-07-29,,,,,,,,,,,Archival Review Board,Archival Review Board,,,Archival Review Board,ops,,OPS_000149,,archival review board,,Board/Commission,ops,['REC_000002'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, ParentOrganization, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",ops,,OPS_000150,,archives reference and research advisory board,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,ops,,OPS_000151,,accessory sign regulation interagency task force,,Board/Commission,ops,,,ops
Audit Committee,Audit Committee,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 5, Section 97",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-583,"There shall be an audit committee which shall consist of the mayor, the comptroller, the public advocate and four private members appointed by the mayor, two of whom shall be appointed upon the recommendation of the comptroller. The members of the committee shall elect a private member as chair for an annual term commencing on the first day of March.",,,AUDIT,,,,,,,1979.0,,audit-committee,2024-07-29,,,,,,,,,,,Audit Committee (AUDIT),Audit Committee (AUDIT),,,Audit Committee,ops,,OPS_000152,,audit committee,,Board/Commission,ops,['REC_000005'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, Acronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),ops,,OPS_000153,,atlantic yards community development corporation,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),ops,,OPS_000154,,cig brooklyn academy of music,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board of Collective Bargaining ,ops,,OPS_000159,,board of collective bargaining,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Bronx County Historical Society,ops,,OPS_000160,,cig bronx county historical society,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Car and Livery Task Force,ops,,OPS_000161,,black car and livery task force,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Children's Museum,ops,,OPS_000162,,cig brooklyn childrens museum,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center for Brooklyn History (formerly known Brooklyn Historical Society),ops,,OPS_000163,,center brooklyn history,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Marine Terminal Task Force,ops,,OPS_000165,,brooklyn marine terminal task force,,Board/Commission,ops,,,ops
Board of Health,"Health, Board of",Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 22, Section 553",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6203,"There shall be in the department a board of health, the chairperson of which shall be the commissioner. In addition to the chairperson, the board shall consist of ten members, five of whom shall be doctors of medicine who shall each have had not less than ten years experience in any or all of the following: clinical medicine, neurology or psychiatry, public health administration or college or university public health teaching. The other five members need not be physicians. However, non-physician members shall hold at least a masters degree in environmental, biological, veterinary, physical, or behavioral health or science, or rehabilitative science or in a related field, and shall have at least ten years experience in the field in which they hold such degree. One member of the board shall be the chairperson of the mental hygiene advisory board, as set forth in section 568 of the charter, provided that such chairperson shall meet the requirements for board membership of either a physician or non-physician member.",,,,,,,,,,1805.0,,board-of-health,2024-07-29,,,,,,,,,,,Board of Health,"Health, Board of",,,Board of Health,ops,,OPS_000168,,board of health,,Board/Commission,ops,['REC_000009'],"Kept ops record over primary (preserved fields: FoundingYear, LegalCitationText, LegalCitationURL, LegalCitation, PreliminaryOrganizationType, AuthorizingAuthority, NameWithAcronym, NameAlphabetized, NYCReportingLine, DateCreated, NameAlphabetizedWithAcronym, URISlug, Name, OperationalStatus)",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Public Library Board of Trustees,ops,,OPS_000169,,brooklyn public library board of trustees,,Board/Commission,ops,"[{""id"": ""OPS_000325"", ""name"": NaN, ""score"": 86.8}]","nan
Merged with OPS_000325 (score: 86.8)
Conflicts: NameNormalized: preferred='brooklyn public library board of trustees', secondary='queens borough public library board of trustees'; Agency Name: preferred='Brooklyn Public Library Board of Trustees', secondary='Queens Borough Public Library Board of Trustees'; RecordID: preferred='OPS_000169', secondary='OPS_000325'",ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Bronx Museum of the Arts,ops,,OPS_000170,,cig bronx museum of arts,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG - Brooklyn Museum,ops,,OPS_000171,,cig brooklyn museum,,Board/Commission,ops,,,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BuildNYC,ops,,OPS_000173,,buildnyc,,Board/Commission,ops,,,ops
