Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Board of Education Retirement System,"Education Retirement System, Board of",Active,"Advisory, Oversight, or Regulatory Body","The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",https://www.bers.nyc.gov/,,Independent,New York State Law,"Article 52, Section 2575-E",https://www.nysenate.gov/legislation/laws/EDN/2575-E,"Eligibility of retirees for membership in the board of education retirement system of the city of New York. Notwithstanding any inconsistent provision of sections 13-267 and 13-379 of the administrative code of the city of New York, or any other provision of this chapter, or the code, or any other law, a person otherwise eligible for membership in the board of education retirement system of the city of New York, who files with the board a statement duly executed and acknowledged consenting for the period of his or her active membership in the system to the suspension of all present benefits provided wholly or partly by the city through any other retirement system or pension fund and consenting and agreeing to membership and to the deductions for annuity purposes prescribed in this chapter shall be a member of the board of education retirement system of the city of New York. Upon the subsequent retirement of such person from the board of education retirement system of the city of New York, he or she shall receive benefits based on creditable service not included in the service upon which his or her retirement allowance or pension from such other retirement system or pension fund is or would be based, and, upon such subsequent retirement, payment of the benefits provided through such other retirement system or pension fund, which had been suspended, shall be resumed.",,,BERS,,,Sanford Rich,Executive Director,,,1921.0,,board-of-education-retirement-system,2024-07-29,,,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System (BERS),Board of Education Retirement System,Board of Education Retirement System,"Education Retirement System, Board of",,Board of Education Retirement System (BERS),"Education Retirement System, Board of (BERS)",Sanford,Rich,board of education retirement system,REC_000007,,,,,REC_000019,,nyc_agencies_export
Board of Elections,"Elections, Board of",Active,Non-Mayoral Agency,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",https://vote.nyc/,,Independent,New York City Charter,"Chapter 46-A, Section 1057-aa",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6192,The board of elections in the city of New York shall adopt all necessary rules and carry out all necessary staff training to carry out the provisions of this chapter.,,,BOE,,3.0,Simon Shamoun,President,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,,1974.0,,board-of-elections,2024-07-29,,,"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOENY),Board of Elections (BOE),,Board of Elections,"Elections, Board of",Board of Elections,Board of Elections (BOE),"Elections, Board of (BOE)",Simon,Shamoun,board of elections,REC_000008,,,,,REC_000020,,nyc_agencies_export
Board of Health,"Health, Board of",Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 22, Section 553",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6203,"There shall be in the department a board of health, the chairperson of which shall be the commissioner. In addition to the chairperson, the board shall consist of ten members, five of whom shall be doctors of medicine who shall each have had not less than ten years experience in any or all of the following: clinical medicine, neurology or psychiatry, public health administration or college or university public health teaching. The other five members need not be physicians. However, non-physician members shall hold at least a masters degree in environmental, biological, veterinary, physical, or behavioral health or science, or rehabilitative science or in a related field, and shall have at least ten years experience in the field in which they hold such degree. One member of the board shall be the chairperson of the mental hygiene advisory board, as set forth in section 568 of the charter, provided that such chairperson shall meet the requirements for board membership of either a physician or non-physician member.",,,,,,,,,,1805.0,,board-of-health,2024-07-29,,,,,,,,,,,Board of Health,"Health, Board of",,,board of health,REC_000009,,,,,REC_000021,,nyc_agencies_export
Board of Standards and Appeals,"Standards and Appeals, Board of",Active,"Advisory, Oversight, or Regulatory Body",The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,http://www.nyc.gov/bsa,,Independent,New York City Charter,"Chapter 27, Section 659",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2277,There shall be an independent board of standards and appeals located within the office of administrative trials and hearings. The board of standards and appeals shall consist of five members to be termed commissioners to be appointed by the mayor each for a term of six years.,,,BSA,,,Shampa Chanda,Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,,1916.0,,board-of-standards-and-appeals,2024-07-29,,,"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals,"Standards And Appeals, Board of",,Board of Standards and Appeals (BSA),"Standards and Appeals, Board of (BSA)",Shampa,Chanda,board of standards and appeals,REC_000010,,,,,REC_000022,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board standards appeals,,,,,,REC_000171,Board of Standards and Appeals,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president bronx,,,,,,REC_000388,Boro President Bronx,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president brooklyn,,,,,,REC_000387,Boro President Brooklyn,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president manhattan,,,,,,REC_000389,Boro President Manhattan,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president queens,,,,,,REC_000390,Boro President Queens,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boro president staten island,,,,,,REC_000391,Boro President Staten Island,ops
