Name,Name - Preferred,NYC Administrative Organization Type,Agency Operational Status,Parent Organization,Authorizing Authority,Legal Citation,Legal Citation URL,Legal Citation Text,Additional Citation,Additional Citation URL
board of standards and appeals,Board of Standards and Appeals,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 27, Section 659",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2277,There shall be an independent board of standards and appeals located within the office of administrative trials and hearings. The board of standards and appeals shall consist of five members to be termed commissioners to be appointed by the mayor each for a term of six years.,,
mayoralty,Mayor's Office,Elected Office,Active,,New York City Charter,"Chapter 1, Section 3",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-10,The mayor shall be the chief executive officer of the city.,,
department of emergency management,Office of Emergency Management,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 19-A, Section 495",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1787,"There shall be an emergency management department, which may also be known as the New York city office of emergency management, the head of which shall be the commissioner of emergency management. The commissioner shall be appointed by the mayor. The commissioner shall also serve as the local director of civil defense, with the powers of a local director of civil defense.",,
business integrity commission,Business Integrity Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 63, Section 2100",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3867,"There shall be a business integrity commission, which shall consist of a full-time chairperson appointed by the mayor and of the commissioners of the department of small business services, the department of consumer and worker protection, the department of investigation, the police department and the department of sanitation, or their designees.",,
campaign finance board,Campaign Finance Board,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 46, Section 1052",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2913,"There shall be a campaign finance board consisting of five members. Two members of the board shall be appointed by the mayor, provided that not more than one such member shall be enrolled in any one political party, and two members shall be appointed by the speaker of the council, provided that not more than one such member shall be enrolled in any one political party, and one member, who shall be the chairperson, shall be appointed by the mayor after consultation with the speaker. The members shall first be appointed to serve as follows: (a)   one member appointed by the speaker for a term of one year; (b)   one member appointed by the mayor for a term of two years; (c)   one member appointed by the speaker for a term of three years; (d)   one member appointed by the mayor for a term of four years; and (e)   the chairperson for a term of five years.",,
mayors office of criminal justice,Mayor's Office of Criminal Justice,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 1, Section 13",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-77,"There is established in the executive office of the mayor an office of criminal justice, to be headed by a coordinator of criminal justice appointed by the mayor.",,
procurement policy board,Procurement Policy Board,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 13, Section 311",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1355,"There shall be a procurement policy board consisting of five members, three of whom shall be appointed by the mayor and two of whom shall be appointed by the comptroller. Each member shall serve at the pleasure of the appointing official. Members shall have demonstrated sufficient business or professional experience to discharge the functions of the board. At least one member appointed by the mayor and one member appointed by the comptroller shall not hold any other public office or public employment. The remaining members shall not be prohibited from holding any other public office or employment provided that no member may have substantial authority for the procurement of goods, services or construction pursuant to this chapter. The mayor shall designate the chair.",,
mayors office of operations,Mayor's Office of Operations,Mayoral Office,Active,Mayor's Office,New York City Charter,"Chapter 15, Section 15",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5931,"There shall be, in the executive office of the mayor, an office of operations. The office shall be headed by a director, who shall be appointed by the mayor.",,
civil service commission,Civil Service Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 35, Section 813",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6726,"There shall be a city civil service commission, consisting of five members, not more than three of whom shall be members of the same political party. Members shall be appointed by the mayor, from a list of nominations provided by the screening committee established pursuant to subdivision b of this section, for overlapping terms of six years. Of the members first appointed, two shall serve for two years and two for four years and one for six years. The members shall be removable in the manner provided for members of a municipal civil service commission in the civil service law. A vacancy in such commission shall be filled in the same manner as regular appointments for the balance of the unexpired term. The mayor shall designate a member as chair and vice chair, respectively, for one-year terms. Within appropriations for such purposes, the members of the commission shall be reimbursed on a per diem basis for attendance at regularly scheduled meetings and hearings of the commission.",,
civilian complaint review board,Civilian Complaint Review Board,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 18-A, Section 440",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6814,"It is in the interest of the people of the city of New York and the New York city police department that the investigation of complaints concerning misconduct by officers of the department towards members of the public be complete, thorough and impartial. These inquiries must be conducted fairly and independently, and in a manner in which the public and the police department have confidence. An independent civilian complaint review board is hereby established as a body comprised solely of members of the public with the authority to investigate allegations of police misconduct as provided in this section.",,
human rights city commission on,Commission on Human Rights,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 40, Section 902",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2695,"The New York city commission on human rights is hereby established and continued. b.   The commission has general jurisdiction and power to eliminate and prevent unlawful discrimination by enforcing the provisions of chapter 1 of title 8 of the administrative code and also has the powers conferred upon such commission by such title and all other applicable laws in furtherance of the elimination and prevention of such unlawful discrimination. The commission may, in addition, take such other actions as may be provided by law against prejudice, intolerance, bigotry and unlawful discrimination and has the powers and duties conferred by this chapter and any other law in furtherance of such purposes. Nothing in this chapter shall be construed to limit the powers of the corporation counsel pursuant to applicable law.",,
commission on womens issues,Commission on Women's Issues,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 1, Section 20-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,"There shall be a commission on gender equity to study the nature and extent of inequities facing women, girls, transgender, intersex, gender non-conforming and non-binary individuals in the city; to study the impact of such inequities on the economic, civic and social well-being of women, girls, transgender, intersex, gender non-conforming and non-binary individuals; to advise on ways to analyze the function and composition of city agencies through a gender-based lens and ways to develop equitable recruitment strategies; and to make recommendations to the mayor and the council for the reduction of gender-based inequality. Such commission shall consist of 26 members appointed by the mayor; five members appointed by the speaker of the council; and the chair of the commission on human rights, who shall serve as an ex officio member. Members of the commission shall be representative of the population of the city of New York and shall have experience in advocating for issues important to women, girls, transgender, intersex, gender non-conforming and non-binary individuals. The mayor shall designate one member to serve as chair of the commission, and may also designate a member to serve as co-chair. Members shall serve at the pleasure of the appointing authority. In the event of the death or resignation of any member, a successor shall be appointed by the official who appointed such member. The mayor shall appoint an executive director for the commission.",,
city council new york,City Council,Elected Office,Active,,New York City Charter,"Chapter 2, Section 21",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-294,"There shall be a council which shall be the legislative body of the city. In addition to the other powers vested in it by this charter and other law, the council shall be vested with the legislative power of the city. Any enumeration of powers in this charter shall not be held to limit the legislative power of the council, except as specifically provided in this charter.",,
public advocate,Office of the Public Advocate,Elected Office,Active,,New York City Charter,"Chapter 2, Section 24",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-301,The public advocate shall be elected by the electors of the city at the same time and for the same term as in this charter prescribed for the mayor. A public advocate who resigns or is removed from office prior to the completion of a full term shall be deemed to have held that office for a full term for purposes of Section 1138 of the charter.,,
new york city courts,New York City Courts,Judiciary,Active,,New York State,,,,,
office of special narcotics,Office of Prosecutor & Special Narcotics,,Duplicate,,,,,,,
police corruption commission to combat,Commission to Combat Police Corruption,"Advisory, Oversight, or Regulatory Body",Active,,Mayoral Executive Order,"Executive Order 18, 1995",https://a860-gpp.nyc.gov/concern/nyc_government_publications/x920fw966?locale=en,This Executive Order by the Mayor announces the Establishment of the Commission to Combat Police Corruption.,,
city clerk clerk of the council,City Clerk & Clerk of the Council,,Duplicate,,,,,,,
districting commission,Districting Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 2-A, Section 50",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-434,There shall be a districting commission consisting of fifteen members appointed as provided in this section.,,
education,Department of Education,Mayoral Agency,Active,Mayor's Office,New York State Law,"Article 52-A, Section 2590-B",https://www.nysenate.gov/legislation/laws/EDN/2590-B,"Continuation of city board and establishment of community districts; establishment of the city-wide councils on special education, English language learners, high schools, and district seventy-five. 1. (a) The board of education of the city school district of the city of New York is hereby continued.",,
district attorney,District Attorney,Elected Office,Active,,New York State Constitution,"Article XIII, Section 9-12",https://dos.ny.gov/system/files/documents/2024/05/constitution-5-8-24.pdf,In each county a district attorney shall be chosen by the electors once in every three or four years as the legislature shall direct.,,
community boards,Community Boards,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 70, Section 2800",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4249,"For each community district created pursuant to chapter sixty-nine there shall be a community board which shall consist of (1) not more than fifty persons appointed by the borough president, at least one-half of whom shall be appointed from nominees of the council members elected from council districts which include any part of the community district, and (2) all such council members as non-voting members. The number of members appointed on the nomination of each such council member shall be proportional to the share of the district population represented by such council member. The city planning commission, after each council redistricting pursuant to chapter two-A, and after each community redistricting pursuant to section twenty-seven hundred two, shall determine the proportion of the community district's population represented by each council member. Copies of such determinations shall be filed with the appropriate borough president, community board, and council member. Members appointed to community boards shall be appointed to serve staggered terms of two years. One-half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each odd-numbered year in which they take office and one half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each even-numbered year in which they take office. Members shall serve until their successors are appointed but no member may serve for more than sixty days after the expiration of his or her original term unless reappointed by the borough president, and provided further that no person shall be eligible to be appointed as a community board member if that person has previously held such appointment for four or more consecutive full terms that commenced on or after April 1, 2019, unless one full term or more has elapsed since that person last held such office; provided however, that in the case of a community board member appointed or re-appointed for a term that commenced on April 1, 2020, the borough president may appoint such member for up to five consecutive terms commencing on such date. Not more than twenty-five percent of the appointed members shall be city employees. No more than two members shall be less than eighteen years of age. No person shall be appointed to or remain as a member of the board who does not have a residence, business, professional or other significant interest in the district. The borough president shall assure adequate representation from the different geographic sections and neighborhoods within the community district. In making such appointments, the borough president shall consider whether the aggregate of appointments fairly represents all segments of the community. The borough president shall seek out persons of diverse backgrounds, including with regard to race, ethnicity, gender, age, disability status, sexual orientation, language, and other characteristics the borough president deems relevant to promoting diversity and inclusion of under-represented groups and communities within community boards, to apply for appointment. Community boards, civic groups and other community groups and neighborhood associations may submit nominations to the borough president and to council members.",,
nyc employees retirement system,New York City Employees' Retirement System,"Advisory, Oversight, or Regulatory Body",Active,,New York City Administrative Code,"Title 13, Chapter 1, Section 13-103",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-216122,"The New York City Employees' Retirement System as established on the first day of October, nineteen hundred twenty, shall be continued.",,
conflicts of interest board,Conflicts of Interest Board,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 68, Section 2602",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6596,"There shall be a conflicts of interest board consisting of five members. Three members shall be appointed by the mayor, one member shall be appointed by the public advocate, and one member shall be appointed by the comptroller. All members shall be appointed with the advice and consent of the council. The mayor shall designate a chair.",,
department for the aging,Department for the Aging,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 66, Section 2400",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3953,"There shall be a department for the aging, the head of which shall be the commissioner for the aging.",,
buildings,Department of Buildings,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 26, Section 641",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2232,"There shall be a department of buildings, the head of which shall be the commissioner of buildings. The commissioner or the first deputy commissioner shall be a registered architect or a licensed professional engineer in good standing under the education law.",,
department of juvenile justice,Department of Juvenile Justice,Mayoral Agency,Inactive,,Unconsolidated New York City Local Law,L.L. 2010/061,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-205213,"A Local Law to amend the New York city charter and the administrative code of the city of New York in relation to merging the department of juvenile justice and the administration for children's services, and to repeal chapter 28 of such charter and subparagraph iii of paragraph 5 of subdivision a of section 12-307 of such code in relation thereto.",,
city planning,Department of City Planning,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 8, Section 191",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-796,"There shall be a department of city planning, the head of which shall be the director of city planning. The director of city planning shall be the chair and a member of the city planning commission and shall serve at the pleasure of the mayor.",,
dcasdivision of municipal supply service,DCASDIVISION OF MUNICIPAL SUPPLY SERVICE,,Duplicate,,,,,,,
administration for childrens services,Administration for Children's Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 24-B, Section 615",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2173,"There shall be an administration for children's services, the head of which shall be the commissioner of children's services.",,
citywide administrative services,Department of Citywide Administrative Services,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 35, Section 810",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6723,"There shall be a department of citywide administrative services, the head of which shall be the commissioner of citywide administrative services. The commissioner may appoint deputies within available appropriations.",,
human resources administration department of social services,Human Resources Administration,Division,Active,Department of Social Services,New York City Charter,"Chapter 55, Article 3, Title 2, Section 61",https://www.nysenate.gov/legislation/laws/SOS/61,§ 61. Social services districts. For the purpose of administration of public assistance and care the state shall be divided into county and city social services districts as follows: 1. The city of New York is hereby constituted a city social services district.,,
department of homeless services,Department of Homeless Services,Division,Active,Department of Social Services,New York City Charter,"Chapter 24-A, Section 610",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6777,"There shall be a department of homeless services, the head of which shall be the commissioner of homeless services.",,
correction department of,Department of Correction,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 25, Section 623",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2201,There shall be a department of correction the head of which shall be the commissioner of correction.,,
board of correction,Board of Correction,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 25, Section 626",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2217,"There shall be a city board of correction to consist of nine members. Members shall be appointed for a term of six years. Vacancies shall be filled for the remainder of the unexpired term. Three members shall be appointed by the mayor, three by the council, and three by the mayor on the nomination jointly by the presiding justices of the appellate division of the supreme court for the first and second judicial departments. Appointments shall be made by the three respective appointing authorities on a rotating basis to fill any vacancy occurring on or after the effective date of this charter. Members of the board may be reimbursed for expenses incurred in the performance of their duties. The chairman of the board shall be designated from time to time by the mayor from among its members. Members of the board may be removed by the mayor for cause and after a hearing at which they shall be entitled to representation by counsel.",,
cultural affairs,Department of Cultural Affairs,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 67, Section 2503",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3974,"There shall be a department of cultural affairs, the head of which shall be the commissioner of cultural affairs.",,
design and construction,Department of Design and Construction,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 55, Section 1200",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6766,"There shall be a department of design and construction, the head of which shall be the commissioner of design and construction.",,
new york city tax commission,New York City Tax Commission,Division,Active,Office of Administrative Tax Appeals,New York City Charter,"Chapter 7, Section 153",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6556,"There shall be within the office of administrative tax appeals a tax commission to consist of the president and six commissioners who shall be appointed by the mayor for a term of six years, except the term of two commissioners first appointed pursuant to this section shall be two years, the term of the president and two additional commissioners shall be four years and the term of the remaining two commissioners shall be six years. Each commissioner shall have at least three years business experience in the field of real estate or real estate law. At least one resident of each borough shall be included among the commissioners.",,
sheriff,NYC Sheriff,Division,Active,Department of Finance,New York City Charter,"Chapter 58, Section 1526",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3812,"1.   There shall be within the department an office of the city sheriff which shall be subject to the supervision and control of the commissioner of finance. Notwithstanding any other provision of law, the commissioner of finance may exercise or assign within the department such management functions of the office of the sheriff, including but not limited to those functions related to the appointment and removal of deputy sheriffs and other personnel of such office pursuant to the civil service law, as he or she may deem appropriate to achieve effective and efficient functioning and management of such office. 2.   Except as otherwise provided by law, the city sheriff shall exercise the functions, powers and duties formerly exercised by the sheriffs of the several counties.",,
deputy chief administrative judge for the new york city courts,Deputy Chief Administrative Judge for the New York City Courts,Judiciary,Active,,New York State,,,,,
environmental protection department of,Department of Environmental Protection,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 57, Section 1401",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3611,"There shall be a department of environmental protection, the head of which shall be the commissioner of environmental protection.",,
health and mental hygiene department of,Department of Health and Mental Hygiene,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 22, Section 551",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2019,"There shall be a department of health and mental hygiene, the head of which shall be the commissioner of health and mental hygiene who shall be appointed by the mayor. The department shall have and exercise all powers of a local health department set forth in law. Notwithstanding any other provision of this charter to the contrary, the department shall be a social services district for purposes of the administration of health-related public assistance programs to the extent agreed upon by the department, the department of social services and the department of homeless services. Appropriations to the department for mental health, intellectual and developmental disability, and alcoholism services shall be set forth in the expense budget in separate and distinct units of appropriation. In determining the annual amount of city funds to be appropriated by the city for mental health, intellectual and developmental disability, and alcoholism services, the following provision shall apply: in the event that the executive budget proposes a decrease in city funds measured against the budget for the current fiscal year, as modified in accordance with section 107, for the units of appropriation for mental health, intellectual and developmental disability, and alcoholism services, the executive budget shall not propose a greater percentage decrease in city funds measured against the budget for the current fiscal year, as modified in accordance with section 107, for the units of appropriation for mental health, intellectual and developmental disability, and alcoholism services than has been proposed for the units of appropriation for public health services. If, however, in his or her discretion, the mayor determines that it is in the city's best interest to submit an executive budget at variance with the requirements of this provision, the mayor shall include an explanation of the basis for this variation as part of the budget message.",,
housing preservation and development,Department of Housing Preservation and Development,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 61, Section 1800",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3825,"There shall be a department of housing preservation and development, the head of which shall be the commissioner of housing preservation and development.",,
investigation,Department of Investigation,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 34, Section 801",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2400,There shall be a department of investigation the head of which shall be the commissioner of investigation. The commissioner shall be a member of the bar of the state of New York in good standing and shall have had at least five years of law enforcement experience. The mayor may remove the commissioner upon filing in the office of the commissioner of citywide administrative services and serving upon the commissioner of investigation the reasons therefor and allowing such officer an opportunity of making a public explanation.,,
parks nyc,Department of Parks and Recreation,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 21, Section 531",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1971,There shall be a department of parks and recreation the head of which shall be the commissioner of parks and recreation.,,
probation,Department of Probation,Mayoral Agency,Active,Mayor's Office,New York State Law,"Chapter 18, Article 12-A, Section 255",https://www.nysenate.gov/legislation/laws/EXC/255,"§ 255. Probation in the city of New York. 1. There is hereby created a department of probation in and for the city of New York to have charge of all probation work in the supreme, family and criminal courts in the counties of Bronx, Kings, New York, Queens and Richmond. 2. The head of such department shall be a director of probation appointed by the mayor of the city of New York to serve during the pleasure of the mayor. The director shall have charge of the administration of the department and shall be responsible for carrying out the functions of the department including intake, investigation, supervision, conciliation and pre-disposition social treatment in cases coming to the courts referred to in this section. The director may, from time to time, create, abolish, transfer and consolidate bureaus and other units within the department as he may determine necessary for efficient operation thereof. He also shall have the power to appoint and remove such deputy directors, assistants, probation officers and other employees as may be needed for the performance of the duties of the department and may prescribe their duties and fix their compensation, within appropriations made available therefor by the city of New York and subject to all applicable civil service laws and rules and regulations. The director may, in his discretion, appoint volunteer probation officers, when necessary, provided they have the qualifications required of salaried officers, but no such volunteer probation officer shall receive pay from the public funds for his services. The city of New York shall make the necessary appropriation for the salaries of the director and of all officers and employees of the department as referred to herein, as well for the expenses actually and necessarily incurred by such director, officers and employees in the performance of their duties. 3. The director shall discharge his powers and responsibilities in accordance with all laws and rules applicable to probation and with the general rules regulating methods and procedure in the administration of probation as adopted from time to time pursuant to section two hundred forty-three of this chapter. He may adopt departmental rules, not inconsistent with law or the aforesaid general rules, to regulate the policies, programs, standards, and methods of procedure in relation to probation and the powers and duties of officers and employees as in his judgment he deems proper. 4. The head of such probation department, out of moneys appropriated to such department for that purpose, is authorized to grant scholarships to employees in the probation service in such department, for graduate training in the field of probation at graduate schools or departments of social work located within the state whose programs are registered by the regents and accredited by the council on social work education. Each such scholarship shall entitle the holder thereof to a sum sufficient to pay the cost of tuition, not to exceed two thousand dollars annually, while in attendance at any of the said schools or departments for a period not to exceed two years of graduate professional study. Scholarships under this section shall be awarded to employees in the probation service in such department who apply therefor in the order of their seniority in their civil service titles. 5. Notwithstanding any other provision of law or of the New York city charter or administrative code, any duly appointed officer or employee of such probation department may reside in any county within the state.",,
public design commission,Public Design Commission,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 37, Section 851",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2603,"There shall be an art commission the members of which shall be the mayor, who may appoint a person to represent him and replace such representative at his pleasure, the president of the Metropolitan Museum of Art, the president of the New York Public Library (Astor, Lenox and Tilden foundations), the president of the Brooklyn Museum, one painter, one sculptor, one architect, and one landscape architect, all of whom shall be residents of the city, and three other residents of the city no one of whom shall be a painter, sculptor, architect, landscape architect or active member of any other profession in the fine arts.",,
