Name,Name - NYC.gov Agency List,URL,Description-nyc.gov
district attorney - kings county (brooklyn),District Attorney - Kings County (Brooklyn),http://www.brooklynda.org/ ,"Pursuant to Article 13, section 13 of the State Constitution, District Attorneys are constitutional officers elected every four years. Section 927 of the County Law imposes upon District Attorneys the duty to protect the public by investigating and prosecuting criminal conduct in the counties in which they hold office."
district attorney - new york county (manhattan),District Attorney - New York County (Manhattan),http://manhattanda.org/ ,"Pursuant to Article 13, section 13 of the State Constitution, District Attorneys are constitutional officers elected every four years. Section 927 of the County Law imposes upon District Attorneys the duty to protect the public by investigating and prosecuting criminal conduct in the counties in which they hold office."
district attorney - queens county,District Attorney - Queens County,http://www.queensda.org/,"Pursuant to Article 13, section 13 of the State Constitution, District Attorneys are constitutional officers elected every four years. Section 927 of the County Law imposes upon District Attorneys the duty to protect the public by investigating and prosecuting criminal conduct in the counties in which they hold office."
district attorney - richmond county (staten island),District Attorney - Richmond County (Staten Island),https://www.statenislandda.org/,"Pursuant to Article 13, section 13 of the State Constitution, District Attorneys are constitutional officers elected every four years. Section 927 of the County Law imposes upon District Attorneys the duty to protect the public by investigating and prosecuting criminal conduct in the counties in which they hold office."
"food policy, mayors office of","Food Policy, Mayors Office of",http://www.nyc.gov/foodpolicy,"Mayor’s Office of Food Policy works to advance the City’s efforts to increase food security, promote access to and awareness of healthy foods, and support economic opportunity in the food system. The Food Policy Executive Director works with the Deputy Mayor for Health and Human Services, and the Deputy Mayor for Housing and Economic Development, in the Office of the Mayor."
greenyc (gnyc),GreeNYC (GNYC),http://www.nyc.gov/greenyc,Working to reduce New York City’s greenhouse gas emissions 30 percent by 2030.
"judiciary, mayor's advisory committee on the (macj)","Judiciary, Mayor's Advisory Committee on the (MACJ)",http://www1.nyc.gov/site/macj/index.page,"The Mayor's Advisory Committee on the Judiciary recruits, evaluates, and nominates highly qualified judicial candidates for appointment to the New York City Criminal, Family, and Interim Civil Court. The Committee also evaluates incumbent judges for reappointment to these courts."
"library, brooklyn public (bpl)","Library, Brooklyn Public (BPL)",http://www.bklynpubliclibrary.org/,"Discover exhibition information, events schedules, hours of operation, and an online catalog from the Brooklyn Public Library."
mayor's office (om),Mayor's Office (OM),http://www.nyc.gov/mayor,"Mayor Eric L. Adams took office on January 1, 2022. The Mayor's Office site features the biography of the 110th Mayor, as well as press releases, City Hall press conference videos and major addresses."
nyc employees' retirement system (nycers),NYC Employees' Retirement System (NYCERS),https://www.nycers.org/,"Founded in 1920, NYCERS has grown into the largest public retirement system within New York City serving over 330,000 active members and retirees. Membership in NYCERS is available to all New York City employees who are not eligible to participate in the New York City Teachers' Retirement System, the New York City Police Pension Fund, the New York City Fire Department Pension Fund or the New York City Board of Education Retirement System."
nyc health + hospital,NYC Health + Hospital,http://www.nyc.gov/hhc,"A public health care network of hospitals, nursing homes, community health centers and a home care agency, focused on primary & preventive care for all New Yorkers regardless of ability to pay."
nyc service,NYC Service,http://www.nyc.gov/service,"NYC Service is meeting its goals to make New York City the easiest place in the world to volunteer, target volunteer efforts to address the most pressing local challenges, and promote service as a core part of what it means to be a New Yorker. NYC Service aims to drive volunteer resources to six impact areas where New York City’s needs are greatest: strengthening communities, helping neighbors in need, improving education, increasing public health, enhancing emergency preparedness and protecting our environment."
nyc sheriff,NYC Sheriff,https://www.nyc.gov/site/finance/sheriff-courts/sheriff.page,"The Sheriff is an officer of the court whose main job is to serve and execute legal processes/mandates issued by the State courts, legal community and the general public."
nyc tourism + conventions,NYC Tourism + Conventions,http://www.nycgo.com/,"NYC & Company is New York City's official marketing, tourism and partnership organization. Our mission is to maximize travel and tourism opportunities throughout the five boroughs, build economic prosperity and spread the dynamic image of New York City around the world. With the launch of major interactive initiatives—including nycgo.com and the Official NYC Information Center—NYC & Company becomes the ultimate resource for visitors and residents to find everything they need about what to do and see in New York City."
"nonprofit services, mayor's office of (mons)","Nonprofit Services, Mayor's Office of (MONS)",https://www.nyc.gov/site/nonprofits/index.page,The City of New York partners with thousands of nonprofit organizations every year to deliver programs and services to communities throughout the five boroughs. This website offers information and resources in support of our partnerships.
"office of technology and innovation, new york city","Office of Technology and Innovation, New York City",/content/oti/pages/,"The Office of Technology and Innovation (OTI) creates tech-based solutions for a more effective, future-ready New York City. We make services work better across all sectors, from emergency services to benefits screening. We pool combined expertise from across the City to get stuff done for all New Yorkers.
"
"payroll administration, office of (opa)","Payroll Administration, Office of (OPA)",http://www.nyc.gov/payroll,The Office of Payroll Administration is charged with administering the City's payroll and ensuring prompt and accurate payment of employees' wages and salaries.
police pension fund (ppf),Police Pension Fund (PPF),http://www.nyc.gov/nycppf,The Police Pension fund provides services to current and retired officers of the New York City Police Department.
public administrator - bronx county (bcpa),Public Administrator - Bronx County (BCPA),https://www.nyc.gov/site/bronxpa/index.page,"The Office of Public Administrator administers estates of decedents where no person entitled to take or to share in the estate will accept the responsibility to act, or where the decedent leaves no will or a personal representative entitled by law to act. Appointed by and subject to removal by the Surrogates of the County. No specific term."
public administrator - kings county (kcpa),Public Administrator - Kings County (KCPA),http://www.nyc.gov/kcpa,"The Public Administrator administers estates of deceased persons. There is a Public Administrator in every county in the City of New York. The Public Administrator's primary duty is to administer estates that would otherwise remain unadministered; to protect the decedent's property from waste, loss, or theft; to make appropriate burial arrangements when no close relative is available to make the decisions; to conduct thorough investigations to discover all assets; to liquidate assets at public sale or distribute assets to heirs; to pay the decedent's bills and taxes; and to locate persons entitled to inherit from the estate and ensure that the legal distributees receive their inheritance."
public administrator - new york county (nycountypa),Public Administrator - New York County (NYCountyPA),http://www1.nyc.gov/site/nycountypa/index.page,"The Public Administrator of New York County administers the estates of New York County residents who die without anyone who is willing or able to administer the estate. The Public Administrator’s primary duty is to administer estates that would otherwise remain unadministered: to protect the decedent’s property from waste, loss or theft; make appropriate burial arrangements when no close relative is available to make the decisions; conduct thorough investigations to discover all assets; liquidate assets at public auction or distribute assets to heirs; pay the decedent’s bills and taxes; and to locate persons entitled to inherit from the estate and ensure that the legal distributees receive their inheritance."
public administrator - queens county (qpa),Public Administrator - Queens County (QPA),http://www.queenscountypa.com/,"The Office of Public Administrator administers estates of deceased persons where no person entitled to take or share in an estate will accept the responsibility to act, or where no will or personal representative entitled by law is left to act."
public administrator - richmond county (rcpa),Public Administrator - Richmond County (RCPA),http://www.nyc.gov/rcpa,"The Office of Public Administrator administers estates of decedents where no person entitled to take or to share in the estate will accept the responsibility to act, or where the decedent leaves no will or a personal representative entitled by law to act. Appointed by and subject to removal by the Surrogates of the County. No specific term."
"public schools, new york city","Public Schools, New York City",http://schools.nyc.gov/,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools."
special commissioner of investigation for the new york city school district,Special Commissioner of Investigation for the New York City School District,https://nycsci.org,"The office of the Special Commissioner of Investigation for the New York City School District (""SCI"") was created to conduct investigations and oversight of the largest public school district in the United States.  SCI is independent of the DOE, and has broad authority to conduct investigations, reviews, and audits with the goal of rooting out corruption, preventing waste and fraud, and identifying and eliminating the misuse of City resources.  The SCI commissioner also serves as the inspector general for the Teachers Retirement System and the Board of Education Retirement System, and the office serves as the investigative arm of the New York City Conflicts of Interest Board regarding violations of Chapter 68 of the City Charter by DOE employees."
"special narcotics prosecutor, nyc office of the (snp)","Special Narcotics Prosecutor, NYC Office of the (SNP)",http://www.snpnyc.org/,"An independent prosecutors’ office with Citywide jurisdiction, the Office of the Special Narcotics Prosecutor (SNP) is responsible for felony narcotics investigations and prosecutions in the five boroughs of New York City. Founded in 1971, it is the only agency of its kind in the United States."
"talent and workforce development, mayor's office of","Talent and Workforce Development, Mayor's Office of",http://www.nyc.gov/wkdev,"WKDEV is responsible to coordinate workforce with economic development in all five boroughs, to create a real time connection to businesses to ensure their needs are met, and to effectively connect those New Yorkers seeking workforce services to quality jobs with opportunities for advancement."
teachers' retirement system of the city of new york,Teachers' Retirement System of the City of New York,https://www.trsnyc.org,"The Teachers’ Retirement System of the City of New York (TRSNYC) is a public pension fund that provides New York City educators with retirement, disability, and death benefits. TRSNYC was established on August 1, 1917 and is currently the second-largest New York City pension system. We are also one of the largest pension plan sponsors in the United States, with more than $72 billion in assets as of June 30, 2018 and over 200,000 active and inactive members, retirees and beneficiaries."
